y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,2.50444423563811456e-06,0.00000000000000000e+00,1.64441731218163881e+02,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.95000000000000018e+00,2.05583222976044118e-08,2.05583222976044118e-08,2.76783894519669685e-06,0.00000000000000000e+00,1.34633502925441718e+02,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.89999999999999991e+00,2.77508324224075661e-08,2.77508324224075628e-08,3.05893510926059756e-06,0.00000000000000000e+00,1.10228589279745137e+02,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.85000000000000009e+00,3.74597055629524578e-08,3.74597055629524512e-08,3.38064612429064909e-06,0.00000000000000000e+00,9.02475359452397470e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.79999999999999982e+00,5.05653134833554077e-08,5.05653134833553878e-08,3.73619178228752147e-06,0.00000000000000000e+00,7.38884330958882600e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.75000000000000000e+00,6.82560337633487521e-08,6.82560337633486991e-08,4.12913050373479790e-06,0.00000000000000000e+00,6.04947324957520181e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.70000000000000018e+00,9.21360083456611503e-08,9.21360083456610180e-08,4.56339495146760391e-06,0.00000000000000000e+00,4.95288979130438776e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.64999999999999991e+00,1.24370602360287510e-07,1.24370602360287193e-07,5.04333139008468572e-06,0.00000000000000000e+00,4.05508319037865661e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.60000000000000009e+00,1.67882752999566821e-07,1.67882752999566027e-07,5.57374318482593806e-06,0.00000000000000000e+00,3.32002131561444358e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.54999999999999982e+00,2.26618012776573347e-07,2.26618012776571415e-07,6.15993887526660677e-06,0.00000000000000000e+00,2.71820355310407358e+01,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
