q,r3,k,parity,type,index,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
8.00000000000000000e+00,1.20000000000000000e+01,7.07106781186547573e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.99371520084035847e+00,-1.99411017217268549e+00,-1.99420890471305001e+00,-1.99424181359932051e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.91914363188638459e+00,-1.91942095157729420e+00,-1.91949027421768847e+00,-1.91951338037737562e+00,0.00000000000000000e+00
6.00000000000000000e+00,2.40000000000000000e+01,6.12372435695794470e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.88197073441166496e+00,-1.88232877771899210e+00,-1.88241827994677946e+00,-1.88244811238479515e+00,0.00000000000000000e+00
5.00000000000000000e+00,2.40000000000000000e+01,5.59016994374947451e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.81851129039148085e+00,-1.81884808024381517e+00,-1.81893227007025016e+00,-1.81896033189112871e+00,0.00000000000000000e+00
4.00000000000000000e+00,6.00000000000000000e+00,5.00000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.74778827727915620e+00,-1.74810110781850181e+00,-1.74817930887147632e+00,-1.74820537463544645e+00,0.00000000000000000e+00
3.00000000000000000e+00,8.00000000000000000e+00,4.33012701892219298e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.20000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.66670026037707886e+00,-1.66698521634075347e+00,-1.66705644991135249e+00,-1.66708019340244351e+00,0.00000000000000000e+00
2.00000000000000000e+00,1.20000000000000000e+01,3.53553390593273786e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.56907806191819454e+00,-1.56932878030996759e+00,-1.56939145572511562e+00,-1.56941234673344221e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.43865444935585929e+00,-1.43885872665972925e+00,-1.43890979189162027e+00,-1.43892681285575996e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.29202703353943593e+00,-1.29222661300661223e+00,-1.29227630338400590e+00,-1.29229282789277522e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.29202703353942971e+00,-1.29222661300661579e+00,-1.29227630338398947e+00,-1.29229282789274791e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,4.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.29202703353942971e+00,1.29222661300661579e+00,1.29227630338398947e+00,1.29229282789274791e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.29202703353943593e+00,1.29222661300661223e+00,1.29227630338400590e+00,1.29229282789277522e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.43865444935585929e+00,1.43885872665972925e+00,1.43890979189162027e+00,1.43892681285575996e+00,0.00000000000000000e+00
2.00000000000000000e+00,1.20000000000000000e+01,3.53553390593273786e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.56907806191819454e+00,1.56932878030996759e+00,1.56939145572511562e+00,1.56941234673344221e+00,0.00000000000000000e+00
3.00000000000000000e+00,8.00000000000000000e+00,4.33012701892219298e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.20000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.66670026037707886e+00,1.66698521634075347e+00,1.66705644991135249e+00,1.66708019340244351e+00,0.00000000000000000e+00
4.00000000000000000e+00,6.00000000000000000e+00,5.00000000000000000e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.74778827727915620e+00,1.74810110781850181e+00,1.74817930887147632e+00,1.74820537463544645e+00,0.00000000000000000e+00
5.00000000000000000e+00,2.40000000000000000e+01,5.59016994374947451e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.81851129039148085e+00,1.81884808024381517e+00,1.81893227007025016e+00,1.81896033189112871e+00,0.00000000000000000e+00
6.00000000000000000e+00,2.40000000000000000e+01,6.12372435695794470e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.88197073441166496e+00,1.88232877771899210e+00,1.88241827994677946e+00,1.88244811238479515e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.91914363188638459e+00,1.91942095157729420e+00,1.91949027421768847e+00,1.91951338037737562e+00,0.00000000000000000e+00
8.00000000000000000e+00,1.20000000000000000e+01,7.07106781186547573e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.99371520084035847e+00,1.99411017217268549e+00,1.99420890471305001e+00,1.99424181359932051e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.00946538286223086e+00,2.01033847924601350e+00,2.01055613129313215e+00,2.01062856349001429e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.00946538286223575e+00,2.01033847924600906e+00,2.01055613129314370e+00,2.01062856349003471e+00,0.00000000000000000e+00
9.00000000000000000e+00,3.00000000000000000e+01,7.50000000000000000e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.20000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,2.04397498170046976e+00,2.04438637613827678e+00,2.04448921370832526e+00,2.04452349079559736e+00,0.00000000000000000e+00
1.00000000000000000e+01,2.40000000000000000e+01,7.90569415042094881e-01,-1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,2.09134330783587252e+00,2.09177008380961738e+00,2.09187676607634376e+00,2.09191232459826004e+00,0.00000000000000000e+00
2.00000000000000000e+00,1.20000000000000000e+01,3.53553390593273786e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,2.12145594986416919e+00,2.12180740847760019e+00,2.12189526260529737e+00,2.12192454530964181e+00,0.00000000000000000e+00
