y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-4.00000000000000000e+00,3.77513454427909773e-11,3.77513454427909773e-11,3.12853438702765218e-05,0.00000000000000000e+00,8.28721294653904508e+05,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,9.85076380428349483e+05,9.85076380428349483e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.93333333333333313e+00,5.63183895007429213e-11,5.63183895007429213e-11,3.57282067027883026e-05,5.28250846022600408e-06,6.34396811050802469e+05,9.37972216012377467e+04,1.00000000000000000e+00,0.00000000000000000e+00,7.54090722170212422e+05,6.60293500568974530e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.86666666666666670e+00,8.40171643885889812e-11,8.40171643885889812e-11,4.06954573738085816e-05,1.11869482217824847e-05,4.84370755308849097e+05,1.33150747269231448e+05,1.00000000000000000e+00,0.00000000000000000e+00,5.75758715623348253e+05,4.42607968354117009e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,1.25338880860683912e-10,1.25338880860683912e-10,4.61494826616119599e-05,1.76700041055833543e-05,3.68197660173045821e+05,1.40977835323293140e+05,1.00000000000000000e+00,0.00000000000000000e+00,4.37666828271076840e+05,2.96688992947783612e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.73333333333333339e+00,1.86983638042684720e-10,1.86983638042684720e-10,5.20502677328454268e-05,2.46841115354905733e-05,2.78368034110895649e+05,1.32012147126240307e+05,1.00000000000000000e+00,0.00000000000000000e+00,3.30888726105591166e+05,1.98876578979350714e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.66666666666666652e+00,2.78946809286892464e-10,2.78946809286892464e-10,5.83545199881008200e-05,3.21778097415126321e-05,2.09195868335185340e+05,1.15354643502726904e+05,1.00000000000000000e+00,0.00000000000000000e+00,2.48665600850862160e+05,1.33310957348135184e+05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,4.16139739422414884e-10,4.16139739422414884e-10,6.50159866890049010e-05,4.00961193147381673e-05,1.56235947999689874e+05,9.63525362186989369e+04,1.00000000000000000e+00,0.00000000000000000e+00,1.85713543173500133e+05,8.93610069548011525e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.53333333333333321e+00,6.20807540940362445e-10,6.20807540940362445e-10,7.19857943031101927e-05,4.83809455776527592e-05,1.15955090033330445e+05,7.79322775370418094e+04,1.00000000000000000e+00,0.00000000000000000e+00,1.37832751785869623e+05,5.99004742488278425e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.46666666666666679e+00,9.26136022056775413e-10,9.26136022056775413e-10,7.92128070769112564e-05,5.69715048104112195e-05,8.55304244629146124e+04,6.15152671460593338e+04,1.00000000000000000e+00,0.00000000000000000e+00,1.01667755789493312e+05,4.01524886434340078e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,1.38163259107954067e-09,1.38163259107954067e-09,8.66440022062135978e-05,6.58047702059496187e-05,6.27113190334589599e+04,4.76282700848370660e+04,1.00000000000000000e+00,0.00000000000000000e+00,7.45432881248436606e+04,2.69150180400065692e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.33333333333333348e+00,2.06115362243855787e-09,2.06115362243855787e-09,9.42248588513265351e-05,7.48159342820707698e-05,4.57146220570637379e+04,3.62980873757268928e+04,1.00000000000000000e+00,0.00000000000000000e+00,5.43397635183676684e+04,1.80416761426407829e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.26666666666666661e+00,3.07487987958660606e-09,3.07487987958660606e-09,1.01899758142977740e-04,8.39388843579094485e-05,3.31394272730671291e+04,2.72982645322699173e+04,1.00000000000000000e+00,0.00000000000000000e+00,3.93919617275516721e+04,1.20936971952817512e+04,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.20000000000000018e+00,4.58718174664750813e-09,4.58718174664750813e-09,1.09612391244190400e-04,9.31066876063095229e-05,2.38953669808917948e+04,2.02971438126155626e+04,1.00000000000000000e+00,0.00000000000000000e+00,2.84037914853671937e+04,8.10664767275162194e+03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
-3.13333333333333330e+00,6.84327102221798770e-09,6.84327102221798770e-09,1.17306172474295511e-04,1.02252082123419796e-04,1.71418276571888746e+04,1.49419892609015242e+04,1.00000000000000000e+00,0.00000000000000000e+00,2.03760377124273728e+04,5.43404845152584585e+03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
