y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,1.32455360522852818e-08,0.00000000000000000e+00,8.69701488400450251e-01,0.00000000000000000e+00,1.00000000000000000e+00,-5.04671725648000394e-04,3.74889938181047710e-01,-3.99177129457379953e+00,1.45533427151218286e+00,-2.19472739433546038e-04,-2.19472739433546038e-04
-2.95312500000000000e+00,2.01764450415446278e-08,2.01764450415446278e-08,1.58916229625946014e-08,-6.02326820274438082e-09,7.87632456058175667e-01,-2.98529705819933766e-01,9.97401530804487457e-01,-4.57048580549544953e-04,3.39106673895426980e-01,-2.85468371363796036e+00,1.16431456546817591e+00,2.07867683735462623e-04,2.07867683735462623e-04
-2.90625000000000000e+00,2.67294468763689215e-08,2.67294468763689182e-08,2.15495484243030125e-08,-1.34752024621752358e-08,8.06210039585766092e-01,-5.04133232704057521e-01,9.95611911812870676e-01,-4.67828809469794736e-04,3.46400316781918849e-01,-2.02593776895078514e+00,9.59741279724855345e-01,9.17506912601562144e-04,9.17506912601562144e-04
-2.85937500000000000e+00,3.54107638310664349e-08,3.54107638310664283e-08,3.08772672718140721e-08,-2.35526202763081632e-08,8.71974053401382787e-01,-6.65126016164753753e-01,9.94210594689760585e-01,-5.05990453183786395e-04,3.73944430103017200e-01,-1.42088857027938209e+00,8.21691076082239791e-01,1.70473723318887403e-03,1.70473723318887403e-03
-2.81250000000000000e+00,4.69116402183441971e-08,4.69116402183441772e-08,4.49811626957061202e-08,-3.76071246151207132e-08,9.58848645801918531e-01,-8.01658702191677897e-01,9.93022183714554307e-01,-5.56402176109983913e-04,4.10544852732673049e-01,-9.77698770433839459e-01,7.32497603066206815e-01,2.53016128014335812e-03,2.53016128014335812e-03
-2.76562500000000000e+00,6.21478259682344769e-08,6.21478259682344372e-08,6.54298725250148400e-08,-5.72630690764003669e-08,1.05281031967969319e+00,-9.21401001310475420e-01,9.91979920014847916e-01,-6.10926401643833777e-04,4.50180736828158123e-01,-6.51650459704538498e-01,6.77783993090270154e-01,3.37326047587923868e-03,3.37326047587923868e-03
-2.71875000000000000e+00,8.23324926308510779e-08,8.23324926308509852e-08,9.43024915822968633e-08,-8.45118819413202488e-08,1.14538608718085344e+00,-1.02647058580190076e+00,9.91065370898416176e-01,-6.64646411280619227e-04,4.89230998555901131e-01,-4.10550179374644331e-01,6.46288850240183455e-01,4.20492899603464466e-03,4.20492899603464466e-03
-2.67187500000000000e+00,1.09072831385508235e-07,1.09072831385508023e-07,1.34256700929103087e-07,-1.21793141381231814e-07,1.23089039886188489e+00,-1.11662216735499453e+00,9.90280671409468960e-01,-7.14262985590242137e-04,5.25284632798113660e-01,-2.31307083716553397e-01,6.29391447453631625e-01,4.98681949707766199e-03,4.98681949707766199e-03
-2.62500000000000000e+00,1.44498024610924984e-07,1.44498024610924481e-07,1.88608477160541437e-07,-1.72066180085142870e-07,1.30526682055612042e+00,-1.19078569100476250e+00,9.89635135545273270e-01,-7.57422250676689909e-04,5.56636199665867193e-01,-9.74103980275862619e-02,6.20620943602731123e-01,5.67684736999231592e-03,5.67684736999231592e-03
-2.57812500000000000e+00,1.91428780670982426e-07,1.91428780670981261e-07,2.61417898980631979e-07,-2.38872568444685116e-07,1.36561439750245639e+00,-1.24784041149615832e+00,9.89138518522694854e-01,-7.92440836021641721e-04,5.82075357724557207e-01,2.91935272323971687e-03,6.15234419195590188e-01,6.23561369643157223e-03,6.23561369643157223e-03
-2.53125000000000000e+00,2.53601931014969519e-07,2.53601931014966819e-07,3.57577066630973002e-07,-3.26388071506792508e-07,1.40999346968643513e+00,-1.28700940959132537e+00,9.88797582820199805e-01,-8.18193192710070277e-04,6.00797629051158744e-01,7.80800454895170110e-02,6.09874315881272722e-01,6.63198483028363660e-03,6.63198483028363660e-03
-2.48437500000000000e+00,3.35967972992843540e-07,3.35967972992837240e-07,4.82897049792333418e-07,-4.39461866901809600e-07,1.43733060473186414e+00,-1.30804690395646395e+00,9.88614467773379135e-01,-8.34056427741464005e-04,6.12359538589285934e-01,1.34069802699452095e-01,6.02292544448462808e-01,6.84699783303044200e-03,6.84699783303044200e-03
-2.43750000000000000e+00,4.45085250041956611e-07,4.45085250041941894e-07,6.44191453157358528e-07,-5.83640583257521575e-07,1.44734397083851740e+00,-1.31130066251919830e+00,9.88586146332563920e-01,-8.39866999322621058e-04,6.16644616206755147e-01,1.75198034568275318e-01,5.91124790228971464e-01,6.87570884307880763e-03,6.87570884307880763e-03
-2.39062500000000000e+00,5.89642155590625023e-07,5.89642155590590824e-07,8.49354809082279344e-07,-7.65174872813146765e-07,1.44045808297332134e+00,-1.29769363597611309e+00,9.88704584928876029e-01,-8.35871245655534184e-04,6.13826886686522188e-01,2.04597055121290478e-01,5.75701464657137563e-01,6.72697547668924412e-03,6.72697547668924412e-03
-2.34375000000000000e+00,7.81148940830528507e-07,7.81148940830449097e-07,1.10743464336700431e-06,-9.91006645442811233e-07,1.41769973110336278e+00,-1.26865261366066728e+00,9.88957364469477018e-01,-8.22664994011374699e-04,6.04328003794494029e-01,2.24586785804250205e-01,5.55886098867554468e-01,6.42148831725057167e-03,6.42148831725057167e-03
-2.29687500000000000e+00,1.03485421110955996e-06,1.03485421110937531e-06,1.42869672839272785e-06,-1.26873567545361616e-06,1.38057777902952039e+00,-1.22600426401465490e+00,9.89328585224511170e-01,-8.01123810211649772e-04,5.88768644956171427e-01,2.36931366175898411e-01,5.31935774132007988e-01,5.98859320036535057e-03,5.98859320036535057e-03
-2.25000000000000000e+00,1.37095908638451390e-06,1.37095908638408445e-06,1.82468372434398698e-06,-1.60656497470547341e-06,1.33095417833117446e+00,-1.17185479177413066e+00,9.89799914317821217e-01,-7.72328150400417783e-04,5.67916691878967539e-01,2.43016568696331259e-01,5.04380847981431901e-01,5.46254299584307719e-03,5.46254299584307719e-03
-2.20312500000000000e+00,1.81622570248348358e-06,1.81622570248248514e-06,2.30826808779490903e-06,-2.01322504261345900e-06,1.27091477928094565e+00,-1.10846633205427447e+00,9.90351661620424428e-01,-7.37488395001958236e-04,5.42635286388028049e-01,2.43969680502833325e-01,4.73922766023506359e-01,4.87878671034986441e-03,4.87878671034986441e-03
-2.15625000000000000e+00,2.40610812906274511e-06,2.40610812906042339e-06,2.89370076755242711e-06,-2.49787780035528266e-06,1.20264784969676586e+00,-1.03814029394044516e+00,9.90963795153934401e-01,-6.97874355452246650e-04,5.13833689798444793e-01,2.40738171043328647e-01,4.41349379889047211e-01,4.27077565719343084e-03,4.27077565719343084e-03
-2.10937500000000000e+00,3.18757537723827346e-06,3.18757537723287532e-06,3.59665778233213959e-06,-3.07000164686688452e-06,1.12833654319867027e+00,-9.63114996054444283e-01,9.91616832093442535e-01,-6.54752875512587757e-04,4.82423334775779866e-01,2.34139446375622978e-01,4.07467214736474570e-01,3.66758658494082236e-03,3.66758658494082236e-03
-2.06250000000000000e+00,4.22285127707007759e-06,4.22285127705752711e-06,4.43428726100465222e-06,-3.73925960170355723e-06,1.05006948388067634e+00,-8.85482191148598496e-01,9.92292565356083900e-01,-6.09335945204634742e-04,4.49280751077254847e-01,2.24890913905222284e-01,3.73049818307130798e-01,3.09247553358700262e-03,3.09247553358700262e-03
-2.01562500000000000e+00,5.59436901025371960e-06,5.59436901022453847e-06,5.42525990831644749e-06,-4.51535289906567844e-06,9.69771550357329315e-01,-8.07124608836707336e-01,9.92974607243047980e-01,-5.62740536069797218e-04,4.15218306115366642e-01,2.13627189798520911e-01,3.38800893873180853e-01,2.56231882199646054e-03,2.56231882199646054e-03
-1.96875000000000000e+00,7.41133479951840556e-06,7.41133479945055738e-06,6.58982612937672152e-06,-5.40786265360934648e-06,8.89155099276484173e-01,-7.29674586285086080e-01,9.93648749527278663e-01,-5.15960297073753929e-04,3.80963016266847476e-01,2.00909407898968634e-01,3.05330520226895774e-01,2.08778867590770668e-03,2.08778867590770668e-03
-1.92187500000000000e+00,9.81842338430670386e-06,9.81842338414895244e-06,7.94988320445417013e-06,-6.42608232772105387e-06,8.09690404804564889e-01,-6.54492282141289849e-01,9.94303153084300839e-01,-4.69848401185208459e-04,3.47143110032334057e-01,1.87230122847540537e-01,2.73142478414904744e-01,1.67405530621034704e-03,1.67405530621034704e-03
-1.87500000000000000e+00,1.30072976544344044e-05,1.30072976540676205e-05,9.52905595803612560e-06,-7.57884369645721089e-06,7.32593057486942034e-01,-5.82660895292664294e-01,9.94928389509213473e-01,-4.25110233167088909e-04,3.14281588177043159e-01,1.73016164423792584e-01,2.42630571173313908e-01,1.32179815800903045e-03,1.32179815800903045e-03
-1.82812500000000000e+00,1.72318696852113095e-05,1.72318696843585133e-05,1.13527943244846419e-05,-8.87433884250233709e-06,6.58825451470867018e-01,-5.14995703023313545e-01,9.95517362446554421e-01,-3.82304252584573514e-04,2.82795736683699894e-01,1.58630937271961897e-01,2.14081834469742827e-01,1.02833365805893263e-03,1.02833365805893263e-03
-1.78125000000000000e+00,2.28285183242229577e-05,2.28285183222401451e-05,1.34484910930480334e-05,-1.03199404370532734e-05,5.89109240609197116e-01,-4.52063523851187254e-01,9.96065138181421950e-01,-3.41849221852237183e-04,2.53001397609984691e-01,1.44377023085896478e-01,1.87684676610906737e-01,7.88710485814848286e-04,7.88710485814848286e-04
-1.73437500000000000e+00,3.02428731422765757e-05,3.02428731376663956e-05,1.58456229364313555e-05,-1.19220221949613436e-05,5.23945686783846232e-01,-3.94209311419982111e-01,9.96568714160302127e-01,-3.04036013990675142e-04,2.25120771545488402e-01,1.30499489981329181e-01,1.63540204232622777e-01,5.96673237909003409e-04,5.96673237909003409e-04
-1.68750000000000000e+00,4.00652974036700606e-05,4.00652973929510687e-05,1.85759176101410331e-05,-1.36857809570375572e-05,4.63641076414653186e-01,-3.41586905565947008e-01,9.97026751326921645e-01,-2.69042361357603335e-04,1.99292587687354278e-01,1.17190009406337795e-01,1.41675269813058946e-01,4.45441864071095036e-04,4.45441864071095036e-04
-1.64062500000000000e+00,5.30778953650433246e-05,5.30778953401209251e-05,2.16735499752956422e-05,-1.56150613726690576e-05,4.08334766034192609e-01,-2.94191419471484306e-01,9.97439292217231155e-01,-2.36949129977413704e-04,1.75583605782167668e-01,1.04591691623712832e-01,1.22056069723281979e-01,3.28291846635551628e-04,3.28291846635551628e-04
-1.59375000000000000e+00,7.03167868299443887e-05,7.03167867719980787e-05,2.51753692656752498e-05,-1.77121836541132041e-05,3.58027868186103160e-01,-2.51891254808683018e-01,9.97807482292451753e-01,-2.07756965438650785e-04,1.54000581673470194e-01,9.28044476809540414e-02,1.04601409561537614e-01,2.38946627804511799e-04,2.38946627804511799e-04
-1.54687500000000000e+00,9.31546075330597718e-05,9.31546073983305622e-05,2.91211598088938653e-05,-1.99777743700819178e-05,3.12611051908268267e-01,-2.14458253091622669e-01,9.98133307494972755e-01,-1.81402425001415756e-04,1.34502011840260532e-01,8.18906443260031119e-02,8.91950164749389512e-02,1.71809606312267707e-04,1.71809606312267707e-04
-1.50000000000000000e+00,1.23409804399934354e-04,1.23409804086679561e-04,3.35539372377695533e-05,-2.24105997575011945e-05,2.71890369538243637e-01,-1.81594970702332742e-01,9.98419356840439143e-01,-1.57772964415990190e-04,1.17009153853050746e-01,7.18808183936824191e-02,7.56965053372228441e-02,1.22069949989129083e-04,1.22069949989129083e-04
-1.45312500000000000e+00,1.63491428260087560e-04,1.63491427531748323e-04,3.85202821044064756e-05,-2.50074005701498442e-05,2.35610408973438323e-01,-1.52958481968687138e-01,9.98668615230446255e-01,-1.36720372752204054e-04,1.01415986110155787e-01,6.27792428981634176e-02,6.39507919858602752e-02,8.57169256337801997e-05,8.57169256337801997e-05
-1.40625000000000000e+00,2.16590953070324523e-04,2.16590951376885026e-04,4.40707127462406455e-05,-2.77627270610658322e-05,2.03474394780021023e-01,-1.28180456683790689e-01,9.98884288693331901e-01,-1.18072436702021039e-04,8.75979135234190714e-02,5.45691764230601603e-02,5.37958917619851817e-02,5.94938339352999804e-05,5.94938339352999804e-05
-1.35937500000000000e+00,2.86936395200046955e-04,2.86936391262682089e-04,5.02600992571988582e-05,-3.06687723183229744e-05,1.75161118588081671e-01,-1.06883522802259642e-01,9.99069661959613886e-01,-1.01642764975444440e-04,7.54191422213374291e-02,4.72176717797898812e-02,4.50691480548626247e-02,4.08169735935611755e-05,4.08169735935611755e-05
-1.31250000000000000e+00,3.80128967024111533e-04,3.80128957869463682e-04,5.71481204922227894e-05,-3.37152018438434089e-05,1.50338771380441522e-01,-8.86941158937468305e-02,9.99227986617478803e-01,-8.72388149224746421e-05,6.47387353494823514e-02,4.06798634803215015e-02,3.76120080885333705e-02,2.76788342308126628e-05,2.76788342308126628e-05
-1.26562500000000000e+00,5.03589071022147506e-04,5.03589049736952545e-04,6.47997661810294294e-05,-3.68889769821361589e-05,1.28675884066338037e-01,-7.32521427966016381e-02,9.99362396998183411e-01,-7.46682411461390110e-05,5.54154255081059852e-02,3.49026927341963625e-02,3.12735074156951301e-02,1.85488921913693806e-05,1.85488921913693806e-05
-1.21875000000000000e+00,6.67147147243832674e-04,6.67147097754267342e-04,7.32858864462373235e-05,-4.01741695674203385e-05,1.09849666876960586e-01,-6.02178585542132230e-02,9.99475850317665615e-01,-6.37437346998393129e-05,4.73113005286360591e-02,2.98280615034225635e-02,2.59126463315711882e-02,1.22804717622689417e-05,1.22804717622689417e-05
-1.17187500000000000e+00,8.83826422001754279e-04,8.83826306935049958e-04,8.26837913096617520e-05,-4.35517649589070330e-05,9.35520821917987661e-02,-4.92763845307305770e-02,9.99571087349858112e-01,-5.42865470364235734e-05,4.02945020888450106e-02,2.53954329184634120e-02,2.13998462229879650e-02,8.02832261723350756e-06,8.02832261723350756e-06
-1.12500000000000000e+00,1.17087988832934877e-03,1.17087962079117443e-03,9.30779031248515996e-05,-4.69994504686894516e-05,7.94939987613397792e-02,-4.01402925066980595e-02,9.99650609934140122e-01,-4.61289006269620356e-05,3.42410851604647848e-02,2.15439141840566353e-02,1.76176666520560764e-02,5.17882435401030364e-06,5.17882435401030364e-06
-1.07812500000000000e+00,1.55116409797556327e-03,1.55116347593038163e-03,1.04560465289949245e-04,-5.04913860476275894e-05,6.74077664362450896e-02,-3.25506542869977433e-02,9.99716671839319004e-01,-3.91154830285783786e-05,2.90361842822382428e-02,1.82138706123382253e-02,1.44609489004721894e-02,3.29291483960400733e-06,3.29291483960400733e-06
-1.03125000000000000e+00,2.05495917750902037e-03,2.05495773120945892e-03,1.17232311068334914e-04,-5.39979539740348838e-05,5.70485267350667388e-02,-2.62769171131583441e-02,9.99771279848067351e-01,-3.31042073827124772e-05,2.45746234897000551e-02,1.53481265224714777e-02,1.18365321172379957e-02,2.06075710902036011e-06,2.06075710902036011e-06
-9.84375000000000000e-01,2.72238004489039559e-03,2.72237668213834005e-03,1.31203696871435622e-04,-5.74854841798883850e-05,4.81945418252625046e-02,-2.11159185123255509e-02,9.99816202331897053e-01,-2.79664033167329768e-05,2.07610931663031496e-02,1.28928114626946696e-02,9.66266668627061009e-03,1.26661429260029907e-06,1.26661429260029907e-06
-9.37500000000000000e-01,3.60657095466819858e-03,3.60656313601573049e-03,1.46595204935133142e-04,-6.09159517419202617e-05,4.06467873725013737e-02,-1.68903051033832165e-02,9.99852983014225094e-01,-2.35865806819021572e-05,1.75100012697367198e-02,1.07979095601361454e-02,7.86822782583261951e-03,7.62221504691741588e-07,7.62221504691741588e-07
-8.90625000000000000e-01,4.77793805297900120e-03,4.77791987398702017e-03,1.63538720946243072e-04,-6.42466429529274112e-05,3.42280166389176549e-02,-1.34465718654498186e-02,9.99882958037017988e-01,-1.98618864668624551e-05,1.47450899382771117e-02,9.01756672412028226e-03,6.39181201662509298e-03,4.46990089545242480e-07,4.46990089545242480e-07
-8.43750000000000000e-01,6.32975769523631566e-03,6.32971542748574697e-03,1.82178492846796214e-04,-6.74297862648855776e-05,2.87814665499362167e-02,-1.06528938050015377e-02,9.99907274834444526e-01,-1.67013539520912573e-05,1.23988925170066544e-02,7.51020573682967957e-03,5.18078041266354684e-03,2.53550937376957350e-07,2.53550937376957350e-07
-7.96875000000000000e-01,8.38560880222644252e-03,8.38551052542408325e-03,2.02672277761584228e-04,-7.04121442536664963e-05,2.41693427188602109e-02,-8.39688222204044293e-03,9.99926911662836315e-01,-1.40250235976240959e-05,1.04120912868686105e-02,6.23849363806174874e-03,4.19029732622451783e-03,1.37369275415593178e-07,1.37369275415593178e-07
-7.50000000000000000e-01,1.11092250441135361e-02,1.11089965382423061e-02,2.25192584759226861e-04,-7.31345625897346265e-05,2.02711904701752092e-02,-6.58336352324637251e-03,9.99942696934393638e-01,-1.17629977779365675e-05,8.73282304260122010e-03,5.16919978379154054e-03,3.38239832582110838e-03,6.93984690903887430e-08,6.93984690903887430e-08
-7.03125000000000000e-01,1.47175606129846849e-02,1.47170292986351370e-02,2.49928021971274744e-04,-7.55314718046722137e-05,1.69822330920040461e-02,-5.13224987679252766e-03,9.99955327751481549e-01,-9.85447650050706710e-06,7.31596832764959577e-03,4.27297693395251206e-03,2.72511138255690424e-03,3.09590603659358608e-08,3.09590603659358608e-08
-6.56250000000000000e-01,1.94981315424071142e-02,1.94968961085979949e-02,2.77084757460923281e-04,-7.75303374156144625e-05,1.42117368794272246e-02,-3.97654770194031618e-03,9.99965387241180337e-01,-8.24680867062449778e-06,6.12245060956815353e-03,3.52409198899932257e-03,2.19164565974048825e-03,1.02189041050622093e-08,1.02189041050622093e-08
-6.09375000000000000e-01,2.58320636480284180e-02,2.58291908071907536e-02,3.06888104157197630e-04,-7.90510537042264763e-05,1.18814447749466916e-02,-3.06053156269297166e-03,9.99973360450124416e-01,-6.89458316185245674e-06,5.11856387380558997e-03,2.90012773422525152e-03,1.75965570754351179e-03,-1.93214259141670171e-10,-1.93214259141670171e-10
-5.62500000000000000e-01,3.42247993820586349e-02,3.42181183116660320e-02,3.39584240157561081e-04,-8.00052761400725499e-05,9.92410620199960306e-03,-2.33809689391354519e-03,9.99979648682739031e-01,-5.75877570554537073e-06,4.27534086747208015e-03,2.38167227280890485e-03,1.41058371251622373e-03,-4.78367601608067001e-09,-4.78367601608067001e-09
