iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,6.91597425213682643e-02,1.00000000000000000e+00,4.30843051320129233e-01,3.44769685972597451e+00,3.44769685972597451e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+00,4.14882866995429783e-02,6.00128523370337619e-01,4.30882784796144058e-01,3.44741901615995605e+00,3.44741901615995605e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+00,4.19545703281798570e-05,3.26215003124426912e-04,4.30942659721289867e-01,3.44726380689370737e+00,3.44726380689370737e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
4.00000000000000000e+00,1.54564011856483486e-08,1.44038925174059974e-06,4.30942803695257171e-01,3.44726380825660028e+00,3.44726380825660028e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
5.00000000000000000e+00,7.64972644805027607e-09,1.07610264832289730e-07,4.30942803386743678e-01,3.44726380825660472e+00,3.44726380825660472e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
6.00000000000000000e+00,4.56787169379068559e-09,6.43742576982453868e-08,4.30942803422716458e-01,3.44726380825655720e+00,3.44726380825655720e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
7.00000000000000000e+00,2.69675345474659984e-09,3.80686046362329573e-08,4.30942803444625155e-01,3.44726380825666512e+00,3.44726380825666512e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
8.00000000000000000e+00,1.57368483121614420e-09,2.22411732616864840e-08,4.30942803457797230e-01,3.44726380825662737e+00,3.44726380825662737e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
9.00000000000000000e+00,8.27486869891412194e-10,1.16719157969658054e-08,4.30942803466614122e-01,3.44726380825675172e+00,3.44726380825675172e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
1.00000000000000000e+01,1.49573324509538683e-12,7.74568410144286846e-12,4.30942803476321190e-01,3.44726380825668244e+00,3.44726380825668244e+00,1.70000000000000000e+02,9.90000000000000000e+01,0.00000000000000000e+00
