iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.33983180525765624e-02,8.74564375757323070e-03,2.33983180525765624e-02,1.10719080889085802e-03,1.38598632478777328e+00,1.12718519542712420e+03,1.12718519542712420e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,1.40389974266238414e-02,5.24739322977296405e-03,1.40389974266238414e-02,6.68684876624518754e-04,1.38598632866021165e+00,1.12718519564467852e+03,1.12718519564467852e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,6.32541642211512940e-08,1.04219636813910061e-07,6.32541642211512940e-08,1.45813294309959929e-05,1.38598633446665920e+00,1.12718519577244888e+03,1.12718519577244888e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,1.89421727199632718e-08,3.54528046295152142e-08,1.89421727199632718e-08,4.96018831153133277e-06,1.38598633446416253e+00,1.12718519577246047e+03,1.12718519577246047e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,5.14208005662244035e-10,5.60616452060201696e-09,6.93100098975954999e-10,5.45633015991420223e-07,1.38598633446292108e+00,1.12718519577246343e+03,1.12718519577246343e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,6.16958695748931689e-10,3.40111088239123382e-09,6.16958695748931689e-10,2.32788538778727627e-07,1.38598633446278208e+00,1.12718519577245775e+03,1.12718519577245775e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,4.05614130206987940e-10,2.09687496689315266e-09,4.05614130206987940e-10,1.39001181898024129e-07,1.38598633446272035e+00,1.12718519577245934e+03,1.12718519577245934e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,2.51440617456240204e-10,1.27780346534001931e-09,2.51440617456240204e-10,8.29530109047738051e-08,1.38598633446269015e+00,1.12718519577246684e+03,1.12718519577246684e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,1.43762498811925138e-10,7.11311496916481669e-10,1.43762498811925138e-10,4.47984542795154539e-08,1.38598633446264374e+00,1.12718519577246093e+03,1.12718519577246093e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,6.82935754644130915e-14,2.01722289697893993e-13,6.82935754644130915e-14,2.34720021197176720e-11,1.38598633446260422e+00,1.12718519577245729e+03,1.12718519577245729e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
