q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
2.03000000000000000e+02,9.60000000000000000e+01,3.56195171219375162e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-6.51285975555293017e+00,-6.51285975555293017e+00,0.00000000000000000e+00
2.02000000000000000e+02,7.20000000000000000e+01,3.55316760088797379e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-6.50461763310407903e+00,-6.50461763310407903e+00,0.00000000000000000e+00
2.01000000000000000e+02,1.44000000000000000e+02,3.54436171968945635e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,5.97222222222222210e-01,5.97222222222222210e-01,-6.49366186274172019e+00,-6.49366186274172019e+00,0.00000000000000000e+00
2.00000000000000000e+02,8.40000000000000000e+01,3.53553390593273775e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.36000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.48267573785900808e+00,-6.48267573785900808e+00,0.00000000000000000e+00
1.98000000000000000e+02,1.20000000000000000e+02,3.51781181986757208e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.46061146873301073e+00,-6.46061146873301073e+00,0.00000000000000000e+00
1.97000000000000000e+02,1.20000000000000000e+02,3.50891721190454975e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.44953283885259854e+00,-6.44953283885259854e+00,0.00000000000000000e+00
1.96000000000000000e+02,5.40000000000000000e+01,3.50000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.16000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.43842288306567934e+00,-6.43842288306567934e+00,0.00000000000000000e+00
1.95000000000000000e+02,9.60000000000000000e+01,3.49106001094223517e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.42728135056227323e+00,-6.42728135056227323e+00,0.00000000000000000e+00
1.94000000000000000e+02,2.40000000000000000e+02,3.48209706929602980e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.41610798723061304e+00,-6.41610798723061304e+00,0.00000000000000000e+00
1.93000000000000000e+02,4.80000000000000000e+01,3.47311099736245099e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.40490253559647371e+00,-6.40490253559647371e+00,0.00000000000000000e+00
