iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.13519737941163955e-02,2.14531606500403338e-03,1.38752748320518782e+00,1.12844378771447305e+03,1.12844378771447305e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,6.81103280940529437e-03,1.28721647437681787e-03,1.38752739847455886e+00,1.12844378780099987e+03,1.12844378780099987e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,2.04775792975736288e-07,2.84814096728454796e-06,1.38752726303795115e+00,1.12844378781811952e+03,1.12844378781811952e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,6.42512212176080896e-08,8.50382620788451828e-07,1.38752725088590312e+00,1.12844378781975138e+03,1.12844378781975138e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,8.80246833137480386e-09,3.36335225019308152e-08,1.38752724640531522e+00,1.12844378782019908e+03,1.12844378782019908e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,1.65387435524382354e-09,6.78987433107638108e-09,1.38752724643970926e+00,1.12844378782021204e+03,1.12844378782021204e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,3.50290083366354948e-10,1.25037526857990522e-09,1.38752724644786252e+00,1.12844378782020499e+03,1.12844378782020499e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,2.12447031401410510e-10,7.06018864471971136e-10,1.38752724644862169e+00,1.12844378782020431e+03,1.12844378782020431e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,1.24399000577160874e-10,4.07103041702089461e-10,1.38752724644889547e+00,1.12844378782020135e+03,1.12844378782020135e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,2.97368392649451236e-12,3.54998282565038308e-12,1.38752724644911041e+00,1.12844378782020840e+03,1.12844378782020840e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
