y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,2.73617640862280864e-06,0.00000000000000000e+00,1.79657258544465407e+02,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.81854817670038891e+01,5.11830215175942005e+00,4.35572653841479518e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.95000000000000018e+00,2.05583222976044118e-08,2.05583222976044118e-08,3.02874977884217590e-06,7.84762634231777781e-09,1.47324754179727279e+02,3.81725037126800670e-01,1.00000000000000000e+00,0.00000000000000000e+00,1.49944662673864251e+01,4.28879510366037131e+00,3.44131537553308275e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.89999999999999991e+00,2.77508324224075661e-08,2.77508324224075628e-08,3.36193052187137373e-06,1.25469779779173575e-08,1.21147015365087370e+02,4.52129787926153548e-01,1.00000000000000000e+00,0.00000000000000000e+00,1.25083697843769084e+01,3.57850078785392833e+00,2.82591306953227450e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.85000000000000009e+00,3.74597055629524578e-08,3.74597055629524512e-08,3.74157205090535830e-06,8.90172783744881072e-09,9.98825803533748058e+01,2.37634751893314261e-01,1.00000000000000000e+00,0.00000000000000000e+00,1.05389972152787728e+01,2.98872841128209643e+00,2.43754468403445523e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.79999999999999982e+00,5.05653134833554077e-08,5.05653134833553878e-08,4.17609068258229915e-06,-9.36150062993942277e-09,8.25880508771481345e+01,-1.85136805945462113e-01,1.00000000000000000e+00,0.00000000000000000e+00,8.97100858395840817e+00,2.51331200824260304e+00,2.21427779388709167e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.75000000000000000e+00,6.82560337633487521e-08,6.82560337633486991e-08,4.67681501343954571e-06,-5.03291005287434352e-08,6.85187045830202521e+01,-7.37357530958216212e-01,1.00000000000000000e+00,0.00000000000000000e+00,7.72447270570941491e+00,2.14054027054135965e+00,2.10709665537542090e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.70000000000000018e+00,9.21360083456611503e-08,9.21360083456610180e-08,5.25861642657977374e-06,-1.24631338527997651e-07,5.70744980274307636e+01,-1.35268871276066038e+00,1.00000000000000000e+00,0.00000000000000000e+00,6.73863136719190781e+00,1.85618367340162416e+00,2.07837880218365401e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.64999999999999991e+00,1.24370602360287510e-07,1.24370602360287193e-07,5.94077039900296782e-06,-2.46243011944368551e-07,4.77666770624238595e+01,-1.97991331770695433e+00,1.00000000000000000e+00,0.00000000000000000e+00,5.96436183725653279e+00,1.64546851390461013e+00,2.09960221368629130e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.60000000000000009e+00,1.67882752999566821e-07,1.67882752999566027e-07,6.74804315494915301e-06,-4.33395051444993044e-07,4.01949755670649367e+01,-2.58153409865820782e+00,1.00000000000000000e+00,0.00000000000000000e+00,5.36053258182762082e+00,1.49425195838694536e+00,2.14927157403295777e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.54999999999999982e+00,2.26618012776573347e-07,2.26618012776571415e-07,7.71201353701712902e-06,-7.09620487127158218e-07,3.40308938487630428e+01,-3.13135076260152090e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.89215884556320901e+00,1.38965324948471469e+00,2.21128545289333678e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.50000000000000000e+00,3.05902320501830550e-07,3.05902320501825786e-07,8.87264653952531620e-06,-1.10494691656841410e-06,2.90048356775128191e+01,-3.61209066592163719e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.52940150350914372e+00,1.32033870804033149e+00,2.27371782046348292e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.45000000000000018e+00,4.12924941587338202e-07,4.12924941587326449e-07,1.02801369628164712e-05,-1.65723852965079182e-06,2.48958973592114710e+01,-4.01341348691652033e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.24695605720547853e+00,1.27659805070197785e+00,2.32792383114000545e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.39999999999999991e+00,5.57390369269489520e-07,5.57390369269460615e-07,1.19970409848464139e-05,-2.41368192477442141e-06,2.15235885768357385e+01,-4.33032585033339235e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.02361322975826052e+00,1.25030182262330203e+00,2.36787908582277762e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.35000000000000009e+00,7.52398299216490886e-07,7.52398299216419947e-07,1.41007109705282006e-05,-3.43240049852449239e-06,1.87410191984927259e+01,-4.56194611564000319e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.84188661052145664e+00,1.23479580692543278e+00,2.38967897307867450e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.29999999999999982e+00,1.01563147100266666e-06,1.01563147100249196e-06,1.66860449465006695e-05,-4.78417169227227799e-06,1.64292318847017427e+01,-4.71053903789531070e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.68765989128070037e+00,1.22476563781372705e+00,2.39114443045408986e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.25000000000000000e+00,1.37095908638451390e-06,1.37095908638408445e-06,1.98685570403767669e-05,-6.55420966674073877e-06,1.44924507505036075e+01,-4.78074782233474060e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.54983526246458281e+00,1.21609047854140173e+00,2.37149753541930775e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.20000000000000018e+00,1.85060119758296102e-06,1.85060119758190477e-06,2.37877689172755281e-05,-8.84396304014792427e-06,1.28540762582224151e+01,-4.77896753320160173e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.41997920795917931e+00,1.20569593865593494e+00,2.33108360083494404e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.14999999999999991e+00,2.49805032586923788e-06,2.49805032586663961e-06,2.86109149469613940e-05,-1.17728633053427609e-05,1.14532980583709900e+01,-4.71282070798891617e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.29196902849680884e+00,1.19141143782802028e+00,2.27112609955256017e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.10000000000000009e+00,3.37201523414556903e-06,3.37201523413917859e-06,3.45369456849218469e-05,-1.54799447466252527e-05,1.02422270621023976e+01,-4.59071020495464577e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.16164639772823364e+00,1.17183458004392094e+00,2.19350734087965105e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.04999999999999982e+00,4.55174446309895718e-06,4.55174446308323963e-06,4.18008055689601368e-05,-2.01252416236159564e-05,9.18346930676448814e+00,-4.42143485576596174e+00,1.00000000000000000e+00,0.00000000000000000e+00,3.02648494154873626e+00,1.14620382677963906e+00,2.10057199017835883e+00,0.00000000000000000e+00,0.00000000000000000e+00
-2.00000000000000000e+00,6.14421235336686839e-06,6.14421235332820981e-06,5.06779520101270246e-05,-2.58908538194199454e-05,8.24807950895051434e+00,-4.21386051303961384e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.88527824669793365e+00,1.11428022179571018e+00,1.99495284598061118e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.94999999999999996e+00,8.29381916085245496e-06,8.29381916075737043e-06,6.14890749603306879e-05,-3.29815590211225053e-05,7.41384322089748338e+00,-3.97664313410357861e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.73785345522222556e+00,1.07623872880286031e+00,1.87941928684098003e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.89999999999999991e+00,1.11954848428248310e-05,1.11954848425909601e-05,7.46049693802579284e-05,-4.16248389368842496e-05,6.66384443632475776e+00,-3.71800234845845745e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.58481407500940685e+00,1.03256966660313454e+00,1.75674891895490792e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.84999999999999987e+00,1.51123238204302654e-05,1.51123238198550334e-05,9.04515086973588320e-05,-5.20701802579022474e-05,5.98528126948423811e+00,-3.44554423784189057e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.42731408967640361e+00,9.83990646475756736e-01,1.62962256034751030e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.79999999999999982e+00,2.03995034125867992e-05,2.03995034111719594e-05,1.09514666201341904e-04,-6.45875092062178646e-05,5.36849667337320113e+00,-3.16613144469222663e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.26686404647494788e+00,9.31369287732430218e-01,1.50054206781157862e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.75000000000000000e+00,2.75364493532271049e-05,2.75364493497471581e-05,1.32345534110889056e-04,-7.94646225556038942e-05,4.80619459792858983e+00,-2.88579771292603393e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.10516862756003764e+00,8.75656806034951107e-01,1.37176984481704523e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.69999999999999996e+00,3.71703186926860223e-05,3.71703186841267340e-05,1.59565297262686303e-04,-9.70034886515284538e-05,4.29281488325864924e+00,-2.60970290504808000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.94399429899855902e+00,8.17832352871244228e-01,1.24528828372512801e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.64999999999999991e+00,5.01746820772278190e-05,5.01746820561753707e-05,1.91870130205924158e-04,-1.17515309453657281e-04,3.82404277103554113e+00,-2.34212364957465224e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.78506497315930845e+00,7.58857758052432829e-01,1.12277695489384177e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.59999999999999987e+00,6.77287365426345673e-05,6.77287364908538982e-05,2.30036002747568318e-04,-1.41314258766740832e-04,3.39643133278637777e+00,-2.08647416279239017e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.62998317944132376e+00,6.99642113150035549e-01,1.00560507636122720e+00,0.00000000000000000e+00,0.00000000000000000e+00
-1.54999999999999982e+00,9.14242316055333332e-05,9.14242314781734322e-05,2.74923399123656105e-04,-1.68709841898613745e-04,3.00711742038861107e+00,-1.84535149129354648e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.48017397246938676e+00,6.41015449725065745e-01,8.94836671345954904e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.50000000000000000e+00,1.23409804399934354e-04,1.23409804086679561e-04,3.27481979065490157e-04,-1.99997856804300458e-04,2.65361396113615200e+00,-1.62059941902045024e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.33684867476023861e+00,5.83710622544377666e-01,7.91245823745438392e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.44999999999999996e+00,1.66585811758116040e-04,1.66585810987633539e-04,3.88755233910450702e-04,-2.35449974765517667e-04,2.33366354316520930e+00,-1.41338553007372481e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.20098551943245502e+00,5.28352409172387238e-01,6.95339546777930750e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.39999999999999991e+00,2.24867326073929780e-04,2.24867324178848601e-04,4.59885216228051678e-04,-2.75301997957349881e-04,2.04514025284652368e+00,-1.22428636069146290e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.07332430468570084e+00,4.75452783155386249e-01,6.07385960740590702e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.34999999999999987e+00,3.03539142740014384e-04,3.03539138078866776e-04,5.42117445788195041e-04,-3.19740889863709681e-04,1.78598861820362687e+00,-1.05337615401883800e+00,1.00000000000000000e+00,0.00000000000000000e+00,9.54372280842394338e-01,4.25411305163304221e-01,5.27445709899310389e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.29999999999999982e+00,4.09734990444360727e-04,4.09734978979787133e-04,6.36806116746665681e-04,-3.68890710411849871e-04,1.55419026789528858e+00,-9.00315397358466218e-01,1.00000000000000000e+00,0.00000000000000000e+00,8.44418653498986260e-01,3.78519599787073724e-01,4.55404817023459751e-01,0.00000000000000000e+00,0.00000000000000000e+00
-1.25000000000000000e+00,5.53084398346136261e-04,5.53084370147833627e-04,7.45419749487723714e-04,-4.22797619028990595e-04,1.34775052364701819e+00,-7.64436027935450624e-01,1.00000000000000000e+00,0.00000000000000000e+00,7.43555295751869960e-01,3.34968939211699512e-01,3.91007461491873598e-01,0.00000000000000000e+00,0.00000000000000000e+00
