y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,2.05490771029449242e-06,0.00000000000000000e+00,1.34925176837998890e+02,0.00000000000000000e+00,1.00000000000000000e+00,1.36836806477732026e-01,-8.04781853592250052e+00,-2.08336901868745770e+01,1.34934083098108601e+01,9.23145109282683940e+00,9.23145109282683940e+00
-2.95312500000000000e+00,2.01764450415446278e-08,2.01764450415446278e-08,2.26485996449562539e-06,-4.28131024532780155e-08,1.12252676813587797e+02,-2.12193487827627791e+00,1.03227997907080749e+00,1.13843080837248131e-01,-5.27714373850210006e+00,-1.33901557390427879e+01,9.76699569325963068e+00,6.35534673365397840e+00,6.35534673365397840e+00
-2.90625000000000000e+00,2.67294468763689215e-08,2.67294468763689182e-08,2.51030682513282028e-06,-8.83487120710317793e-08,9.39154048620490869e+01,-3.30529518548097911e+00,1.05028187269198314e+00,9.52460050937418423e-02,-3.27032721698138173e+00,-8.43856397433667915e+00,7.21394563458575355e+00,4.38943498697366064e+00,4.38943498697366064e+00
-2.85937500000000000e+00,3.54107638310664349e-08,3.54107638310664283e-08,2.79476771612603819e-06,-1.41159071010093079e-07,7.89242426246153030e+01,-3.98633228256578898e+00,1.06064216388913790e+00,8.00424469881778761e-02,-1.80389844646875930e+00,-5.15716207554053341e+00,5.48430656472059752e+00,3.03777459417474160e+00,3.03777459417474160e+00
-2.81250000000000000e+00,4.69116402183441971e-08,4.69116402183441772e-08,3.12448622372406113e-06,-2.06562737852381636e-07,6.66036448348755954e+01,-4.40322992099534538e+00,1.06698422800286208e+00,6.75472900800730552e-02,-7.12460529725561398e-01,-2.99064999152087463e+00,4.32911399652409390e+00,2.10197420226054144e+00,2.10197420226054144e+00
-2.76562500000000000e+00,6.21478259682344769e-08,6.21478259682344372e-08,3.50848964046535742e-06,-2.91295830574559212e-07,5.64539400341799293e+01,-4.68714433749378490e+00,1.07130328204938174e+00,5.72537835295020003e-02,1.20364933776289304e-01,-1.56524459089321155e+00,3.57324760234294247e+00,1.44899631495518144e+00,1.44899631495518144e+00
-2.71875000000000000e+00,8.23324926308510779e-08,8.23324926308509852e-08,3.95897840149669464e-06,-4.04145652441875998e-07,4.80852489095322042e+01,-4.90870177165555255e+00,1.07467372918748305e+00,4.87665241852338824e-02,7.74397657113641946e-01,-6.30084341040659246e-01,3.09359418911209394e+00,9.89199599175476174e-01,9.89199599175476174e-01
-2.67187500000000000e+00,1.09072831385508235e-07,1.09072831385508023e-07,4.49196204959493754e-06,-5.56639465458022589e-07,4.11831433413377255e+01,-5.10337412522675749e+00,1.07763518647030399e+00,4.17666290873909135e-02,1.30332541792021339e+00,-1.74499005504399653e-02,2.80332291308552950e+00,6.61939765186391749e-01,6.61939765186391749e-01
-2.62500000000000000e+00,1.44498024610924984e-07,1.44498024610924481e-07,5.12811754737082625e-06,-7.63829445055081894e-07,3.54891879053627335e+01,-5.28608918434539010e+00,1.08041474315917951e+00,3.59920012800037450e-02,1.74248832288417055e+00,3.84229882429819036e-01,2.64090618493355489e+00,4.26123643333641389e-01,4.26123643333641389e-01
-2.57812500000000000e+00,1.91428780670982426e-07,1.91428780670981261e-07,5.89386818214170311e-06,-1.04519731183071915e-06,3.07888299840963100e+01,-5.45997998925331274e+00,1.08306006069483951e+00,3.12250483485974686e-02,2.11448182475528723e+00,6.48697848380276221e-01,2.56252616597670846e+00,2.53938177433932932e-01,2.53938177433932932e-01
-2.53125000000000000e+00,2.53601931014969519e-07,2.53601931014966819e-07,6.82268959744298910e-06,-1.42568989241424372e-06,2.69031452960045989e+01,-5.62176276303709876e+00,1.08552118455176028e+00,2.72843109995088325e-02,2.43315197115182835e+00,8.24297620985788626e-01,2.53683265947143699e+00,1.26626955070390262e-01,1.26626955070390262e-01
-2.48437500000000000e+00,3.35967972992843540e-07,3.35967972992837240e-07,7.95665011010414361e-06,-1.93688590606008169e-06,2.36827636849592764e+01,-5.76509090674954283e+00,1.08770156695965681e+00,2.40183027894610261e-02,2.70645138278429220e+00,9.42396968974793969e-01,2.54132122409079653e+00,3.16061172377837402e-02,3.16061172377837402e-02
-2.43750000000000000e+00,4.45085250041956611e-07,4.45085250041941894e-07,9.34818829639287974e-06,-2.61828283312606378e-06,2.10031410735628015e+01,-5.88265468891483945e+00,1.08949000847434818e+00,2.13007150915826282e-02,2.93849612854836639e+00,1.02308515949244883e+00,2.55982675339204713e+00,-3.95284659315374570e-02,-3.95284659315374570e-02
-2.39062500000000000e+00,5.89642155590625023e-07,5.89642155590590824e-07,1.10621233224378348e-05,-3.51868017731264607e-06,1.87607402516156867e+01,-5.96748408157538268e+00,1.09078047739858586e+00,1.90265437730102425e-02,3.13105808246760686e+00,1.07901536964372435e+00,2.58078607910879887e+00,-9.23895190242908920e-02,-9.23895190242908920e-02
