iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.22676255326570496e-02,5.91294407713223186e-03,6.99318930213729151e-01,6.07828379196296638e+01,6.07828379196296638e+01,3.25000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,1.33590770715033228e-02,3.55164517548015556e-03,6.99321445377701911e-01,6.07828368772073091e+01,6.07828368772073091e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,1.91320501120754110e-06,3.71381970336921599e-05,6.99324362156545698e-01,6.07828365702073938e+01,6.07828365702073938e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,1.02059812250902708e-07,1.93711855013226102e-06,6.99323504611401026e-01,6.07828365507600239e+01,6.07828365507600239e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,2.06839706962461426e-08,1.47405531814087239e-07,6.99323501391919344e-01,6.07828365503673922e+01,6.07828365503673922e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,7.24555605964973841e-09,7.60784776088474127e-08,6.99323502420845844e-01,6.07828365503769916e+01,6.07828365503769916e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,1.48111950940835704e-09,1.58035513948327976e-08,6.99323503289364656e-01,6.07828365503625037e+01,6.07828365503625037e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,1.11732357065096033e-09,6.67491044957103385e-09,6.99323503198959417e-01,6.07828365503625321e+01,6.07828365503625321e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,6.49595590401095237e-10,3.01398852182567103e-09,6.99323503086238918e-01,6.07828365503619352e+01,6.07828365503619352e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,1.27219212574738304e-11,4.39702507990105503e-11,6.99323502985839562e-01,6.07828365503613668e+01,6.07828365503613668e+01,3.24000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
