iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.36471139868083303e-02,6.94965628595677239e-03,2.36471139868083303e-02,3.04564891869681109e-03,6.97676367753707005e-01,6.95430983631026862e+01,5.39943431590632272e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,1.41885192296063219e-02,4.16962458208961113e-03,1.41885192296063219e-02,1.85416713866279337e-03,6.97676251825310789e-01,6.95430830819620951e+01,5.39943431772424063e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,3.58155401074785087e-07,1.68137133107940382e-06,3.58155401074785087e-07,1.94749008579409022e-04,6.97676076487309338e-01,6.95430606123397865e+01,5.39943431842836716e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,1.80858122011434154e-08,5.15084568075954375e-08,1.80858122011434154e-08,1.10569093687562514e-05,6.97676074366493815e-01,6.95430613378692044e+01,5.39943431844804138e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,1.09696913537496792e-08,2.48026291754958114e-08,1.09696913537496792e-08,6.70641061839560848e-06,6.97676074274834246e-01,6.95430613815045433e+01,5.39943431844819628e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,4.51138874457197763e-09,7.20991185717916975e-09,4.51138874457197763e-09,2.75807444213849173e-06,6.97676074205547891e-01,6.95430614122419399e+01,5.39943431844799662e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,1.08981691313290310e-09,4.23216336963495601e-09,1.08981691313290310e-09,6.66268491600341406e-07,6.97676074170102023e-01,6.95430614255015769e+01,5.39943431844778843e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,2.49454335544184267e-10,2.49096701384841546e-09,2.49454335544184267e-10,4.14970120932167674e-07,6.97676074162178139e-01,6.95430614267829839e+01,5.39943431844813091e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,1.03727575758062011e-10,1.41435726730186082e-09,1.29100879242452036e-10,2.68003188752530264e-07,6.97676074160936244e-01,6.95430614258919206e+01,5.39943431844805204e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,4.28088714685061364e-13,3.80730207249996305e-12,4.28088714685061364e-13,1.71354952449576103e-09,6.97676074161343696e-01,6.95430614239078011e+01,5.39943431844790496e+01,4.16000000000000000e+02,1.28000000000000000e+02,0.00000000000000000e+00
