q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
2.10000000000000000e+01,4.80000000000000000e+01,1.14564392373895996e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999987121e-01,-1.28785870856518159e-14,-2.49999863469876304e+00,-2.50063141895531826e+00,-2.50078959506016130e+00,-2.50084231662667111e+00,0.00000000000000000e+00
5.00000000000000000e+00,2.40000000000000000e+01,5.59016994374947451e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999984901e-01,-1.50990331349021289e-14,-2.48375391246417587e+00,-2.48431820229300593e+00,-2.48445924231288107e+00,-2.48450624947429999e+00,0.00000000000000000e+00
5.30000000000000000e+01,7.20000000000000000e+01,1.82002747232012951e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,9.99999999999984679e-01,-1.53210777398271603e-14,-2.48311435276542669e+00,-2.48296733432991124e+00,-2.48292683578969564e+00,-2.48291262314651195e+00,0.00000000000000000e+00
2.00000000000000000e+01,2.40000000000000000e+01,1.11803398874989490e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999982458e-01,-1.75415237890774733e-14,-2.46845132530817102e+00,-2.46907295300112262e+00,-2.46922834030938887e+00,-2.46928013234262611e+00,0.00000000000000000e+00
5.20000000000000000e+01,2.40000000000000000e+01,1.80277563773199456e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999981126e-01,-1.88737914186276612e-14,-2.46242419749025210e+00,-2.46227328132449230e+00,-2.46223184675240914e+00,-2.46221732941302118e+00,0.00000000000000000e+00
5.10000000000000000e+01,4.80000000000000000e+01,1.78535710713571261e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999976685e-01,-2.33146835171282873e-14,-2.44151305182002787e+00,-2.44135827938066807e+00,-2.44131591934842129e+00,-2.44130110087626173e+00,0.00000000000000000e+00
1.90000000000000000e+01,2.40000000000000000e+01,1.08972473588516849e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999975575e-01,-2.44249065417534439e-14,-2.43605982992378456e+00,-2.43666997020936327e+00,-2.43682248606481755e+00,-2.43687332102312348e+00,0.00000000000000000e+00
6.00000000000000000e+00,2.40000000000000000e+01,6.12372435695794470e-01,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999972244e-01,-2.77555756156289135e-14,-2.42357483389266504e+00,-2.42368060732227475e+00,-2.42370544297501000e+00,-2.42371341529646100e+00,0.00000000000000000e+00
5.00000000000000000e+01,8.40000000000000000e+01,1.76776695296636888e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.36000000000000000e+02,9.99999999999971134e-01,-2.88657986402540701e-14,-2.42037406916510722e+00,-2.42021548343536885e+00,-2.42017220890435736e+00,-2.42015709299429105e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-2.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,9.99999999999970690e-01,-2.93098878501041327e-14,-2.41757797460546842e+00,-2.41851414409401233e+00,-2.41874821069429080e+00,-2.41882623750926795e+00,0.00000000000000000e+00
