y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,3.77002805773731119e-06,0.00000000000000000e+00,2.47539925917901968e+02,0.00000000000000000e+00,1.00000000000000000e+00,-1.48025139935231559e-01,3.36818045161197062e+02,3.33833324842660545e+02,-1.73276100350494353e+01,-1.83225168078954503e+01,-1.83225168078954503e+01
-2.95000000000000018e+00,2.05583222976044118e-08,2.05583222976044118e-08,4.22811912508193354e-06,5.59188771961604009e-07,2.05664599663106827e+02,2.72001170069585037e+01,1.24397889216940172e+00,-1.22984326798867727e-01,2.74229361907948089e+02,2.43855387748401341e+02,-8.27066486826662484e+00,-9.32861725246257834e+00,-9.32861725246257834e+00
-2.89999999999999991e+00,2.77508324224075661e-08,2.77508324224075628e-08,4.83461848579431900e-06,1.16882037184362219e-06,1.74215260003897384e+02,4.21183896054898810e+01,1.37779242027811177e+00,-1.04178096302260645e-01,2.25965012407337980e+02,1.79568056053551970e+02,3.07498429734174572e-01,-1.11869048636491675e+00,-1.11869048636491675e+00
-2.85000000000000009e+00,3.74597055629524578e-08,3.74597055629524512e-08,5.57386260015554317e-06,1.83327540288621903e-06,1.48796220268962259e+02,4.89399309293910534e+01,1.43898010173798996e+00,-8.89778941537357343e-02,1.88236166890198490e+02,1.33730837768084854e+02,5.97718210556512819e+00,4.12204937465782262e+00,4.12204937465782262e+00
-2.79999999999999982e+00,5.05653134833554077e-08,5.05653134833553878e-08,6.43663853421835720e-06,2.55439234417628473e-06,1.27293555419904777e+02,5.05166915462140835e+01,1.45312328753422793e+00,-7.61196250827586851e-02,1.58085282304559712e+02,1.00795179174854894e+02,8.85818534837597404e+00,6.60038148721228168e+00,6.60038148721228168e+00
-2.75000000000000000e+00,6.82560337633487521e-08,6.82560337633486991e-08,7.41886985416942982e-06,3.33206556709845187e-06,1.08691780713357602e+02,4.88171577424363008e+01,1.43787885404359028e+00,-6.49960445380447643e-02,1.33443427064372798e+02,7.68060109534523860e+01,9.76248899788592084e+00,7.15573620839086999e+00,7.15573620839086999e+00
-2.70000000000000018e+00,9.21360083456611503e-08,9.21360083456610180e-08,8.52152987879808612e-06,4.16456181390612046e-06,9.24885941100073126e+01,4.52001545181140187e+01,1.40543515391474338e+00,-5.53067834806060393e-02,1.12939384768094783e+02,5.90534565811335597e+01,9.50050254203520872e+00,6.60524465241931580e+00,6.60524465241931580e+00
-2.64999999999999991e+00,1.24370602360287510e-07,1.24370602360287193e-07,9.75104942475135553e-06,5.04874670950345475e-06,7.84031695569319567e+01,4.05943736999666598e+01,1.36412234260223331e+00,-4.68839121688984159e-02,9.56771741242105094e+01,4.57138468262861650e+01,8.67572138595491893e+00,5.55273685330224520e+00,5.55273685330224520e+00
-2.60000000000000009e+00,1.67882752999566821e-07,1.67882752999566027e-07,1.11199534763814685e-05,5.98026450587861503e-06,6.62364255869107410e+01,3.56216728581647430e+01,1.31951834173847571e+00,-3.96083828899738144e-02,8.10574835396924982e+01,3.55617201526529954e+01,7.67049432174526924e+00,4.37913081212048194e+00,4.37913081212048194e+00
-2.54999999999999982e+00,2.26618012776573347e-07,2.26618012776571415e-07,1.26475832727911882e-05,6.95364962407456624e-06,5.58101411173381265e+01,3.06844523913919893e+01,1.27523259180691673e+00,-3.33736221260682864e-02,6.86553397742194278e+01,2.77632694462764107e+01,6.69392713422708585e+00,3.29138782204326796e+00,3.29138782204326796e+00
-2.50000000000000000e+00,3.05902320501830550e-07,3.05902320501825786e-07,1.43608435947842612e-05,7.96232373843538289e-06,4.69458471947045837e+01,2.60289746261923440e+01,1.23347401012941438e+00,-2.80729081363580713e-02,5.81449136803803910e+01,2.17377031206419034e+01,5.83900352845027815e+00,2.37959155060150085e+00,2.37959155060150085e+00
-2.45000000000000018e+00,4.12924941587338202e-07,4.12924941587326449e-07,1.62949748393482929e-05,8.99842695350417513e-06,3.94623167510994151e+01,2.17919191776434857e+01,1.19546858191258631e+00,-2.35978698692317600e-02,4.92576354787931407e+01,1.70682052662737860e+01,5.13004160273065235e+00,1.66420459110539309e+00,1.66420459110539309e+00
-2.39999999999999991e+00,5.57390369269489520e-07,5.57390369269460615e-07,1.84943884170049595e-05,1.00524354119581903e-05,3.31803156937291277e+01,1.80348207758475247e+01,1.16176825975562248e+00,-1.98413280421209648e-02,4.17612424453138686e+01,1.34463701036795999e+01,4.55624394696073143e+00,1.12956009169843297e+00,1.12956009169843297e+00
-2.35000000000000009e+00,7.52398299216490886e-07,7.52398299216419947e-07,2.10136255694741112e-05,1.11125245492177772e-05,2.79288584136335842e+01,1.47694705859793096e+01,1.13247880774093557e+00,-1.67010358413070790e-02,3.54505806550141287e+01,1.06379865540468188e+01,4.09280836965747596e+00,7.45100531328142024e-01,7.45100531328142024e-01
