iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.79079822011062406e-02,1.64303631307163682e-02,3.17067694969759173e-01,1.67643909336289255e+02,-1.23942813397916893e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
2.00000000000000000e+00,1.67446559550018248e-02,9.85843166698717986e-03,3.17067771286788758e-01,1.67643978303912604e+02,-1.23942814107558377e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
3.00000000000000000e+00,5.96850173231208383e-07,2.43282278873161740e-06,3.17067956404825768e-01,1.67644039067438655e+02,-1.23942814680847562e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
4.00000000000000000e+00,2.76868132481893737e-07,4.60321233939286860e-07,3.17068012398454835e-01,1.67644005104349674e+02,-1.23942814657167162e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
5.00000000000000000e+00,7.48235843021066805e-09,1.68940717879507333e-08,3.17068014230785344e-01,1.67644004312977955e+02,-1.23942814657377482e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
6.00000000000000000e+00,2.14793268761529396e-09,6.46824047921376034e-09,3.17068014286820077e-01,1.67644004316196742e+02,-1.23942814657362703e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
7.00000000000000000e+00,1.23676961374151180e-09,3.87744160073421947e-09,3.17068014305851742e-01,1.67644004320671911e+02,-1.23942814657353608e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
8.00000000000000000e+00,6.94140803685292692e-10,2.26233706862390672e-09,3.17068014314751290e-01,1.67644004323986849e+02,-1.23942814657349061e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
9.00000000000000000e+00,3.28137965554582465e-10,1.12115861958100876e-09,3.17068014319302205e-01,1.67644004326666163e+02,-1.23942814657370661e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
1.00000000000000000e+01,1.55304880842102039e-12,5.08991105300255402e-12,3.17068014318850455e-01,1.67644004330033397e+02,-1.23942814657375209e+01,1.06830000000000000e+04,3.00000000000000000e+02,7.56000000000000000e+02
