y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,8.03111428166485532e-07,0.00000000000000000e+00,5.27322715872488530e+01,0.00000000000000000e+00,1.00000000000000000e+00,-5.34793862155118552e-02,7.90238593090762986e+00,-6.48121198168471864e+01,2.28281076138041037e+01,-1.41006096878085163e+00,-1.41006096878085163e+00
-2.95312500000000000e+00,2.01764450415446278e-08,2.01764450415446278e-08,8.93408741084759983e-07,-9.41965218155029424e-08,4.42797895885609520e+01,-4.66863818782476780e+00,9.28978243142608351e-01,-4.49071488420549822e-02,6.42516476757409283e+00,-4.65617547113632071e+01,1.83900673519047437e+01,-8.28451870349269037e-01,-8.28451870349269037e-01
-2.90625000000000000e+00,2.67294468763689215e-08,2.67294468763689182e-08,1.01575426262261048e-06,-2.01391491203738940e-07,3.80013199420382719e+01,-7.53444289869634254e+00,8.85382128561041593e-01,-3.85397253846148091e-02,5.42814259233116392e+00,-3.31809104828791774e+01,1.50806761330400825e+01,-3.00489191595480265e-01,-3.00489191595480265e-01
-2.85937500000000000e+00,3.54107638310664349e-08,3.54107638310664283e-08,1.17504503285904521e-06,-3.30028461716872756e-07,3.31832727038821957e+01,-9.32000403299218405e+00,8.58219242162030715e-01,-3.36534157055863939e-02,4.78138672645270280e+00,-2.33740877886730978e+01,1.25941596406729879e+01,1.02333457966983482e-01,1.02333457966983482e-01
-2.81250000000000000e+00,4.69116402183441971e-08,4.69116402183441772e-08,1.37857415169579009e-06,-4.89162610908635336e-07,2.93866116230298964e+01,-1.04273184359338309e+01,8.41374198462670586e-01,-2.98029632566272282e-02,4.37065178829869261e+00,-1.61935050822730453e+01,1.07196086434199369e+01,3.89116874584745254e-01,3.89116874584745254e-01
-2.76562500000000000e+00,6.21478259682344769e-08,6.21478259682344372e-08,1.63625101165325719e-06,-6.89189819665868718e-07,2.63283708828301251e+01,-1.10895241937848930e+01,8.31300379410615298e-01,-2.67013931409809079e-02,4.11556080394278911e+00,-1.09435194864349654e+01,9.30009871110705966e+00,5.83897216386175644e-01,5.83897216386175644e-01
-2.71875000000000000e+00,8.23324926308510779e-08,8.23324926308509852e-08,1.96102707746287875e-06,-9.42522857739420997e-07,2.38183858498662531e+01,-1.14477629380826791e+01,8.25850664960528724e-01,-2.41558464589849906e-02,3.96275306297965102e+00,-7.11279426650210844e+00,8.21690364451149158e+00,7.09133555323346543e-01,7.09133555323346543e-01
-2.67187500000000000e+00,1.09072831385508235e-07,1.09072831385508023e-07,2.36950806476801574e-06,-1.26429186309146212e-06,2.17240905427054010e+01,-1.15912628931666486e+01,8.23667668868520719e-01,-2.20318790248175515e-02,3.87703629307328823e+00,-4.32549107107005160e+00,7.38057605707468500e+00,7.82645971304685717e-01,7.82645971304685717e-01
-2.62500000000000000e+00,1.44498024610924984e-07,1.44498024610924481e-07,2.88275171769345045e-06,-1.67311581963328568e-06,1.99501116050240128e+01,-1.15788144795634338e+01,8.23857040622899772e-01,-2.02327662255618670e-02,3.83480980938755067e+00,-2.30546528924151062e+00,6.72430357679366342e+00,8.17940384062830428e-01,8.17940384062830428e-01
-2.57812500000000000e+00,1.91428780670982426e-07,1.91428780670981261e-07,3.52726049616666807e-06,-2.19197435490214586e-06,1.84259675259027880e+01,-1.14505997855652009e+01,8.25807509358393754e-01,-1.86870279631669682e-02,3.81977651022254383e+00,-8.49875140954371333e-01,6.19855813715523940e+00,8.25140991574531024e-01,8.25140991574531024e-01
