iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.14192375547457758e-02,1.62477714035427637e-03,7.54487081985480312e-01,5.21577823088399896e+02,5.21577823088399896e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
2.00000000000000000e+00,6.85156298844875281e-03,9.74794726274944121e-04,7.54487020439965961e-01,5.21577823147693039e+02,5.21577823147693039e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
3.00000000000000000e+00,3.54009170171614538e-08,1.68151014376628102e-06,7.54486924413396043e-01,5.21577823185255738e+02,5.21577823185255738e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
4.00000000000000000e+00,9.10842830328981437e-10,1.04554085984868215e-08,7.54486918331149226e-01,5.21577823185374200e+02,5.21577823185374200e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
5.00000000000000000e+00,5.75590311010530893e-10,4.69477347391380286e-09,7.54486918320595557e-01,5.21577823185370789e+02,5.21577823185370789e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
6.00000000000000000e+00,3.25598927974862440e-10,2.64283604624293028e-09,7.54486918321660816e-01,5.21577823185380453e+02,5.21577823185380453e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
7.00000000000000000e+00,1.66124073324084462e-10,1.34278499628715198e-09,7.54486918322354594e-01,5.21577823185378065e+02,5.21577823185378065e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
8.00000000000000000e+00,7.64961961940140838e-11,6.15598044114687720e-10,7.54486918322785471e-01,5.21577823185373177e+02,5.21577823185373177e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
9.00000000000000000e+00,1.90883943238708872e-11,1.51420571074237191e-10,7.54486918323093003e-01,5.21577823185379316e+02,5.21577823185379316e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
1.00000000000000000e+01,9.27757090511401418e-14,5.03379550466366150e-13,7.54486918323180378e-01,5.21577823185369766e+02,5.21577823185369766e+02,1.32100000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
