q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
1.29000000000000000e+02,1.44000000000000000e+02,1.41972708645006840e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,5.76000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.99712870811201326e+00,-1.99693678075110270e+00,-1.99688641229835140e+00,-1.99686916822123939e+00,0.00000000000000000e+00
3.20000000000000000e+01,1.20000000000000000e+01,7.07106781186547573e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.99156898360622803e+00,-1.99196355423567351e+00,-1.99206219210980229e+00,-1.99209507049008638e+00,0.00000000000000000e+00
1.28000000000000000e+02,1.20000000000000000e+01,1.41421356237309515e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.99033640129010125e+00,-1.99014390699838928e+00,-1.99009340602902829e+00,-1.99007611953515884e+00,0.00000000000000000e+00
9.00000000000000000e+00,3.00000000000000000e+01,3.75000000000000000e-01,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.98827441556603102e+00,-1.98835498044538639e+00,-1.98837424606287461e+00,-1.98838050115397058e+00,0.00000000000000000e+00
5.00000000000000000e+00,2.40000000000000000e+01,2.79508497187473726e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.98135791676381556e+00,-1.98166205575410004e+00,-1.98173807245861155e+00,-1.98176340792334216e+00,0.00000000000000000e+00
1.26000000000000000e+02,1.44000000000000000e+02,1.40312152004022805e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,5.76000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.97666253260215607e+00,-1.97646892109327221e+00,-1.97641815933339271e+00,-1.97640078943578379e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.97210570401694452e+00,-1.97295625034340416e+00,-1.97316858782705218e+00,-1.97323931001722674e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-2.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.97210570401694363e+00,-1.97295625034340527e+00,-1.97316858782703664e+00,-1.97323931001720254e+00,0.00000000000000000e+00
1.25000000000000000e+02,1.44000000000000000e+02,1.39754248593736863e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,5.76000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.96978022696069655e+00,-1.96958606532307878e+00,-1.96953517532950517e+00,-1.96951776445847204e+00,0.00000000000000000e+00
3.00000000000000000e+01,4.80000000000000000e+01,6.84653196881457649e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.96502873530398059e+00,-1.96541463880967959e+00,-1.96551111074344598e+00,-1.96554326730371876e+00,0.00000000000000000e+00
1.23000000000000000e+02,4.80000000000000000e+01,1.38631706330117721e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.95592295571651142e+00,-1.95572771118832889e+00,-1.95567656915411692e+00,-1.95565907782801451e+00,0.00000000000000000e+00
2.90000000000000000e+01,7.20000000000000000e+01,6.73145600891812967e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.95139878051793336e+00,-1.95178022297200360e+00,-1.95187558009254358e+00,-1.95190736513406127e+00,0.00000000000000000e+00
1.22000000000000000e+02,1.20000000000000000e+02,1.38067012714840764e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.94894719905220182e+00,-1.94875142193043782e+00,-1.94870015613217218e+00,-1.94868262533887893e+00,0.00000000000000000e+00
8.00000000000000000e+00,1.20000000000000000e+01,3.53553390593273786e-01,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.94596953251391835e+00,-1.94604984150764171e+00,-1.94606908767077402e+00,-1.94607534475652311e+00,0.00000000000000000e+00
1.21000000000000000e+02,7.80000000000000000e+01,1.37500000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.12000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.94193948703739183e+00,-1.94174318333850771e+00,-1.94169179530981251e+00,-1.94167422556615721e+00,0.00000000000000000e+00
1.20000000000000000e+02,4.80000000000000000e+01,1.36930639376291530e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.93489940284744355e+00,-1.93470257867672002e+00,-1.93465106997382197e+00,-1.93463346180424312e+00,0.00000000000000000e+00
2.70000000000000000e+01,3.20000000000000000e+01,6.49519052838329003e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.28000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.92335198428259191e+00,-1.92372422567472467e+00,-1.92381728349659920e+00,-1.92384830228938419e+00,0.00000000000000000e+00
4.00000000000000000e+00,6.00000000000000000e+00,2.50000000000000000e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.92139944492722270e+00,-1.92168123411584113e+00,-1.92175166389233265e+00,-1.92177513714722736e+00,0.00000000000000000e+00
1.18000000000000000e+02,7.20000000000000000e+01,1.35784756140002694e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.92072040548728262e+00,-1.92052255905472458e+00,-1.92047081376520956e+00,-1.92045313034844289e+00,0.00000000000000000e+00
1.17000000000000000e+02,1.20000000000000000e+02,1.35208172829899609e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.91358061268911039e+00,-1.91338226465468364e+00,-1.91333040350080141e+00,-1.91331268327897885e+00,0.00000000000000000e+00
2.60000000000000000e+01,7.20000000000000000e+01,6.37377439199098061e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.90890434436242828e+00,-1.90927183477894702e+00,-1.90936370537835387e+00,-1.90939432852963775e+00,0.00000000000000000e+00
1.16000000000000000e+02,7.20000000000000000e+01,1.34629120178362593e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.90640668788642387e+00,-1.90620784473196636e+00,-1.90615586936576120e+00,-1.90613811289558055e+00,0.00000000000000000e+00
1.15000000000000000e+02,4.80000000000000000e+01,1.34047566184545097e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.89919816655472773e+00,-1.89899883486163912e+00,-1.89894674696078591e+00,-1.89892895480762891e+00,0.00000000000000000e+00
2.50000000000000000e+01,3.00000000000000000e+01,6.25000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.89415074471198919e+00,-1.89451337563674760e+00,-1.89460403191338989e+00,-1.89463425039521405e+00,0.00000000000000000e+00
