q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
4.30000000000000000e+01,2.40000000000000000e+01,1.63935963107550009e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999986011e-01,-1.39888101102769724e-14,-3.05773020630793191e+00,-3.05902066928633865e+00,-3.05934324354678511e+00,-3.05945076039852326e+00,0.00000000000000000e+00
8.50000000000000000e+01,4.80000000000000000e+01,2.30488611432322177e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999985567e-01,-1.44328993201270350e-14,-3.05707795650848313e+00,-3.05708349270371560e+00,-3.05707515036873456e+00,-3.05707051694587673e+00,0.00000000000000000e+00
1.60000000000000000e+01,6.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,9.99999999999984679e-01,-1.53210777398271603e-14,-3.04966049500495995e+00,-3.04992439112223312e+00,-3.04998585743307293e+00,-3.05000548759030865e+00,0.00000000000000000e+00
8.40000000000000000e+01,4.80000000000000000e+01,2.29128784747791991e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999983125e-01,-1.68753899743023794e-14,-3.04115519291323277e+00,-3.04115322314663317e+00,-3.04114307671273609e+00,-3.04113785571243778e+00,0.00000000000000000e+00
4.20000000000000000e+01,4.80000000000000000e+01,1.62018517460196509e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999982681e-01,-1.73194791841524420e-14,-3.03623861756668312e+00,-3.03751769857449094e+00,-3.03783742603411833e+00,-3.03794399370307477e+00,0.00000000000000000e+00
1.30000000000000000e+01,2.40000000000000000e+01,9.01387818865997281e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999980682e-01,-1.93178806284777238e-14,-3.02562755356381397e+00,-3.02694424127549055e+00,-3.02727324536881826e+00,-3.02738288143143341e+00,0.00000000000000000e+00
8.30000000000000000e+01,7.20000000000000000e+01,2.27760839478607480e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,9.99999999999980238e-01,-1.97619698383277864e-14,-3.02512826857176220e+00,-3.02511881860839171e+00,-3.02510687461454575e+00,-3.02510106823507252e+00,0.00000000000000000e+00
4.10000000000000000e+01,9.60000000000000000e+01,1.60078105935821213e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.84000000000000000e+02,9.99999999999978462e-01,-2.15383266777280369e-14,-3.01447735629542501e+00,-3.01574489565180448e+00,-3.01606173646487585e+00,-3.01616734168332368e+00,0.00000000000000000e+00
4.00000000000000000e+00,6.00000000000000000e+00,5.00000000000000000e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-2.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,9.99999999999978462e-01,-2.15383266777280369e-14,-3.01309884864017041e+00,-3.01539576718714475e+00,-3.01596979783535302e+00,-3.01616110348217692e+00,0.00000000000000000e+00
8.20000000000000000e+01,4.80000000000000000e+01,2.26384628453435433e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,9.99999999999976685e-01,-2.33146835171282873e-14,-3.00899521061017206e+00,-3.00897830682958700e+00,-3.00896457197245493e+00,-3.00895818246541369e+00,0.00000000000000000e+00
4.00000000000000000e+01,2.40000000000000000e+01,1.58113883008418976e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,9.99999999999973133e-01,-2.68673971959287883e-14,-2.99243628810615103e+00,-2.99369211994532458e+00,-2.99400603272073518e+00,-2.99411066170598961e+00,0.00000000000000000e+00
8.10000000000000000e+01,1.02000000000000000e+02,2.25000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.08000000000000000e+02,9.99999999999972689e-01,-2.73114864057788509e-14,-2.99275398402232407e+00,-2.99272965343984332e+00,-2.99271413457913216e+00,-2.99270716425125860e+00,0.00000000000000000e+00
