iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.21952319746186748e-02,5.36114100831596948e-04,1.21952319746186748e-02,8.35458037307501566e-03,-1.68669375718644523e-03,-7.83260474058619302e-03,-7.83260474058619302e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+00,7.31697459986779559e-03,4.82570178735178441e-04,7.31697459986779559e-03,4.90774867426657657e-03,-1.68627979855841899e-03,-7.83262247232137387e-03,-7.83262247232137387e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+00,1.08942589483326296e-06,2.50918198093964448e-04,1.08942589483326296e-06,1.26779025078205265e-03,-1.68585941734082255e-03,-7.83262927484583080e-03,-7.83262927484583080e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
4.00000000000000000e+00,8.80922183481337809e-07,5.85634693343003207e-05,8.80922183481337809e-07,4.54628973150184024e-04,-1.68605630396699200e-03,-7.83262940137500509e-03,-7.83262940137500509e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
5.00000000000000000e+00,8.07785508375899663e-08,2.67172590695733757e-05,8.07785508375899663e-08,2.07418250773416801e-04,-1.68614631479718628e-03,-7.83262956490252300e-03,-7.83262956490252300e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
6.00000000000000000e+00,4.40361721743155755e-08,3.59879025898452184e-06,4.40361721743155755e-08,1.85748238004102006e-05,-1.68614262006356111e-03,-7.83262956323696469e-03,-7.83262956323696469e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
7.00000000000000000e+00,8.89737974566114452e-09,4.59646248418741093e-06,8.89737974566114452e-09,3.48973703809818403e-05,-1.68614023709873760e-03,-7.83262956347123909e-03,-7.83262956347123909e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
8.00000000000000000e+00,2.69973487351872595e-09,1.06391201035844321e-06,2.69973487351872595e-09,6.56948333310758414e-06,-1.68614008389912488e-03,-7.83262956323133031e-03,-7.83262956323133031e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
9.00000000000000000e+00,1.67349049372244085e-09,2.81513181448577038e-07,1.67349049372244085e-09,1.38855484821398534e-06,-1.68613997763660439e-03,-7.83262956329207165e-03,-7.83262956329207165e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.00000000000000000e+01,1.89467657700511037e-10,4.56874930717142950e-08,1.89467657700511037e-10,1.83796003971892219e-07,-1.68613978654674757e-03,-7.83262956324190865e-03,-7.83262956324190865e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.10000000000000000e+01,1.52609303039336802e-10,1.21826210565399329e-08,1.52609303039336802e-10,4.12310696695783463e-08,-1.68613980460570576e-03,-7.83262956328185413e-03,-7.83262956328185413e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.20000000000000000e+01,3.83417524729097724e-12,1.26336984602552403e-09,3.83417524729097724e-12,5.13888398501194388e-09,-1.68613981031129909e-03,-7.83262956331364640e-03,-7.83262956331364640e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
