y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-4.00000000000000000e+00,3.77513454427909773e-11,3.77513454427909773e-11,3.38210806459745206e-07,0.00000000000000000e+00,8.95890735794504508e+03,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.41511716689721087e-05,-4.25674411219584172e-04,1.46608527629518828e-04,0.00000000000000000e+00,0.00000000000000000e+00
-3.93333333333333313e+00,5.63183895007429213e-11,5.63183895007429213e-11,3.86452590517205671e-07,-3.52476875014072501e-15,6.86192545530990083e+03,-6.25864621021208101e-05,1.00000000000000000e+00,0.00000000000000000e+00,2.95528768656773458e-05,-2.65554028938519914e-04,1.19231122635439344e-04,0.00000000000000000e+00,0.00000000000000000e+00
-3.86666666666666670e+00,8.40171643885889812e-11,8.40171643885889812e-11,4.41572652718814540e-07,-1.92207279550605891e-14,5.25574334640110465e+03,-2.28771443251316167e-04,1.00000000000000000e+00,0.00000000000000000e+00,1.00111614484502579e-04,-1.55347641298738710e-04,1.61410233011519220e-04,0.00000000000000000e+00,0.00000000000000000e+00
-3.79999999999999982e+00,1.25338880860683912e-10,1.25338880860683912e-10,5.04554588184868456e-07,-9.05413815342213846e-14,4.02552332301170418e+03,-7.22372666107171579e-04,1.00000000000000000e+00,0.00000000000000000e+00,3.14126027128313885e-04,-6.15955106525307815e-05,3.66031401296005275e-04,0.00000000000000000e+00,0.00000000000000000e+00
-3.73333333333333339e+00,1.86983638042684720e-10,1.86983638042684720e-10,5.76519903127996309e-07,-3.84817391268284871e-13,3.08326391101871786e+03,-2.05802708352716135e-03,1.00000000000000000e+00,0.00000000000000000e+00,8.94790287460580855e-04,6.56980954092793880e-05,9.62373091859487556e-04,0.00000000000000000e+00,0.00000000000000000e+00
-3.66666666666666652e+00,2.78946809286892464e-10,2.78946809286892464e-10,6.58750466738755074e-07,-1.49008118291091316e-12,2.36156301060694477e+03,-5.34181117439629094e-03,1.00000000000000000e+00,0.00000000000000000e+00,2.32495989871246223e-03,3.19252986449077871e-04,2.44917269555322472e-03,0.00000000000000000e+00,0.00000000000000000e+00
-3.60000000000000009e+00,4.16139739422414884e-10,4.16139739422414884e-10,7.52712212573008523e-07,-5.29180304503554456e-12,1.80879676047700423e+03,-1.27164088014770065e-02,1.00000000000000000e+00,0.00000000000000000e+00,5.54331554518354246e-03,8.81278202555376973e-04,5.79281538136838890e-03,0.00000000000000000e+00,0.00000000000000000e+00
-3.53333333333333321e+00,6.20807540940362445e-10,6.20807540940362445e-10,8.60083609650531758e-07,-1.73379275271501817e-11,1.38542712987623804e+03,-2.79280233949602483e-02,1.00000000000000000e+00,0.00000000000000000e+00,1.21985154522826870e-02,2.09255938810133050e-03,1.26779931530472036e-02,0.00000000000000000e+00,0.00000000000000000e+00
-3.46666666666666679e+00,9.26136022056775413e-10,9.26136022056775413e-10,9.82791421145918836e-07,-5.26961737105574816e-11,1.06117395041316104e+03,-5.68989570166260408e-02,1.00000000000000000e+00,0.00000000000000000e+00,2.49138164112718760e-02,4.54107392752346132e-03,2.57572331667914808e-02,0.00000000000000000e+00,0.00000000000000000e+00
-3.39999999999999991e+00,1.38163259107954067e-09,1.38163259107954067e-09,1.12305845088811250e-06,-1.49350284424582828e-10,8.12848841391769156e+02,-1.08096961079853920e-01,1.00000000000000000e+00,0.00000000000000000e+00,4.74757587588742550e-02,9.15575182629374366e-03,4.88056560041448192e-02,0.00000000000000000e+00,0.00000000000000000e+00
