y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-3.00000000000000000e+00,1.52299797447126292e-08,1.52299797447126292e-08,3.29614129148287625e-09,0.00000000000000000e+00,2.16424535471046370e-01,0.00000000000000000e+00,3.00000000000000000e+00,-1.58225903671843915e-02,-1.63496246730448387e-02,-1.63499366327982537e-02,-1.71194748483742619e-03,-1.71205147142189655e-03,-1.71205147142189655e-03
-2.95000000000000018e+00,2.05583222976044118e-08,2.05583222976044118e-08,4.45031531807098693e-09,-2.59956265839279999e-11,2.16472689436801286e-01,-1.26448190701617595e-03,2.99861332409484760e+00,-1.58261108574700160e-02,-1.63492458629893658e-02,-1.25561421630540643e-02,-1.71197064625363236e-03,-1.71208465329137521e-03,-1.71208465329137521e-03
-2.89999999999999991e+00,2.77508324224075661e-08,2.77508324224075628e-08,6.00608195256314052e-09,-6.10828216500851117e-11,2.16428893416310553e-01,-2.20111673481777903e-03,2.99758617697598995e+00,-1.58229089723860052e-02,-1.63479905464005218e-02,-9.74522189776286241e-03,-1.70941772406370263e-03,-1.70961157600226432e-03,-1.70961157600226432e-03
-2.85000000000000009e+00,3.74597055629524578e-08,3.74597055629524512e-08,8.10491896315211740e-09,-1.08440551005220767e-10,2.16363659066446584e-01,-2.89485860541488504e-03,2.99682539492682531e+00,-1.58181397515879986e-02,-1.63453087683900176e-02,-7.66209892950420971e-03,-1.70618557530130403e-03,-1.70664090108758708e-03,-1.70664090108758708e-03
-2.79999999999999982e+00,5.05653134833554077e-08,5.05653134833553878e-08,1.09363791472189116e-08,-1.72368474117714502e-10,2.16282237641399117e-01,-3.40882834978276442e-03,2.99626175739548684e+00,-1.58121871092370102e-02,-1.63410306613972628e-02,-6.11803482341472839e-03,-1.70241348855636925e-03,-1.70357655901162241e-03,-1.70357655901162241e-03
-2.75000000000000000e+00,6.82560337633487521e-08,6.82560337633486991e-08,1.47562121083580361e-08,-2.58699540873559455e-10,2.16189123433680269e-01,-3.79013438973761167e-03,2.99584360360842128e+00,-1.58053796187512599e-02,-1.63348866638594360e-02,-4.97322537200200598e-03,-1.69768530820781278e-03,-1.70059926732628124e-03,-1.70059926732628124e-03
-2.70000000000000018e+00,9.21360083456611503e-08,9.21360083456610180e-08,1.99095301313023789e-08,-3.75394583852838823e-10,2.16088481461113618e-01,-4.07435258584780326e-03,2.99553191980957445e+00,-1.57980217805921107e-02,-1.63261625770800174e-02,-4.12401373243132321e-03,-1.69081358560004393e-03,-1.69778322323161854e-03,-1.69778322323161854e-03
-2.64999999999999991e+00,1.24370602360287510e-07,1.24370602360287193e-07,2.68621607308702837e-08,-5.33440195513352435e-10,2.15984808476312767e-01,-4.28911805032541459e-03,2.99529640035042144e+00,-1.57904423480334268e-02,-1.63132204870360328e-02,-3.49338124429338743e-03,-1.67932251163602046e-03,-1.69516081438055000e-03,-1.69516081438055000e-03
-2.60000000000000009e+00,1.67882752999566821e-07,1.67882752999566027e-07,3.62431845576585021e-08,-7.48288124517914931e-10,2.15883906536558812e-01,-4.45720665850559035e-03,2.99511206839469990e+00,-1.57830655039223507e-02,-1.62927598414078396e-02,-3.02381662176943750e-03,-1.65853612742295083e-03,-1.69276171271573700e-03,-1.69276171271573700e-03
-2.54999999999999982e+00,2.26618012776573347e-07,2.26618012776571415e-07,4.89028719825195595e-08,-1.04231167896299771e-09,2.15794284767355043e-01,-4.59942114129577220e-03,2.99495611092662140e+00,-1.57765133422692952e-02,-1.62586863068616451e-02,-2.67188579864034628e-03,-1.62015358285983444e-03,-1.69064122141517515e-03,-1.69064122141517515e-03
