N,lambda_hat,E0,mu,ks_gap,delta_scf,E1,max_lambda_S_over_m
8.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.30733678637911455e-01,4.30733678637911455e-01,4.30733678637911455e-01,0.00000000000000000e+00
8.00000000000000000e+00,9.72989047055131638e-03,-9.86833163081004975e-04,-2.45560183712127298e-04,4.30943911466929397e-01,4.30938122164611859e-01,4.29951289001530845e-01,1.64577875454259732e-02
8.00000000000000000e+00,-9.72989047055131638e-03,9.86833163081004975e-04,2.45560183712127298e-04,4.30515902169656628e-01,4.30523397011038478e-01,4.31510230174119491e-01,1.64577875454259732e-02
8.00000000000000000e+00,9.72989047055131534e-02,-7.83039195461048346e-03,-1.68579328456775705e-03,4.31898697078223370e-01,4.31945853311124950e-01,4.24115461356514456e-01,6.46817724169137964e-01
8.00000000000000000e+00,-9.72989047055131534e-02,7.83039195461048346e-03,1.68579328456775705e-03,4.29137447164898378e-01,4.29160673364784362e-01,4.36991065319394856e-01,6.46817724169137964e-01
1.12000000000000000e+02,0.00000000000000000e+00,6.10907232868499364e+01,7.04099564609690032e-01,9.55462022241773123e-02,9.55462022241775344e-02,6.11862694890741139e+01,0.00000000000000000e+00
1.12000000000000000e+02,9.56776494965314375e-03,6.11132120184163909e+01,7.04475650075064297e-01,9.54841338231929848e-02,9.54841922539841903e-02,6.12086962106703751e+01,5.92085272228886003e-02
1.12000000000000000e+02,-9.56776494965314375e-03,6.10686104804454573e+01,7.03736192198255450e-01,9.56051340736009392e-02,9.56050822325309468e-02,6.11642155626779882e+01,5.83220482297041529e-02
1.12000000000000000e+02,9.56776494965314306e-02,6.13283110505593925e+01,7.08383696538571250e-01,9.48132007501462093e-02,9.48140419904106579e-02,6.14231250925498031e+01,1.35849532271181062e+00
1.12000000000000000e+02,-9.56776494965314306e-02,6.08913051185545839e+01,7.00965884924683147e-01,9.60101550185957775e-02,9.60098274435026156e-02,6.09873149459980866e+01,4.52192300530032454e-01
1.01600000000000000e+03,0.00000000000000000e+00,1.12713662455244594e+03,1.38591915422270096e+00,5.30076586865286803e-02,5.30076583127083723e-02,1.12718963221075865e+03,0.00000000000000000e+00
1.01600000000000000e+03,1.57694179653528109e-04,1.12716097994655070e+03,1.38593431067647566e+00,5.32574811244916901e-02,5.32688710989077663e-02,1.12721424881764960e+03,1.00449043110510575e-01
1.01600000000000000e+03,-1.57694179653528109e-04,1.12711103875506819e+03,1.38590398002897341e+00,5.27199813271177486e-02,5.27081603306669422e-02,1.12716374691539886e+03,1.13627971698902999e-01
1.01600000000000000e+03,1.57694179653528098e-03,1.12734220256464937e+03,1.38607042679474302e+00,5.44240226639574054e-02,5.45261237678005273e-02,1.12739672868841717e+03,6.65037814437643093e-01
1.01600000000000000e+03,-1.57694179653528098e-03,1.12685809303463225e+03,1.38956720108340503e+00,4.12551175333368825e-02,4.36184212305761321e-02,1.12690171145586282e+03,1.37181448008520213e+00
