excitation,eps_hole,eps_particle,k_hole,k_particle
5.30076586868464261e-02,1.38591915422262080e+00,1.43892681290946722e+00,9.35414346693485332e-01,2.50000000000000000e-01
6.20527761819666956e-02,1.38591915422262080e+00,1.44797193040458749e+00,9.35414346693485332e-01,0.00000000000000000e+00
6.20527761835665270e-02,1.38591915422262080e+00,1.44797193040618732e+00,9.35414346693485332e-01,0.00000000000000000e+00
8.33599810004155284e-02,1.38591915422262080e+00,1.46927913522303633e+00,9.35414346693485332e-01,1.00000000000000000e+00
9.72211255354318293e-02,1.34170568737403539e+00,1.43892681290946722e+00,9.01387818865997281e-01,2.50000000000000000e-01
1.06266243030552099e-01,1.34170568737403539e+00,1.44797193040458749e+00,9.01387818865997281e-01,0.00000000000000000e+00
1.06266243032151930e-01,1.34170568737403539e+00,1.44797193040618732e+00,9.01387818865997281e-01,0.00000000000000000e+00
1.22839447135776547e-01,1.38591915422262080e+00,1.50875860135839734e+00,9.35414346693485332e-01,1.03077640640441515e+00
1.27573447849000932e-01,1.34170568737403539e+00,1.46927913522303633e+00,9.01387818865997281e-01,1.00000000000000000e+00
1.43401445796348170e-01,1.29552536711311905e+00,1.43892681290946722e+00,8.66025403784438597e-01,2.50000000000000000e-01
1.46633984840135234e-01,1.29229282806933199e+00,1.43892681290946722e+00,0.00000000000000000e+00,2.50000000000000000e-01
1.46633984841159748e-01,1.29229282806830748e+00,1.43892681290946722e+00,0.00000000000000000e+00,2.50000000000000000e-01
