n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59377585516629683e+00,-1.00000000000000000e+00,-4.59317229810463523e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.93099795914672223e-01,-2.22073548776786689e+00,8.80802136380011443e-11,-8.80815420600811194e-11,1.00000000000000000e+00,2.51434428832908452e-11
1.00000000000000000e+00,2.50000000000000000e-01,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-4.59261416300257252e+00,-1.00000000000000000e+00,-4.72432533586508896e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.29747389402621705e-01,-8.12331038107584558e-01,4.70651137154394882e-12,-4.71978012228646548e-12,3.00000000000000000e+00,-1.59570134883324499e-11
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.59198640561510540e+00,-1.00000000000000000e+00,-4.58934871017299795e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.68792126983175889e-01,-1.70965252597353357e+00,3.73166836320185768e-11,-3.73132635900219611e-11,2.00000000000000000e+00,-5.37081490392665728e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58774582799320640e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53705454310999334e-01,-4.10218961023044759e+00,7.92765678640913005e-12,7.92765679491491682e-12,0.00000000000000000e+00,1.00239206937725296e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58555330665919936e+00,-1.00000000000000000e+00,-4.58546269741940460e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47987615361703229e-01,-3.29835293385247885e+00,1.86888364364188159e-10,-1.86888282627251101e-10,0.00000000000000000e+00,-2.06834549487666663e-12
2.00000000000000000e+00,3.53553390593273786e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-4.58552974119016721e+00,-1.00000000000000000e+00,-4.60624418627058496e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.49637250094346641e-01,-1.75583012915487946e+00,1.49515230472012984e-11,-1.49515955172319082e-11,3.00000000000000000e+00,-1.61861635206150822e-11
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58552056046640555e+00,-1.00000000000000000e+00,-4.58518128348460863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72370123515358242e-01,-2.80191562162343866e+00,4.02685721936919807e-10,-4.02685884637321578e-10,0.00000000000000000e+00,-9.30100441109971143e-12
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57805855418643493e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53754029861364916e-01,-4.09323217797178440e+00,7.86378044258550084e-12,7.86378080708249882e-12,0.00000000000000000e+00,-5.08179230043120019e-14
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57481018413912466e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.63112410762424864e-01,-2.66856089737587610e+00,6.55312930848898971e-11,-6.55311360731047898e-11,0.00000000000000000e+00,-2.32707186853531311e-11
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57423739674736041e+00,-1.00000000000000000e+00,-4.57414611125579285e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48477180817713428e-01,-3.28748677116676369e+00,1.78120742167127141e-10,-1.78120629357181315e-10,0.00000000000000000e+00,-1.38327127530146754e-11
