excitation,eps_hole,eps_particle,k_hole,k_particle
5.89084336866108060e-13,1.38946078001834961e+00,1.38946078001893869e+00,0.00000000000000000e+00,0.00000000000000000e+00
3.53629539564215278e-03,1.81682544993826278e+00,1.82036174533390493e+00,1.27475487839819612e+00,5.59016994374947451e-01
3.69079906869185237e-03,1.38576998094965775e+00,1.38946078001834961e+00,9.35414346693485332e-01,0.00000000000000000e+00
3.69079906928093671e-03,1.38576998094965775e+00,1.38946078001893869e+00,9.35414346693485332e-01,0.00000000000000000e+00
4.75955825720641990e-03,1.74952355876482368e+00,1.75428311702203010e+00,5.00000000000000000e-01,1.22474487139158894e+00
1.32973024827269803e-02,1.65472540246598387e+00,1.66802270494871085e+00,1.14564392373895996e+00,4.33012701892219298e-01
1.49482131700580112e-02,1.56889131748922450e+00,1.58383953065928251e+00,3.53553390593273786e-01,1.08972473588516849e+00
1.77516243815085684e-02,1.73177193438331511e+00,1.74952355876482368e+00,2.50000000000000000e-01,5.00000000000000000e-01
2.07258830058858479e-02,1.66802270494871085e+00,1.68874858795459670e+00,4.33012701892219298e-01,1.17260393995585743e+00
2.19516064464617688e-02,1.88383682924012574e+00,1.90578843568658751e+00,6.12372435695794470e-01,1.34629120178362593e+00
2.20723000388143298e-02,1.54681901745041017e+00,1.56889131748922450e+00,1.06066017177982119e+00,3.53553390593273786e-01
2.25111826387149883e-02,1.73177193438331511e+00,1.75428311702203010e+00,2.50000000000000000e-01,1.22474487139158894e+00
