n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59256287487969228e+00,-1.00000000000000000e+00,-4.59317229810463523e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92316671609979650e-01,-2.22139337990768881e+00,1.10076580945628313e-10,-1.10073727910275920e-10,1.00000000000000000e+00,-9.05089336811215617e-11
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58795385031615321e+00,-1.00000000000000000e+00,-4.58934871017299795e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.69812980535880093e-01,-1.72234719348331877e+00,1.64725198693808818e-11,-1.64748215070176229e-11,2.00000000000000000e+00,1.15996101612836355e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58791361564466804e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53757029767116893e-01,-4.10203491734275882e+00,7.77359858837926341e-12,7.77359773773689255e-12,0.00000000000000000e+00,-1.56656046729167488e-14
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58537230136933971e+00,-1.00000000000000000e+00,-4.58546269741940460e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47909284093696458e-01,-3.29874465293642594e+00,1.54551543434269425e-10,-1.54551482722808942e-10,0.00000000000000000e+00,-1.06359365759089997e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58484439347836048e+00,-1.00000000000000000e+00,-4.58518128348460863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72070367315551448e-01,-2.80306816297780337e+00,3.68426938389990654e-10,-3.68427066632648348e-10,0.00000000000000000e+00,-4.31787938737215882e-12
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57822670803947585e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53805830863218951e-01,-4.09307706448067510e+00,7.77595920389906754e-12,7.77595869638769699e-12,0.00000000000000000e+00,4.76899920060399085e-14
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57530117827066984e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62747364557677165e-01,-2.66822707167244522e+00,5.08110961675517690e-11,-5.08111330788096893e-11,0.00000000000000000e+00,2.17625917287023185e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57405504127967699e+00,-1.00000000000000000e+00,-4.57414611125579285e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48398304919046253e-01,-3.28788084044782547e+00,1.52354043461913639e-10,-1.52353907267865907e-10,0.00000000000000000e+00,7.16582349014061037e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57283513908555506e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36271496304057577e-01,-2.33665335026963517e+00,1.29321398323388588e-11,1.29323218800436734e-11,1.00000000000000000e+00,-3.12372350208534044e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56851508538949247e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53854704984511292e-01,-4.08409726713132848e+00,7.83787563912053490e-12,7.83787618141573716e-12,0.00000000000000000e+00,1.22208540226697781e-14
