excitation,eps_hole,eps_particle,k_hole,k_particle
5.44240226669656657e-02,1.38607042679507386e+00,1.44049444946203953e+00,9.35414346693485332e-01,2.50000000000000000e-01
8.33504609811226427e-02,1.38607042679507386e+00,1.46942088777619650e+00,9.35414346693485332e-01,1.00000000000000000e+00
9.86322761200537634e-02,1.34186217334198576e+00,1.44049444946203953e+00,9.01387818865997281e-01,2.50000000000000000e-01
1.10540372194515291e-01,1.38607042679507386e+00,1.49661079898958915e+00,9.35414346693485332e-01,0.00000000000000000e+00
1.10540372201568315e-01,1.38607042679507386e+00,1.49661079899664218e+00,9.35414346693485332e-01,0.00000000000000000e+00
1.20766602667095713e-01,1.31972784679494382e+00,1.44049444946203953e+00,0.00000000000000000e+00,2.50000000000000000e-01
1.20766602668010314e-01,1.31972784679402921e+00,1.44049444946203953e+00,0.00000000000000000e+00,2.50000000000000000e-01
1.22825582582659854e-01,1.38607042679507386e+00,1.50889600937773372e+00,9.35414346693485332e-01,1.03077640640441515e+00
1.27558714434210740e-01,1.34186217334198576e+00,1.46942088777619650e+00,9.01387818865997281e-01,1.00000000000000000e+00
1.44807061000634008e-01,1.29568738846140552e+00,1.44049444946203953e+00,8.66025403784438597e-01,2.50000000000000000e-01
1.49693040981252690e-01,1.31972784679494382e+00,1.46942088777619650e+00,0.00000000000000000e+00,1.00000000000000000e+00
1.49693040982167291e-01,1.31972784679402921e+00,1.46942088777619650e+00,0.00000000000000000e+00,1.00000000000000000e+00
