n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
6.50000000000000000e+01,2.01556443707463728e+00,3.84000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59372122599186028e+00,-1.00000000000000000e+00,-4.59581031740900947e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62865302433357706e-01,-2.68911778189154438e+00,4.39303208952004185e-11,-4.39301928167878941e-11,0.00000000000000000e+00,8.15214562521759945e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58740543083051655e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53608162460233710e-01,-4.10253086241621379e+00,7.90892259779272839e-12,7.90892178137436730e-12,0.00000000000000000e+00,1.90809007672357893e-13
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58721393070561945e+00,-1.00000000000000000e+00,-4.58518128348460863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.73032791755427906e-01,-2.79752574425025191e+00,3.25699336773065166e-10,-3.25699467396134423e-10,0.00000000000000000e+00,-3.76632058873838105e-12
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58577594362159413e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48119816396935544e-01,-3.29757505733627010e+00,1.52065351748459213e-10,-1.52065249281463366e-10,0.00000000000000000e+00,1.72528658026749326e-13
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58250736311910778e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.91840788813219171e-01,-1.70364955257095207e+00,3.53587734195352248e-11,3.53574947098422854e-11,2.00000000000000000e+00,-1.13127285317204951e-11
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57771734882872394e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53656250577851294e-01,-4.09357465821438993e+00,7.88421863813947900e-12,7.88421931907645757e-12,0.00000000000000000e+00,2.23399367675051103e-13
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57446271808473792e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48610550656373841e-01,-3.28670231291058856e+00,1.59102936721098796e-10,-1.59102953034562233e-10,0.00000000000000000e+00,2.60191868051151687e-12
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57294394524304160e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.64020774411143522e-01,-2.67133444822628885e+00,5.37477384065320466e-11,-5.37476729789432284e-11,0.00000000000000000e+00,-6.17106366007647011e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56800454227174235e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53704404773219816e-01,-4.08459652319309452e+00,7.67302106407708584e-12,7.67302020532323326e-12,0.00000000000000000e+00,-2.12340183607542204e-13
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.56756604429201385e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.40446348739660276e-01,-2.34276094948168678e+00,5.22620807874800930e-11,5.22621945719947689e-11,1.00000000000000000e+00,-1.15161213898318238e-11
