n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
1.60000000000000000e+01,1.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-4.59386067986247948e+00,-1.00000000000000000e+00,-4.59612002392113261e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.77898317687151475e-01,-1.98576989788711322e+00,3.25806065066073049e-10,3.25803384271239338e-10,1.00000000000000000e+00,8.34887714518117718e-14
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59220686761460062e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92265294920519336e-01,-2.22308366100999910e+00,1.13238367203398112e-10,1.13236531262828066e-10,1.00000000000000000e+00,-1.48112633269192884e-11
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.59066128040177368e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.66970450989821384e-01,-1.71904760495771947e+00,1.56107226198302644e-11,-1.56132884399085015e-11,2.00000000000000000e+00,-8.84448070337384706e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58787250662252610e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53743784663194527e-01,-4.10206943698274173e+00,7.91003045515388596e-12,7.91003026967551648e-12,0.00000000000000000e+00,1.01454234199017206e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58542937003272044e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47930581415492413e-01,-3.29865138719040907e+00,1.76353014111960045e-10,-1.76352932257373141e-10,0.00000000000000000e+00,2.23354668094088993e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58496351914351319e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72135019556612673e-01,-2.80303019690911892e+00,2.79332065182241902e-10,-2.79332112995689386e-10,0.00000000000000000e+00,-1.09445785767547932e-11
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57818551733873669e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53792534588383412e-01,-4.09311164505727998e+00,7.84303322285210538e-12,7.84303351430981621e-12,0.00000000000000000e+00,7.45022715891014315e-14
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57527490367727641e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62816302639273414e-01,-2.66807771087476908e+00,5.70405250741803523e-11,-5.70403724253765176e-11,0.00000000000000000e+00,8.15014722377327416e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57411243108638033e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48419722899914663e-01,-3.28778722585237304e+00,1.54237410418951903e-10,-1.54237289606840022e-10,0.00000000000000000e+00,-1.30917499063798459e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57310086003703553e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36267236064917530e-01,-2.33577608643977142e+00,1.74378482450152152e-12,-1.74438241629104596e-12,1.00000000000000000e+00,2.84172685383055068e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56847381247662465e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53841357127379486e-01,-4.08413190885470545e+00,7.94830994020985303e-12,7.94831041261989668e-12,0.00000000000000000e+00,2.11627158786971170e-13
6.80000000000000000e+01,2.06155281280883029e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.56456592140417072e+00,-1.00000000000000000e+00,-4.56478762872039567e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72940664803534039e-01,-2.78583144574675412e+00,3.92603722662299874e-10,-3.92603727306095607e-10,0.00000000000000000e+00,-1.74944503328333667e-11
1.44000000000000000e+02,3.00000000000000000e+00,1.20000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.56275483282661209e+00,-1.00000000000000000e+00,-4.56278887115851184e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48912539324162474e-01,-3.27688447706113806e+00,1.64736506931714093e-10,-1.64736446706115203e-10,0.00000000000000000e+00,-2.46624942690232274e-12
2.09000000000000000e+02,3.61420807370024022e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.55873720865230236e+00,-1.00000000000000000e+00,-4.55869403329558320e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53890251976712444e-01,-4.07513006832310776e+00,7.86074595267540592e-12,7.86074677572301539e-12,0.00000000000000000e+00,4.32150741164429579e-14
2.90000000000000000e+01,1.34629120178362593e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.55476660497997532e+00,-1.00000000000000000e+00,-4.55576761225437110e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.94012235365667840e-01,-2.19451498962909941e+00,1.50263505807126285e-11,-1.50297552181655192e-11,1.00000000000000000e+00,-8.84625706021324731e-13
2.08000000000000000e+02,3.60555127546398912e+00,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.54897552022703167e+00,-1.00000000000000000e+00,-4.54893224086183423e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53939218819368540e-01,-4.06610596146463710e+00,7.69753263944034047e-12,7.69753184803878554e-12,0.00000000000000000e+00,-5.81346587052706240e-14
1.40000000000000000e+01,9.35414346693485332e-01,1.92000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.54708750619345370e+00,-1.00000000000000000e+00,-4.54592295926306544e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.56111881698341870e-01,-1.87008799057959729e+00,5.15664059682270063e-11,-5.15658626909498707e-11,1.00000000000000000e+00,7.64721619361807825e-13
6.70000000000000000e+01,2.04633819296811259e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.54399403876896990e+00,-1.00000000000000000e+00,-4.54421981252491047e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.73760883390047000e-01,-2.76849484419302128e+00,3.65082341847426344e-10,-3.65082186704057676e-10,0.00000000000000000e+00,1.99484873064648127e-12
1.42000000000000000e+02,2.97909382195324612e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.53991592476667893e+00,-1.00000000000000000e+00,-4.53995069579387778e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.49909406857490424e-01,-3.25496157945640441e+00,1.67150851073629226e-10,-1.67150737695465068e-10,0.00000000000000000e+00,-5.58331159083991224e-12
3.30000000000000000e+01,1.43614066163450715e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.53843658719423182e+00,-1.00000000000000000e+00,-4.53788413530265000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.37902638773438946e-01,-2.30894960390086235e+00,6.92039847222843948e-11,6.92041979277746577e-11,1.00000000000000000e+00,-5.70210545447480399e-13
6.20000000000000000e+01,1.96850196850295278e+00,3.84000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.53320809455043339e+00,-1.00000000000000000e+00,-4.53298381604134271e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.65146796788323036e-01,-2.63198265513205820e+00,4.48820745827852598e-11,-4.48820980381015033e-11,0.00000000000000000e+00,7.32325311503245757e-12
2.06000000000000000e+02,3.58817502360183083e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.52937613552379403e+00,-1.00000000000000000e+00,-4.52933264551683568e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54037367134877567e-01,-4.04799029084145268e+00,7.75046972823573955e-12,7.75047040435516976e-12,0.00000000000000000e+00,1.02892774456405647e-13
1.41000000000000000e+02,2.96858552175947921e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.52843372877186745e+00,-1.00000000000000000e+00,-4.52846887460562986e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.50413565701807184e-01,-3.24394059352266639e+00,1.79197664460865547e-10,-1.79197545691067717e-10,0.00000000000000000e+00,6.41620090391370468e-12
6.60000000000000000e+01,2.03100960115899021e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.52324367785875214e+00,-1.00000000000000000e+00,-4.52347364736810498e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.74596153445790797e-01,-2.75101715625177246e+00,3.79513182700284546e-10,-3.79513309667345311e-10,0.00000000000000000e+00,-8.55537862776145630e-12
2.05000000000000000e+02,3.57945526581908835e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.51953805635591976e+00,-1.00000000000000000e+00,-4.51949445969045360e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54086547892859838e-01,-4.03889839304741116e+00,7.68454943959589400e-12,7.68454917754457512e-12,0.00000000000000000e+00,-1.08060762653754829e-13
1.40000000000000000e+02,2.95803989154980806e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.51690910083407804e+00,-1.00000000000000000e+00,-4.51694462723863044e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.50921614977170537e-01,-3.23287934567941226e+00,1.73158461133967648e-10,-1.73158376526316715e-10,0.00000000000000000e+00,3.78297393410775840e-12
6.10000000000000000e+01,1.95256241897666349e+00,2.88000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.51188380959580559e+00,-1.00000000000000000e+00,-4.51165688103606666e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.66343827780223197e-01,-2.61369857837723485e+00,3.38483589265611418e-11,-3.38482575301668476e-11,0.00000000000000000e+00,-6.00297589414822141e-12
2.04000000000000000e+02,3.57071421427142521e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.50967412672179524e+00,-1.00000000000000000e+00,-4.50963042249145030e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54135799214794456e-01,-4.02978356079811650e+00,7.82521487241428179e-12,7.82521443476458245e-12,0.00000000000000000e+00,2.17747629689303602e-13
1.39000000000000000e+02,2.94745653063789881e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.50534157767830656e+00,-1.00000000000000000e+00,-4.50537749060110038e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.51433611479808095e-01,-3.22177739838847899e+00,1.54662058283915267e-10,-1.54662060936061607e-10,0.00000000000000000e+00,-3.13082892944294144e-13
3.20000000000000000e+01,1.41421356237309515e+00,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.50312188977242478e+00,-1.00000000000000000e+00,-4.50255773896721401e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.39596135270100313e-01,-2.28165966739582782e+00,8.00166003098690571e-11,8.00164379199941322e-11,1.00000000000000000e+00,5.79092329644481651e-13
6.50000000000000000e+01,2.01556443707463728e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.50231047850898314e+00,-1.00000000000000000e+00,-4.50254477916544804e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.75446976211578426e-01,-2.73339501902743365e+00,3.88152478807510045e-10,-3.88152621155768429e-10,0.00000000000000000e+00,-2.27853291789870127e-11
2.03000000000000000e+02,3.56195171219375162e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.49978414912519042e+00,-1.00000000000000000e+00,-4.49974033641036186e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54185120699734979e-01,-4.02064562185208096e+00,7.70344932085796727e-12,7.70344898981534243e-12,0.00000000000000000e+00,-1.09101179536599930e-14
1.38000000000000000e+02,2.93683503111768252e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.49373068750483284e+00,-1.00000000000000000e+00,-4.49376699305378668e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.51949613260069383e-01,-3.21063430608648304e+00,1.80269398870963686e-10,-1.80269354999040843e-10,0.00000000000000000e+00,-8.17990120083322836e-12
2.02000000000000000e+02,3.55316760088797379e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48986792356797881e+00,-1.00000000000000000e+00,-4.48982400143484917e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54234511943334351e-01,-4.01148440183183208e+00,6.85587146881267851e-12,6.85587177307045437e-12,0.00000000000000000e+00,-9.64095635919920323e-14
1.37000000000000000e+02,2.92617497767990642e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.48207595007634563e+00,-1.00000000000000000e+00,-4.48211265439372664e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.52469679570984884e-01,-3.19944961527702088e+00,1.76419730770703443e-10,-1.76419767683455575e-10,0.00000000000000000e+00,-3.62199159553711070e-12
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.48118990430179931e+00,-1.00000000000000000e+00,-4.48142867786696897e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.76313877434116612e-01,-2.71562493577033459e+00,4.09418367983354084e-10,-4.09418277058648528e-10,0.00000000000000000e+00,5.75508529720991646e-11
2.01000000000000000e+02,3.54436171968945635e+00,5.76000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47992524751219445e+00,-1.00000000000000000e+00,-4.47988121501670822e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.54283972485962184e-01,-4.00229972410626011e+00,6.79562464695195045e-12,6.79562482674977986e-12,0.00000000000000000e+00,-9.01040375282932706e-14
