n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.36000000000000000e+02,4.58257569495583983e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.64087416222739879e+00,-1.00000000000000000e+00,-5.64087416222739879e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.48268253596134497e-01,-5.08078506291209830e+00,8.56693375801707153e-12,8.56693362083493781e-12,0.00000000000000000e+00,-9.64733578697687701e-15
6.70000000000000000e+01,2.04633819296811259e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.64047805628296040e+00,-1.00000000000000000e+00,-5.64047805628296040e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.52297434987595548e-01,-3.04120028990115898e+00,1.61944703872931584e-11,-1.61968216616514837e-11,1.00000000000000000e+00,1.05186970245085831e-11
7.40000000000000000e+01,2.15058131676065667e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-5.63478451211418552e+00,-1.00000000000000000e+00,-5.63478451211418552e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.66156171403037001e-02,-3.17474973728684073e+00,1.68210494110368138e-11,-1.68212110907006718e-11,1.00000000000000000e+00,-6.41531272549400455e-12
1.32000000000000000e+02,2.87228132326901431e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.63189578865710860e+00,-1.00000000000000000e+00,-5.63189578865710860e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.38972819734916847e-01,-3.69624808857792697e+00,6.16370286168931979e-10,-6.16370066097715608e-10,0.00000000000000000e+00,1.84225967814199976e-11
2.54000000000000000e+02,3.98434436262730696e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.63175814619561788e+00,-1.00000000000000000e+00,-5.63175814619561788e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.09556776175015624e-01,-4.30477363263171497e+00,1.58946624336356214e-10,-1.58946633632695011e-10,0.00000000000000000e+00,5.99786886823494569e-12
3.70000000000000000e+01,1.52069063257455483e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-5.63088024982106106e+00,-1.00000000000000000e+00,-5.63088024982106106e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.10482619410656380e-01,-2.64858297885001281e+00,5.56200666249654117e-13,-5.55111512312578270e-13,1.00000000000000000e+00,-6.04138961080025183e-12
3.34000000000000000e+02,4.56891672062426668e+00,5.76000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.62572870763195176e+00,-1.00000000000000000e+00,-5.62572870763195176e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.48347737320437439e-01,-5.06664622234882422e+00,8.57167542906383926e-12,8.57167548745652041e-12,0.00000000000000000e+00,1.46426642512117114e-13
1.26000000000000000e+02,2.80624304008045611e+00,5.76000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-5.62497949345059478e+00,-1.00000000000000000e+00,-5.62497949345059478e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.15508720999105369e-01,-3.57875273996516619e+00,5.49913928514810960e-11,-5.49913448111283287e-11,0.00000000000000000e+00,-3.42348371873413271e-12
2.53000000000000000e+02,3.97649343014671652e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.62327551722198749e+00,-1.00000000000000000e+00,-5.62327551722198749e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.09822580875285947e-01,-4.29660361485123143e+00,1.57383509311218492e-10,-1.57383439614022791e-10,0.00000000000000000e+00,-5.95079541199083906e-14
3.33000000000000000e+02,4.56207189772366473e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.61813784362180080e+00,-1.00000000000000000e+00,-5.61813784362180080e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.48387576564794849e-01,-5.05956050330023377e+00,8.57320971357394399e-12,8.57320985037102190e-12,0.00000000000000000e+00,2.68479899770412977e-14
