y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,2.31797535409780723e-04,1.52198190211154779e+04,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.50004804069544995e+00,1.14152298982550346e+04,7.88607032602495019e+03,7.87116027209477124e+03,1.14201999476139135e+04,1.14152298982550346e+04,2.38639299259739346e+01,5.96719016623949217e-01,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,2.36694930532442164e-04,1.46363222138906331e+04,-9.54410480697326467e-07,-5.90171461990212478e+01,1.08724998115234617e+00,1.44253925953162154e+00,1.05541601261177912e+04,8.00715533977517589e+03,8.05199375048980801e+03,1.05588864007582852e+04,1.05541601261177912e+04,-1.27441369511980156e+01,6.02989262494949330e-01,4.86239909415434306e-04,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,2.42047273954619469e-04,1.40956637842251475e+04,-1.66385958275410051e-06,-9.68951431655458038e+01,1.14324819866110095e+00,1.38925258015881270e+00,9.78427865587802626e+03,8.09136483207622041e+03,8.17478333219465821e+03,9.78877089862293178e+03,9.78427865587802626e+03,-3.75445507330732653e+00,6.09767896297481404e-01,6.37538272490764430e-04,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,2.47729915601764843e-04,1.35864539839207191e+04,-2.13670697384381169e-06,-1.17185164765965098e+02,1.17324464716739785e+00,1.33906544182968390e+00,9.08642469395316948e+03,8.14342922797615756e+03,8.24781116936292347e+03,9.09069246293023753e+03,9.08642469395316948e+03,-2.35333251981501235e-01,6.16883440517279946e-01,4.74039459852537064e-04,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,2.53641543479268729e-04,1.31005758490245917e+04,-2.37479119653071775e-06,-1.22657872874399175e+02,1.18133542602101405e+00,1.29117784571720851e+00,8.44646558394068052e+03,8.16719702348209103e+03,8.27769631724829924e+03,8.45051847134854870e+03,8.44646558394068052e+03,-8.28433313730783993e-01,6.24199642519157938e-01,8.28330162223581918e-06,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,2.59686669538560086e-04,1.26317053395364110e+04,-2.37693071755967998e-06,-1.15618905237060872e+02,1.17092915102728767e+00,1.24496650157313327e+00,7.85314372391055713e+03,8.16591113525887795e+03,8.26998773637244813e+03,7.85699118650861237e+03,7.85314372391055713e+03,-5.16367472922866000e-01,6.31592849987000382e-01,-7.50850464479183043e-04,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,2.65777725596376955e-04,1.21751197476128873e+04,-2.13926808019259945e-06,-9.79986001089697112e+01,1.14487960179272075e+00,1.19996594467288520e+00,7.29776557810083523e+03,8.14227741635015718e+03,8.22932236878315416e+03,7.30141682229679554e+03,7.29776557810083523e+03,-4.50510944687266601e-01,6.38954113067725094e-01,-1.79807919404622392e-03,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,2.71832927164028179e-04,1.17273275019390439e+04,-1.65627529330313359e-06,-7.14544886102611372e+01,1.10563724464303004e+00,1.15583204974477294e+00,6.77363640789009332e+03,8.09856113600670687e+03,8.15962414817577155e+03,6.77710026219712472e+03,6.77363640789009332e+03,-3.57454500859603286e-01,6.46185863255664628e-01,-3.13075388582007398e-03,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.77776194506014951e-04,1.12858518974134968e+04,-9.21409909393136609e-07,-3.74362381654521243e+01,1.05534524385899831e+00,1.11232071560918389e+00,6.27570751449487307e+03,8.03666624617458274e+03,8.06424811436897107e+03,6.27899233379520410e+03,6.27570751449487307e+03,-2.90301270186319016e-01,6.53201068734714063e-01,-4.74829083359755693e-03,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.83537121569029196e-04,1.08490467385464690e+04,7.22429964009324899e-08,2.76425055085969396e+00,9.95913524119456661e-01,1.06926969519171289e+00,5.80027284598779079e+03,7.95820574306276467e+03,7.94610078105424236e+03,5.80338644606452999e+03,5.80027284598779079e+03,-2.32734937701025046e-01,6.59922397800476568e-01,-6.65159821484778962e-03,2.61347497528632469e-08
