iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,1.20632771834126754e-01,1.38591915422414003e+00,1.12688712602575993e+03,1.12688712602575993e+03,7.88000000000000000e+02,1.23930000000000000e+04
1.00000000000000000e+00,5.99992191344547510e-01,7.23747001908038728e-02,1.38597983393655433e+00,1.12712170109483532e+03,1.12712170109483532e+03,1.22300000000000000e+03,3.98530000000000000e+04
2.00000000000000000e+00,1.10381468854305233e-04,9.53838721025061011e-05,1.38607058125830562e+00,1.12737782082187755e+03,1.12737782082187755e+03,1.22300000000000000e+03,7.23130000000000000e+04
3.00000000000000000e+00,2.39639451603165156e-05,1.64493544992738735e-05,1.38607041091224481e+00,1.12734829226493753e+03,1.12734829226493753e+03,1.22300000000000000e+03,8.29060000000000000e+04
4.00000000000000000e+00,7.13002069584947296e-06,7.88409385982621997e-06,1.38607039427936196e+00,1.12734032872026660e+03,1.12734032872026660e+03,1.22300000000000000e+03,9.30610000000000000e+04
5.00000000000000000e+00,2.12625166410853046e-07,3.54710269756256467e-08,1.38607042693771110e+00,1.12734218802682153e+03,1.12734218802682153e+03,1.22300000000000000e+03,1.03338000000000000e+05
6.00000000000000000e+00,1.74422705310533278e-07,5.55243314191097097e-08,1.38607042707162620e+00,1.12734220919975405e+03,1.12734220919975405e+03,1.22300000000000000e+03,1.13014000000000000e+05
7.00000000000000000e+00,1.01986578720692441e-07,3.29630416853328342e-08,1.38607042695362304e+00,1.12734220755552224e+03,1.12734220755552224e+03,1.22300000000000000e+03,1.22549000000000000e+05
8.00000000000000000e+00,3.72960489414235599e-08,5.29330764201232573e-09,1.38607042681595272e+00,1.12734219920510191e+03,1.12734219920510191e+03,1.22300000000000000e+03,1.32112000000000000e+05
9.00000000000000000e+00,7.00932652561147291e-11,6.80357727769319047e-11,1.38607042679507386e+00,1.12734220256442791e+03,1.12734220256442791e+03,1.22300000000000000e+03,1.41515000000000000e+05
