iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,6.22335908435948451e-02,4.50345802086912550e-01,3.88835430198634100e+01,3.88835430198634100e+01,2.09600000000000000e+03,3.75220000000000000e+04
1.00000000000000000e+00,5.99853172505123156e-01,3.76223626688149473e-02,4.50738475993598453e-01,3.89288294005817761e+01,3.89288294005817761e+01,2.09600000000000000e+03,5.78550000000000000e+04
2.00000000000000000e+00,2.22976218967205344e-04,5.58108910731276394e-04,4.51374410176116514e-01,3.90034207171087814e+01,3.90034207171087814e+01,2.09700000000000000e+03,1.16077000000000000e+05
3.00000000000000000e+00,4.89975604305315570e-05,3.09754994142082650e-05,4.51426948289542773e-01,3.90096934466647767e+01,3.90096934466647767e+01,2.09800000000000000e+03,1.35615000000000000e+05
4.00000000000000000e+00,8.07272700102841692e-06,6.07227077261405541e-06,4.51422606444050301e-01,3.90090651814597678e+01,3.90090651814597678e+01,2.09800000000000000e+03,1.54092000000000000e+05
5.00000000000000000e+00,2.32678136020612932e-06,9.47245543867873287e-07,4.51422019036715971e-01,3.90088711700477546e+01,3.90088711700477546e+01,2.09800000000000000e+03,1.71841000000000000e+05
6.00000000000000000e+00,1.45010340191169168e-06,7.88386083127553487e-07,4.51421855251149251e-01,3.90088425088611004e+01,3.90088425088611004e+01,2.09800000000000000e+03,1.89151000000000000e+05
7.00000000000000000e+00,3.97815539012567814e-07,2.33752700043153323e-07,4.51421796296474831e-01,3.90088388021031349e+01,3.90088388021031349e+01,2.09800000000000000e+03,2.06209000000000000e+05
8.00000000000000000e+00,3.81087288454641032e-08,2.05721586798292337e-08,4.51421793512626734e-01,3.90088414261243415e+01,3.90088414261243415e+01,2.09800000000000000e+03,2.23351000000000000e+05
9.00000000000000000e+00,3.00593790606407825e-09,1.33345885563169574e-09,4.51421798263165530e-01,3.90088425403390175e+01,3.90088425403390175e+01,2.09800000000000000e+03,2.39968000000000000e+05
1.00000000000000000e+01,1.94829127885825916e-10,8.00658772071948421e-11,4.51421798285047304e-01,3.90088425509358316e+01,3.90088425509358316e+01,2.09800000000000000e+03,2.56073000000000000e+05
1.10000000000000000e+01,1.82138562805026914e-11,3.38539555743509002e-11,4.51421798274004860e-01,3.90088425512297903e+01,3.90088425512297903e+01,2.09800000000000000e+03,2.72090000000000000e+05
