n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
5.78000000000000000e+02,6.01040764008565365e+00,8.16000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59399762865858374e+00,-1.00000000000000000e+00,-4.59396159559691153e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53710186731228915e-01,-4.10774785767717265e+00,7.93478974363007054e-12,7.93478997784813345e-12,0.00000000000000000e+00,8.89545365866969016e-15
9.40000000000000000e+01,2.42383992870816467e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59304676485410734e+00,-1.00000000000000000e+00,-4.59240814723291280e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.35341553262137759e-01,-2.35073171902642031e+00,6.54169121230925334e-12,6.54187815030127240e-12,1.00000000000000000e+00,-8.79785133633959049e-12
1.76000000000000000e+02,3.31662479035539981e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59078383115100497e+00,-1.00000000000000000e+00,-4.59057220076099526e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.61986260539730786e-01,-2.68136058792554932e+00,3.18681871242195827e-11,-3.18680637434454184e-11,0.00000000000000000e+00,1.22133414492964221e-11
5.77000000000000000e+02,6.00520607473215673e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59044255959029179e+00,-1.00000000000000000e+00,-4.59040649611325158e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53728090985486932e-01,-4.10446009777042065e+00,7.87333658584743380e-12,7.87333739871165506e-12,0.00000000000000000e+00,-3.94609177096130893e-15
3.98000000000000000e+02,4.98748433581500095e+00,9.60000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.59014204897570988e+00,-1.00000000000000000e+00,-4.59015872269233149e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47733711635385556e-01,-3.30313105115876215e+00,1.58618358863862208e-10,-1.58618229662010890e-10,0.00000000000000000e+00,-2.46913600676634815e-13
5.76000000000000000e+02,6.00000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58688417663720571e+00,-1.00000000000000000e+00,-4.58684808265104849e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53746005102151506e-01,-4.10116939512286915e+00,7.84324708589849398e-12,7.84324688529736136e-12,0.00000000000000000e+00,-1.49409870393981978e-13
3.97000000000000000e+02,4.98121471129281890e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58598967266523161e+00,-1.00000000000000000e+00,-4.58600643863651314e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47912691948470554e-01,-3.29914459704207630e+00,1.62417994648450908e-10,-1.62417856941488026e-10,0.00000000000000000e+00,-8.83848549904087122e-12
8.10000000000000000e+01,2.25000000000000000e+00,4.08000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58464403016700572e+00,-1.00000000000000000e+00,-4.58568801173699381e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92599137612504723e-01,-2.21805707120766371e+00,1.57862702896529594e-11,-1.57864832317500259e-11,1.00000000000000000e+00,6.85584922166526667e-12
3.96000000000000000e+02,4.97493718553309971e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58183185406890736e+00,-1.00000000000000000e+00,-4.58184871277165851e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48092162417683237e-01,-3.29515297734068158e+00,1.74313135532792510e-10,-1.74313008471926878e-10,0.00000000000000000e+00,9.67403934737376403e-12
4.30000000000000000e+01,1.63935963107550009e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-4.58146133193225946e+00,-1.00000000000000000e+00,-4.58485717126896120e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.78081467862207576e-01,-1.98222908236202122e+00,9.41712726978111387e-12,-9.41469124882132746e-12,1.00000000000000000e+00,1.78435044517755159e-12
1.87000000000000000e+02,3.41869858279433592e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58081634084020539e+00,-1.00000000000000000e+00,-4.58098315772874187e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72318452335297884e-01,-2.79943705211508043e+00,3.18793302226403261e-10,-3.18793436093756100e-10,0.00000000000000000e+00,8.93285445613400952e-12
9.30000000000000000e+01,2.41091269024823873e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.58050192268232781e+00,-1.00000000000000000e+00,-4.57985711068600221e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.35924314351302977e-01,-2.34100204209969931e+00,7.47211217970978849e-11,7.47211181817419856e-11,1.00000000000000000e+00,-8.39373015537603351e-12
5.74000000000000000e+02,5.98957427535546927e+00,7.68000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57975743321086348e+00,-1.00000000000000000e+00,-4.57972127792367623e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53781862866308272e-01,-4.09457913029755716e+00,7.87574097795014519e-12,7.87574172544935891e-12,0.00000000000000000e+00,2.02322766593345040e-14
3.95000000000000000e+02,4.96865172858794768e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57766857228700541e+00,-1.00000000000000000e+00,-4.57768552425506581e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48272125545026379e-01,-3.29115617229782176e+00,1.54911301186605697e-10,-1.54911194982787492e-10,0.00000000000000000e+00,7.60436158486754721e-12
5.73000000000000000e+02,5.98435460179291212e+00,7.68000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57618905470490134e+00,-1.00000000000000000e+00,-4.57615286862466597e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53799806484800272e-01,-4.09127955237940810e+00,7.86957458933541662e-12,7.86957478349226136e-12,0.00000000000000000e+00,3.95647117278185531e-14
1.74000000000000000e+02,3.29772648956822989e+00,5.76000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57549913611596626e+00,-1.00000000000000000e+00,-4.57528548603375018e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62823097800961691e-01,-2.66823590987338610e+00,1.54124510423289270e-11,-1.54123380724513481e-11,0.00000000000000000e+00,-3.10862446895043831e-12
3.94000000000000000e+02,4.96235831031980190e+00,4.80000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57349980609810469e+00,-1.00000000000000000e+00,-4.57351685190153745e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48452583895124102e-01,-3.28715416186564147e+00,1.63115443929533706e-10,-1.63115299045557549e-10,0.00000000000000000e+00,-7.31170679557635594e-12
1.86000000000000000e+02,3.40954542424646379e+00,5.76000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.57331960678170191e+00,-1.00000000000000000e+00,-4.57348773019280319e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72614320986350989e-01,-2.79311571622620924e+00,3.84828072917543660e-10,-3.84828169330830860e-10,0.00000000000000000e+00,1.44346756769664353e-11
8.00000000000000000e+01,2.23606797749978981e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.57089963857735171e+00,-1.00000000000000000e+00,-4.57196097916080024e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.93237702087402297e-01,-2.20758970543771582e+00,3.95180913205039297e-11,3.95150578924585716e-11,1.00000000000000000e+00,-2.78266298892049235e-12
3.93000000000000000e+02,4.95605690039975233e+00,5.76000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.56932553430005139e+00,-1.00000000000000000e+00,-4.56934267450635989e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48633540063783420e-01,-3.28314692602033764e+00,1.70721983548102663e-10,-1.70721881076474347e-10,0.00000000000000000e+00,9.05631125647232693e-12
5.71000000000000000e+02,5.97390157267426058e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56904223872152215e+00,-1.00000000000000000e+00,-4.56900599076673153e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53835723121226875e-01,-4.08467146591997654e+00,7.83425302926076270e-12,7.83425234407442161e-12,0.00000000000000000e+00,6.74620534934035166e-14
1.73000000000000000e+02,3.28823660949147634e+00,6.72000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.56781917833847828e+00,-1.00000000000000000e+00,-4.56760450129753792e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.63245573189144932e-01,-2.66164293740361169e+00,1.99707269225044433e-11,-1.99706917669573158e-11,0.00000000000000000e+00,3.75233177862810408e-12
1.85000000000000000e+02,3.40036762718386099e+00,7.68000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.56579952248595866e+00,-1.00000000000000000e+00,-4.56596896864973356e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72912135522988702e-01,-2.78677591359966081e+00,4.33925401182867554e-10,-4.33925340104224233e-10,0.00000000000000000e+00,-9.33919608314681682e-12
5.70000000000000000e+02,5.96866819315666142e+00,7.68000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56546378296745115e+00,-1.00000000000000000e+00,-4.56542750393119157e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53853696108613469e-01,-4.08136294142765710e+00,7.84990794493221906e-12,7.84990822344511230e-12,0.00000000000000000e+00,-2.73503209029696705e-14
