y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,5.85200019668131721e-06,3.84242152305747368e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-2.29771163289149510e-01,-4.41438829724967690e+01,7.04155910250610191e+01,-2.28814269787058834e+02,5.55994040898847004e+01,-4.41438829724967690e+01,-1.27166281868682063e-01,4.75315002657821298e-03,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,5.97103347983257588e-06,3.69226200849196971e+02,-5.69502691910380045e-08,-3.52158995620564363e+00,9.68412070602453157e-01,-2.20791844855219660e-01,-4.07054470666731802e+01,6.59937170842576961e+01,-2.15126125464018600e+02,5.41750304968634779e+01,-4.07054470666731802e+01,2.62628231312191929e-02,4.80661501647727547e-03,-2.17433487689841856e-04,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,6.09412401930750749e-06,3.54892339137166346e+02,-1.15527598608911973e-07,-6.72776917163483379e+00,9.39653313092970288e-01,-2.12220406048446053e-01,-3.74546989872152807e+01,6.18824849511830379e+01,-2.02177812232404790e+02,5.28079897181783764e+01,-3.74546989872152807e+01,8.05694374049892303e-03,4.87184007302520709e-03,-4.33444647231406876e-04,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,6.22145925284911967e-06,3.41208568397341196e+02,-1.76055405470647780e-07,-9.65555031671120290e+00,9.13391732064998352e-01,-2.04037712099978258e-01,-3.43915829736672549e+01,5.80660265712872530e+01,-1.89930838998631913e+02,5.14925553913689669e+01,-3.43915829736672549e+01,-3.11581135548522070e-03,4.94871144472805967e-03,-6.48638052066538031e-04,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,6.35321096937993651e-06,3.28143099302736005e+02,-2.38851449276701060e-07,-1.23366680590895665e+01,8.89342674216869966e-01,-1.96224753475737979e-01,-3.15123287281613820e+01,5.45267027226628755e+01,-1.78348154367692274e+02,5.02248458591962645e+01,-3.15123287281613820e+01,1.12620752048542272e-05,5.03712677328125007e-03,-8.63579865137629132e-04,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,6.48956609291049849e-06,3.15666132623414740e+02,-3.04225660497870506e-07,-1.47981754587688723e+01,8.67263479037189589e-01,-1.88763710684266783e-01,-2.88110270845190151e+01,5.12465290527467872e+01,-1.67395042798343354e+02,4.90022213638724651e+01,-2.88110270845190151e+01,-6.34235029309593301e-04,5.13700686537597179e-03,-1.07879983340632580e-03,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,6.63071909591143648e-06,3.03749303386339534e+02,-3.72482943675130886e-07,-1.70632224089206588e+01,8.46946496416184802e-01,-1.81637621891933387e-01,-2.62803588139819126e+01,4.82076349691480601e+01,-1.57038621293456458e+02,4.78227999159755157e+01,-2.62803588139819126e+01,-3.39673404965878944e-04,5.24829172032613336e-03,-1.29479586033445998e-03,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,6.77687484446585466e-06,2.92365724674505998e+02,-4.43924403868423922e-07,-1.91516418727546380e+01,8.28213828309750100e-01,-1.74830409116359914e-01,-2.39122174651559654e+01,4.53926913842209174e+01,-1.47247759051916319e+02,4.66851456668845941e+01,-2.39122174651559654e+01,-3.22475969483093650e-04,5.37094073302131839e-03,-1.51203696402095900e-03,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,6.92824855733998025e-06,2.81489878085699672e+02,-5.18848801747239452e-07,-2.10804627951766541e+01,8.10912728081536471e-01,-1.68326812724270081e-01,-2.16981250184384109e+01,4.27851492739072583e+01,-1.37992929763473825e+02,4.55880545106520927e+01,-2.16981250184384109e+01,-2.56082946037849979e-04,5.50493167584531918e-03,-1.73096610980794205e-03,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,7.08506649914319924e-06,2.71097545074713366e+02,-5.97553773478284700e-07,-2.28643388258507585e+01,7.94911754990552555e-01,-1.62112350373962905e-01,-1.96295282831158566e+01,4.03693860213766555e+01,-1.29246112531367999e+02,4.45304163508647122e+01,-1.96295282831158566e+01,-2.20143040635889520e-04,5.65025996910796437e-03,-1.95200255643726084e-03,2.61347497528632469e-08
-2.89999999999999991e+00,2.77508324224075661e-08,7.24756641866742280e-06,2.61165730395003777e+02,-6.80336962446749853e-07,-2.45159118865713026e+01,7.80097513098235162e-01,-1.56173271239674949e-01,-1.76980000347548980e+01,3.81307765607810580e+01,-1.20980702446014462e+02,4.35111290595191704e+01,-1.76980000347548980e+01,-1.89335972493154259e-04,5.80693785166745864e-03,-2.17554391216799288e-03,2.77508324224075628e-08
-2.89000000000000012e+00,2.94668480631682096e-08,7.41599800214349836e-06,2.51672591050314992e+02,-7.67497041111839395e-07,-2.60461193360943355e+01,7.66371896081804782e-01,-1.50496513521264419e-01,-1.58953728415076956e+01,3.60557151463039531e+01,-1.13171434822051111e+02,4.25290490413091860e+01,-1.58953728415076956e+01,-1.67053122659410747e-04,5.97499357732781625e-03,-2.40196791061111610e-03,2.94668480631682063e-08
-2.87999999999999989e+00,3.12889761849713116e-08,7.59062327100943853e-06,2.42597368035818334e+02,-8.59334644315084998e-07,-2.74644539097396176e+01,7.53649755645652064e-01,-1.45069663632523271e-01,-1.42138236356847028e+01,3.41316030360576477e+01,-1.05794317578667531e+02,4.15829666644699358e+01,-1.42138236356847028e+01,-1.49921045654366480e-04,6.15447061651980005e-03,-2.63163395969440335e-03,3.12889761849713050e-08
-2.87000000000000011e+00,3.32237784171900199e-08,7.77171694766728432e-06,2.33920322068070135e+02,-9.56153221466090553e-07,-2.87791836756103621e+01,7.41856928562261153e-01,-1.39880917764992702e-01,-1.26459229972377472e+01,3.23468139600911968e+01,-9.88265700500231645e+01,4.06715983889358057e+01,-1.26459229972377472e+01,-1.37032606090770059e-04,6.34542687904187785e-03,-2.86488449409826951e-03,3.32237784171900133e-08
-2.85999999999999988e+00,3.52782221376972539e-08,7.95956678768096695e-06,2.25622673291566286e+02,-1.05825981693047503e-06,-2.99975382206024044e+01,7.30928566625625664e-01,-1.34919045835499241e-01,-1.11846592854897615e+01,3.06906456580150930e+01,-9.22465664262687568e+01,3.97935896900233672e+01,-1.11846592854897615e+01,-1.27223316326308122e-04,6.54793396061970935e-03,-3.10204616029072754e-03,3.52782221376972473e-08
-2.85000000000000009e+00,3.74597055629524578e-08,8.15447388417098561e-06,2.17686545092221394e+02,-1.16596578583416081e-06,-3.11258662691491566e+01,7.20807722841034670e-01,-1.30173357886893104e-01,-9.82344512446816509e+00,2.91532634301586704e+01,-8.60337827359761178e+01,3.89475246240549851e+01,-9.82344512446816509e+00,-1.19722846434910934e-04,6.76207641729124377e-03,-3.34343085719757994e-03,3.74597055629524512e-08
-2.83999999999999986e+00,3.97760843895715342e-08,8.35675294796681767e-06,2.10094911960660170e+02,-1.27958745174474705e-06,-3.21697691309260421e+01,7.11444154423435782e-01,-1.25633672911405259e-01,-8.55611174430630506e+00,2.77256398648802787e+01,-8.01687465720387848e+01,3.81319391207841321e+01,-8.55611174430630506e+00,-1.13903968660622468e-04,6.98795106945864202e-03,-3.58933665214235297e-03,3.97760843895715210e-08
-2.83000000000000007e+00,4.22357000833193741e-08,8.56673256755086337e-06,2.02831551286022687e+02,-1.39944671175384030e-06,-3.31342136863629335e+01,7.02793309335778327e-01,-1.21290290024026595e-01,-7.37689521045542396e+00,2.63994936280950512e+01,-7.46329890391958912e+01,3.73453359951321886e+01,-7.37689521045542396e+00,-1.09388942949095735e-04,7.22566633670245189e-03,-3.84004858844054931e-03,4.22357000833193608e-08
-2.81999999999999984e+00,4.48474099173975020e-08,8.78475545234232574e-06,1.95880998892078452e+02,-1.52587159377288098e-06,-3.40236280441460934e+01,6.94815468254437407e-01,-1.17133961872989953e-01,-6.28041747714841225e+00,2.51672292683804955e+01,-6.94089985709506863e+01,3.65862003202217281e+01,-6.28041747714841225e+00,-1.05772651668445405e-04,7.47534160361501381e-03,-4.09583939857743363e-03,4.48474099173974888e-08
-2.81000000000000005e+00,4.76206188681934159e-08,9.01117866251700192e-06,1.89228508085091647e+02,-1.65919677022940666e-06,-3.48419825206768081e+01,6.87475018195265020e-01,-1.13155870151699700e-01,-5.26166438988510787e+00,2.40218793183524504e+01,-6.44801763913028765e+01,3.58530142724892187e+01,-5.26166438988510787e+00,-1.02712299579366118e-04,7.73710661637823892e-03,-4.35697013479086764e-03,4.76206188681933960e-08
-2.79999999999999982e+00,5.05653134833554077e-08,9.24637382846870021e-06,1.82860011962792157e+02,-1.79976403178969239e-06,-3.55928581829542523e+01,6.80739837691826444e-01,-1.09347603059437179e-01,-4.31596216067489369e+00,2.29570494913508973e+01,-5.98307934907673271e+01,3.51442708949158558e+01,-4.31596216067489369e+00,-1.00084781269771383e-04,8.01110090939708037e-03,-4.62369072719589960e-03,5.05653134833553878e-08
-2.79000000000000004e+00,5.36920978441493590e-08,9.49072736237149550e-06,1.76762088714059672e+02,-1.94792272430037045e-06,-3.62795048529218533e+01,6.74580776503544755e-01,-1.05701134551260942e-01,-3.43895339293480262e+00,2.19668674257961953e+01,-5.54459490317286168e+01,3.44584864568085578e+01,-3.43895339293480262e+00,-9.76873541098655096e-05,8.29747326103163693e-03,-4.89624047816608361e-03,5.36920978441493326e-08
-2.77999999999999980e+00,5.70122317516072399e-08,9.74464066416434215e-06,1.70921929641697233e+02,-2.10403015172410294e-06,-3.69048901802513498e+01,6.68971215437565880e-01,-1.02208805215787360e-01,-2.62657340424210251e+00,2.10459351881151235e+01,-5.13115301418621002e+01,3.37942112540313673e+01,-2.62657340424210251e+00,-9.53917523718317284e-05,8.59638117726959153e-03,-5.17484850052247602e-03,5.70122317516072068e-08
-2.77000000000000002e+00,6.05376712739702593e-08,1.00085303240218148e-05,1.65327309647030461e+02,-2.26845194749335501e-06,-3.74717411449015572e+01,6.63886694074442452e-01,-9.88633046249527969e-02,-1.87502735243777519e+00,2.01892855771630622e+01,-4.74141730834177153e+01,3.31500388082507129e+01,-1.87502735243777519e+00,-9.31397037602366140e-05,8.90799040205598157e-03,-5.45973410610518101e-03,6.05376712739702196e-08
-2.75999999999999979e+00,6.42811118014509386e-08,1.02828283229696944e-05,1.59966559924024210e+02,-2.44156241642089288e-06,-3.79825791433461788e+01,6.59304596049224090e-01,-9.56576550059687475e-02,-1.18076849212300949e+00,1.93923421573379642e+01,-4.37412257853346844e+01,3.25246134942576930e+01,-1.18076849212300949e+00,-9.09053182969188356e-05,9.23247445294986951e-03,-5.75110715046889352e-03,6.42811118014508989e-08
-2.75000000000000000e+00,6.82560337633487521e-08,1.05679822331292832e-05,1.54828542627742763e+02,-2.62374484904039619e-06,-3.84397496364528450e+01,6.55203883112042584e-01,-9.25851960930051676e-02,-5.40477758965093535e-01,1.86508828737414909e+01,-4.02807117468982199e+01,3.19166366778188895e+01,-5.40477758965093535e-01,-8.86337392751457287e-05,9.57001418071915314e-03,-6.04916833877061112e-03,6.82560337633486991e-08
-2.74000000000000021e+00,7.24767511721576245e-08,1.08644554188583711e-05,1.49902627299773712e+02,-2.81539181001990052e-06,-3.88454471880557008e+01,6.51564870535177421e-01,-8.96395710300831733e-02,4.89552146524498966e-02,1.79610070548594720e+01,-3.70212953072773985e+01,3.13248714702666220e+01,4.89552146524498966e-02,-8.62160623942287430e-05,9.92079735152808298e-03,-6.35410949730183441e-03,7.24767511721575584e-08
-2.72999999999999998e+00,7.69584631694713795e-08,1.11727272398776024e-05,1.45178668852494951e+02,-3.01690540209070429e-06,-3.92017365971450715e+01,6.48369037558692241e-01,-8.68147132057036780e-02,5.90449616197290972e-01,1.73191055827712539e+01,-3.39522482914648052e+01,3.07481462277860054e+01,5.90449616197290972e-01,-8.37748728228504547e-05,1.02850182503527836e-02,-6.66611381464481557e-03,7.69584631694713001e-08
