y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,8.56587846286765589e-07,5.62435315506014391e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-3.36328094349951784e-02,-9.45813881826524483e-01,5.43472917558679747e+00,-4.53119720858576116e+01,1.59697532769681025e+01,-9.45813881826524483e-01,-8.17305216885566566e-03,4.31055957406379069e-03,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,8.74320242038120176e-07,5.40646677637347963e+01,-1.35949364050670171e-08,-8.40659617230965717e-01,9.92459469380733039e-01,-3.23298807371047089e-02,-8.70782521356053163e-01,5.19332625162764572e+00,-4.22457617203268967e+01,1.52224667412379535e+01,-8.70782521356053163e-01,6.36899814928870711e-04,4.35962535245051127e-03,-2.05508765845066697e-04,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,8.93258174345917654e-07,5.20190402989272087e+01,-2.73980067754970644e-08,-1.59552754119319307e+00,9.85688471197126770e-01,-3.11066253872366652e-02,-7.97651088732268754e-01,4.97772194346591945e+00,-3.93770301880556630e+01,1.45191088634247194e+01,-7.97651088732268754e-01,3.18055793180782587e-04,4.42049036106392096e-03,-4.09383561719666041e-04,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,9.13414557533924450e-07,5.00951402015072560e+01,-4.14764296307936097e-08,-2.27472568755878068e+00,9.79596214106813523e-01,-2.99561612049596693e-02,-7.27122454687403108e-01,4.78531320589849329e+00,-3.66931402380467659e+01,1.38572706458779145e+01,-7.27122454687403108e-01,-3.17784817299937572e-04,4.49300369512972784e-03,-6.12173378726555361e-04,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,9.34805859842099514e-07,4.82826862783818314e+01,-5.58957042416594243e-08,-2.88701094863175012e+00,9.74104150728145046e-01,-2.88723401920260511e-02,-6.59636192769250118e-01,4.61368374274654691e+00,-3.41822249286011086e+01,1.32346703997918311e+01,-6.59636192769250118e-01,-1.30940741679186345e-04,4.57704148047530148e-03,-8.14395132857385451e-04,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,9.57453097475756753e-07,4.65725307549695060e+01,-7.07198774976228348e-08,-3.43996345975486406e+00,9.69144288930500641e-01,-2.78496921172611961e-02,-5.95443988950589365e-01,4.46061978327731801e+00,-3.18331958307346348e+01,1.26491490843525369e+01,-5.95443988950589365e-01,-1.60511258088469333e-04,4.67250798743265843e-03,-1.01653605300550511e-03,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,9.81381328998647891e-07,4.49564957778873264e+01,-8.60119310026256606e-08,-3.94015547138334066e+00,9.64657677088619159e-01,-2.68833267473187892e-02,-5.34662891517562189e-01,4.32410613650844322e+00,-2.96356734797905510e+01,1.20986488495050821e+01,-5.34662891517562189e-01,-1.36898139368790694e-04,4.77933300969940727e-03,-1.21905643679492254e-03,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.00661959647461433e-06,4.34272543833670071e+01,-1.01834090604767912e-07,-4.39329312987761522e+00,9.60593132339710665e-01,-2.59688626679785463e-02,-4.77315179409878609e-01,4.20231912194407187e+00,-2.75799442186849824e+01,1.15812036858747884e+01,-4.77315179409878609e-01,-1.29362394551080229e-04,4.89747041021294013e-03,-1.42239188837710371e-03,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,1.03320077684755257e-06,4.19782226786232187e+01,-1.18248117756893516e-07,-4.80433806261001806e+00,9.56906149991373356e-01,-2.51023628098814705e-02,-4.23357517988781185e-01,4.09361533023258417e+00,-2.56569154547518679e+01,1.10949321365275004e+01,-4.23357517988781185e-01,-1.19375542965594050e-04,5.02689648782128889e-03,-1.62695538394299634e-03,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,1.06116148631193846e-06,4.06034684221791977e+01,-1.35315571184894452e-07,-5.17761112941476132e+00,9.53557972893955941e-01,-2.42802797810632368e-02,-3.72702354904648370e-01,3.99651869999909160e+00,-2.38580758067183645e+01,1.06380328928547367e+01,-3.72702354904648370e-01,-1.11398185440148012e-04,5.16760852685179631e-03,-1.83313909488378650e-03,2.61347497528632469e-08
