iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,8.35988235472872043e-02,7.04099564609495299e-01,6.10684105434369613e+01,6.10684105434369613e+01,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,5.99945581438655062e-01,5.02568663775814911e-02,7.04247782644668585e-01,6.10861446341593961e+01,6.10861446341593961e+01,7.88000000000000000e+02,2.16890000000000000e+04
2.00000000000000000e+00,7.67829911298687265e-05,1.75543731905143977e-04,7.04473012068648208e-01,6.11130095468971817e+01,6.11130095468971817e+01,7.89000000000000000e+02,2.95330000000000000e+04
3.00000000000000000e+00,3.38929911743405099e-06,9.12974057855375906e-07,7.04475693097575850e-01,6.11132168710239085e+01,6.11132168710239085e+01,7.89000000000000000e+02,3.66830000000000000e+04
4.00000000000000000e+00,8.40786097612683736e-07,4.83509452014520888e-07,7.04475667333982258e-01,6.11132137092491234e+01,6.11132137092491234e+01,7.89000000000000000e+02,4.30900000000000000e+04
5.00000000000000000e+00,3.44687467571968071e-07,1.45004538269387512e-07,7.04475655058501071e-01,6.11132120356246062e+01,6.11132120356246062e+01,7.89000000000000000e+02,4.94080000000000000e+04
6.00000000000000000e+00,9.27954299875319029e-08,9.45837885830505900e-09,7.04475650056268998e-01,6.11132115741258488e+01,6.11132115741258488e+01,7.89000000000000000e+02,5.57780000000000000e+04
7.00000000000000000e+00,3.28930054519033804e-08,1.49697288832294051e-08,7.04475649566182471e-01,6.11132116937434589e+01,6.11132116937434589e+01,7.89000000000000000e+02,6.19660000000000000e+04
8.00000000000000000e+00,1.78788863769899275e-08,8.94040721495580110e-09,7.04475649741480026e-01,6.11132118298075540e+01,6.11132118298075540e+01,7.89000000000000000e+02,6.82270000000000000e+04
9.00000000000000000e+00,1.91724056081105576e-10,1.09072639951514915e-10,7.04475650084263494e-01,6.11132120209156682e+01,6.11132120209156682e+01,7.89000000000000000e+02,7.44060000000000000e+04
1.00000000000000000e+01,1.75339535752656462e-11,7.09351844864432707e-12,7.04475650084770089e-01,6.11132120212583203e+01,6.11132120212583203e+01,7.89000000000000000e+02,8.04740000000000000e+04
