n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
1.60000000000000000e+01,1.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-4.59386067990365632e+00,-1.00000000000000000e+00,-4.59612002392113261e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.77898317687536139e-01,-1.98576989786815439e+00,4.29321639896135933e-10,4.29317914552029833e-10,1.00000000000000000e+00,3.26894067370631092e-11
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59220686755252849e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92265294926297214e-01,-2.22308366096769161e+00,2.62504305958081940e-11,2.62536659079160017e-11,1.00000000000000000e+00,4.56790161251774407e-12
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.59066128042993782e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.66970451026781819e-01,-1.71904760485534824e+00,4.11979995383650852e-11,-4.11990441762100090e-11,2.00000000000000000e+00,-1.44151357517330325e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58787250660930113e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53743784666806249e-01,-4.10206943697657422e+00,7.88430923220262663e-12,7.88430952469720836e-12,0.00000000000000000e+00,1.06440031011156108e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58542937005600404e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47930581407727790e-01,-3.29865138720909545e+00,1.62289117228250192e-10,-1.62289071070631508e-10,0.00000000000000000e+00,-6.19038154070494784e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58496351910619815e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72135019552007218e-01,-2.80303019691193045e+00,3.68132326763989660e-10,-3.68132191397307906e-10,0.00000000000000000e+00,-1.10351727755642059e-11
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57818551732529055e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53792534592128471e-01,-4.09311164505110980e+00,7.86965304032817235e-12,7.86965284604868032e-12,0.00000000000000000e+00,7.32408322143284472e-14
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57527490367414913e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62816302631703858e-01,-2.66807771087995738e+00,5.20578716606374101e-11,-5.20579135354637401e-11,0.00000000000000000e+00,2.99293922978449700e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57411243108266241e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48419722901187590e-01,-3.28778722584968142e+00,1.53121078621648847e-10,-1.53121071377881890e-10,0.00000000000000000e+00,2.83328915884339949e-13
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57310086002934213e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36267236058164765e-01,-2.33577608646658064e+00,8.52849992638963093e-13,8.52651282912120223e-13,1.00000000000000000e+00,9.81925651899473451e-12
