y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,2.83992462053425805e-06,1.86469362936624435e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-1.11505931573389061e-01,-1.03962207679431415e+01,1.16173813759155280e+01,-3.81944920759854245e+00,-5.25061107735231403e+00,-1.03962207679431415e+01,-1.44585075542025265e-03,2.70853175645210009e-04,0.00000000000000000e+00,1.52299797447126292e-08
-2.99500000000000011e+00,1.56938016799593720e-08,2.86852937315872834e-06,1.82781038760147936e+02,9.80012865153523122e-10,6.24458550667794793e-02,1.00056012693082930e+00,-1.09300368080974680e-01,-9.98900064294897128e+00,1.11875726877647459e+01,-3.93264114721114044e+00,-4.96974513257794115e+00,-9.98900064294897128e+00,5.10301702739468510e-04,2.72464274560498942e-04,-1.06487927145041888e-05,1.56938016799593720e-08
-2.99000000000000021e+00,1.61717490960814157e-08,2.89754624135197070e-06,1.79173336423706758e+02,1.91309847066159803e-09,1.18298797445797743e-01,1.00106111679622733e+00,-1.07143015299465585e-01,-9.59852368927624333e+00,1.07779779306742967e+01,-4.03253309522068548e+00,-4.70112007369048968e+00,-9.59852368927624333e+00,1.40372614310990684e-04,2.74586191918369546e-04,-2.12615652832416655e-05,1.61717490960814157e-08
-2.98499999999999988e+00,1.66642521780157997e-08,2.92697677308488796e-06,1.75644051819275859e+02,2.79409210885834797e-09,1.67669816743678091e-01,1.00150396515541407e+00,-1.05032555199399816e-01,-9.22404635510650373e+00,1.03875754535822864e+01,-4.11994065151604261e+00,-4.44409802952850974e+00,-9.22404635510650373e+00,-5.97639802180083279e-06,2.77215368241833112e-04,-3.18576575505550110e-05,1.66642521780157997e-08
-2.97999999999999998e+00,1.71717542117811704e-08,2.95682293109208568e-06,1.72191081623068726e+02,3.61780796572900862e-09,2.10683656492527072e-01,1.00188979093639996e+00,-1.02967730019330336e-01,-8.86486394791957721e+00,1.00154070032597193e+01,-4.19562970134005475e+00,-4.19808001175150292e+00,-8.86486394791957721e+00,3.21507815677080089e-05,2.80349188374866970e-04,-4.24559016549716389e-05,1.71717542117811704e-08
-2.97500000000000009e+00,1.76947119834652632e-08,2.98708695219711415e-06,1.68812408757395048e+02,4.37913557055704302e-09,2.47482726740571146e-01,1.00221987153078684e+00,-1.00947333572052503e-01,-8.52030716230327911e+00,9.66057192497286721e+00,-4.26032628289368542e+00,-3.96250239077181021e+00,-8.52030716230327911e+00,2.15908047742630060e-05,2.83985938758203008e-04,-5.30746595399919638e-05,1.76947119834652632e-08
-2.97000000000000020e+00,1.82335961903634286e-08,3.01777138052276976e-06,1.65506099236621310e+02,5.07299409980694094e-09,2.78222356513963542e-01,1.00249560021129924e+00,-9.89702093584390458e-02,-8.18974002648567989e+00,9.32222307022052732e+00,-4.31471685503034941e+00,-3.73683453463873061e+00,-8.18974002648567989e+00,2.37364691137997852e-05,2.88124775033268095e-04,-6.37318642204962900e-05,1.82335961903634286e-08
-2.96499999999999986e+00,1.87888918646375861e-08,3.04887905419176845e-06,1.62270296521852771e+02,5.69432616047663716e-09,3.03068760068489151e-01,1.00271846788654662e+00,-9.70352471918256854e-02,-7.87255773622696875e+00,8.99956276887297157e+00,-4.35945091877489865e+00,-3.52057643378609519e+00,-7.87255773622696875e+00,2.24496053036205012e-05,2.92765690000597193e-04,-7.44450571236504377e-05,1.87888918646375861e-08
-2.95999999999999996e+00,1.93610988098781699e-08,3.08041310534600383e-06,1.59103217002040964e+02,6.23808177978413243e-09,3.22196681140918428e-01,1.00289004197382181e+00,-9.51413804956103976e-02,-7.56818474660829832e+00,8.69183924063699997e+00,-4.39514285938644100e+00,-3.31325658974148141e+00,-7.56818474660829832e+00,2.19822986586848401e-05,2.97909484352983241e-04,-8.52314236679604530e-05,1.93610988098781699e-08
-2.95500000000000007e+00,1.99507320509609515e-08,3.11237695720400047e-06,1.56003145611596182e+02,6.69920585891474424e-09,3.35787470946063260e-01,1.00301194915662562e+00,-9.32875836827177507e-02,-7.27607300198146856e+00,8.39834330251066774e+00,-4.42237384487534868e+00,-3.11443006908277731e+00,-7.27607300198146856e+00,2.12338448406512725e-05,3.03557739361982263e-04,-9.61078267022874707e-05,1.99507320509609515e-08
-2.95000000000000018e+00,2.05583222976044118e-08,3.14477432256656400e-06,1.52968431812795018e+02,7.07262542320593955e-09,3.44027363751860604e-01,1.00308585991795129e+00,-9.14728697530022283e-02,-6.99570031416307536e+00,8.11840536838497862e+00,-4.44169357160802925e+00,-2.92367672509796872e+00,-6.99570031416307536e+00,2.05120147960258237e-05,3.09712791560885000e-04,-1.07090838066616612e-04,2.05583222976044118e-08
-2.94499999999999984e+00,2.11844164220442442e-08,3.17760920253099437e-06,1.49997485851175639e+02,7.35323759535157851e-09,3.47105978699507101e-01,1.00311347510234894e+00,-8.96962880541819774e-02,-6.72656886749652827e+00,7.85139270498192410e+00,-4.45362192194185535e+00,-2.74059956559026441e+00,-6.72656886749652827e+00,1.97439028717383280e-05,3.16377709250602703e-04,-1.18196768360275800e-04,2.11844164220442442e-08
-2.93999999999999995e+00,2.18295779512547846e-08,3.21088588573963042e-06,1.47088775280470600e+02,7.53589797058254841e-09,3.45215009992869748e-01,1.00309651416690948e+00,-8.79569222037063364e-02,-6.46820383979423408e+00,7.59670692066826270e+00,-4.45865052535128559e+00,-2.56482325391025556e+00,-6.46820383979423408e+00,1.89628235567340653e-05,3.23556270722484649e-04,-1.29441695037647847e-04,2.18295779512547813e-08
-2.93500000000000005e+00,2.24943875741622399e-08,3.24460894804952738e-06,1.44240821731745541e+02,7.61540942198372983e-09,3.38547088551591824e-01,1.00303670497101183e+00,-8.62538881567366383e-02,-6.22015212725293942e+00,7.35378166388706944e+00,-4.45724423339901854e+00,-2.39599272995705315e+00,-6.22015212725293942e+00,1.81691601639499822e-05,3.31252944083978507e-04,-1.40841488932611983e-04,2.24943875741622366e-08
-2.93000000000000016e+00,2.31794436643030764e-08,3.27878325263833597e-06,1.41452197909639409e+02,7.58651127543195836e-09,3.27294795565580221e-01,1.00293577492695851e+00,-8.45863324098834052e-02,-5.98198116335381691e+00,7.12208051103880280e+00,-4.44984251329440195e+00,-2.23377193978754329e+00,-5.98198116335381691e+00,1.73681472759312783e-05,3.39472868584265227e-04,-1.52411839308489626e-04,2.31794436643030731e-08
-2.92499999999999982e+00,2.38853628184013358e-08,3.31341395051957626e-06,1.38721524797894858e+02,7.44386881537254773e-09,3.11649811307776137e-01,1.00279544336651227e+00,-8.29534303302001397e-02,-5.75327782268145693e+00,6.90109502557281118e+00,-4.43686076536224405e+00,-2.07784266351879943e+00,-5.75327782268145693e+00,1.65677606176473091e-05,3.48221837342551157e-04,-1.64168277522860613e-04,2.38853628184013325e-08
-2.91999999999999993e+00,2.46127804113463500e-08,3.34850648146144820e-06,1.36047469058709282e+02,7.18206308753334392e-09,2.91802184373385731e-01,1.00261741498528201e+00,-8.13543845999904064e-02,-5.53364740168280100e+00,6.69034297205101325e+00,-4.41869156936646768e+00,-1.92790343237416506e+00,-5.53364740168280100e+00,1.57726808609481850e-05,3.57506281388163206e-04,-1.76126199390584475e-04,2.46127804113463467e-08
-2.91500000000000004e+00,2.53623511680740893e-08,3.38406657529484064e-06,1.33428740611188886e+02,6.79558096334438505e-09,2.67939707888699419e-01,1.00240337424783377e+00,-7.97884237687398468e-02,-5.32271266922662178e+00,6.48936667060215999e+00,-4.39570586405554220e+00,-1.78366852664773656e+00,-5.32271266922662178e+00,1.49870504877469557e-05,3.67333254927306439e-04,-1.88300886322559965e-04,2.53623511680740860e-08
