iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,6.22335908434030610e-02,4.50345802087491698e-01,3.88835430199433958e+01,3.88835430199433958e+01,2.09600000000000000e+03,3.73640000000000000e+04
1.00000000000000000e+00,5.99853172504963617e-01,3.76223626692660032e-02,4.50738475991210585e-01,3.89288294003694730e+01,3.89288294003694730e+01,2.09600000000000000e+03,5.78040000000000000e+04
2.00000000000000000e+00,2.22976218957927853e-04,5.58108910728463432e-04,4.51374410177048990e-01,3.90034207169382157e+01,3.90034207169382157e+01,2.09700000000000000e+03,1.16050000000000000e+05
3.00000000000000000e+00,4.89975685191354336e-05,3.09754980225571952e-05,4.51426948283048413e-01,3.90096934467241141e+01,3.90096934467241141e+01,2.09800000000000000e+03,1.35859000000000000e+05
4.00000000000000000e+00,8.07276161706311753e-06,6.07228502935958675e-06,4.51422606441756857e-01,3.90090651812576823e+01,3.90090651812576823e+01,2.09800000000000000e+03,1.54449000000000000e+05
5.00000000000000000e+00,2.32677414060931453e-06,9.47235857921744598e-07,4.51422019036698763e-01,3.90088711704469304e+01,3.90088711704469304e+01,2.09800000000000000e+03,1.72128000000000000e+05
6.00000000000000000e+00,1.45010248118221912e-06,7.88386202745181439e-07,4.51421855254446558e-01,3.90088425100162368e+01,3.90088425100162368e+01,2.09800000000000000e+03,1.89322000000000000e+05
7.00000000000000000e+00,3.97817594335865933e-07,2.33753287825897858e-07,4.51421796301913036e-01,3.90088388022555392e+01,3.90088388022555392e+01,2.09800000000000000e+03,2.06477000000000000e+05
8.00000000000000000e+00,3.81089664325737338e-08,2.05722680377328296e-08,4.51421793512526426e-01,3.90088414262776340e+01,3.90088414262776340e+01,2.09800000000000000e+03,2.23480000000000000e+05
9.00000000000000000e+00,3.00579492151988670e-09,1.33344844209443399e-09,4.51421798262777063e-01,3.90088425403369286e+01,3.90088425403369286e+01,2.09800000000000000e+03,2.40159000000000000e+05
1.00000000000000000e+01,1.95666596322759704e-10,8.26341355723531289e-11,4.51421798283957010e-01,3.90088425506219636e+01,3.90088425506219636e+01,2.09800000000000000e+03,2.56251000000000000e+05
1.10000000000000000e+01,1.82472701774066240e-11,3.39254562206782747e-11,4.51421798276823716e-01,3.90088425512478949e+01,3.90088425512478949e+01,2.09800000000000000e+03,2.72127000000000000e+05
