n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
5.78000000000000000e+02,3.64549651108300354e+00,8.16000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59399762865853400e+00,-1.00000000000000000e+00,-4.59396159559672324e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53710186731252674e-01,-4.10774785767715844e+00,7.94526983390967994e-12,7.94526944236650934e-12,0.00000000000000000e+00,8.69935996245084938e-14
9.40000000000000000e+01,1.47013323099718551e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59304676482671859e+00,-1.00000000000000000e+00,-4.59240814724056179e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.35341553250343999e-01,-2.35073171899919764e+00,4.34608291340330940e-11,4.34607905219763779e-11,1.00000000000000000e+00,1.51256784874931327e-12
1.76000000000000000e+02,2.01163462211353528e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59078383115559241e+00,-1.00000000000000000e+00,-4.59057220076670980e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.61986260541647142e-01,-2.68136058792461451e+00,5.14545516563100726e-11,-5.14543962992775050e-11,0.00000000000000000e+00,-3.66262575823839143e-12
5.77000000000000000e+02,3.64234160221760872e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59044255959049607e+00,-1.00000000000000000e+00,-4.59040649611324181e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53728090985448629e-01,-4.10446009777053611e+00,7.82338526537388954e-12,7.82338603622090289e-12,0.00000000000000000e+00,2.63343286372563701e-14
3.98000000000000000e+02,3.02506216450829779e+00,9.60000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.59014204898597189e+00,-1.00000000000000000e+00,-4.59015872271237502e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47733711631986053e-01,-3.30313105116683037e+00,1.53737777685592320e-10,-1.53737689245758702e-10,0.00000000000000000e+00,3.03201908025130251e-12
5.76000000000000000e+02,3.63918395827580055e+00,1.20000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58688417663739845e+00,-1.00000000000000000e+00,-4.58684808265122523e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53746005102094163e-01,-4.10116939512295087e+00,7.79893122467766217e-12,7.79893163938005785e-12,0.00000000000000000e+00,-1.33850102151561005e-13
3.97000000000000000e+02,3.02125944501070842e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58598967266774071e+00,-1.00000000000000000e+00,-4.58600643860101709e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47912691947629615e-01,-3.29914459704405383e+00,1.61217037505219535e-10,-1.61217039718053456e-10,0.00000000000000000e+00,-2.82662782069564855e-13
8.10000000000000000e+01,1.36469398435342515e+00,4.08000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58464403018090572e+00,-1.00000000000000000e+00,-4.58568801169729312e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92599137574908130e-01,-2.21805707123772278e+00,1.52968925685751348e-11,1.52953205656558566e-11,1.00000000000000000e+00,-1.09245945623115404e-11
3.96000000000000000e+02,3.01745193317030269e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58183185408521787e+00,-1.00000000000000000e+00,-4.58184871275163541e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48092162412302597e-01,-3.29515297735345403e+00,1.66566444149624658e-10,-1.66566316295302386e-10,0.00000000000000000e+00,-7.53708206957526272e-12
4.30000000000000000e+01,9.94321878542482440e-01,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-4.58146133193089788e+00,-1.00000000000000000e+00,-4.58485717127024195e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.78081467847451935e-01,-1.98222908234645434e+00,1.98671271823807985e-11,-1.98649985350130009e-11,1.00000000000000000e+00,-6.95354884783228044e-12
1.87000000000000000e+02,2.07354550678089344e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58081634079963074e+00,-1.00000000000000000e+00,-4.58098315772208853e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72318452338558026e-01,-2.79943705210873484e+00,4.16987550605307993e-10,-4.16987333551332995e-10,0.00000000000000000e+00,-5.61048985048273607e-11
9.30000000000000000e+01,1.46229246452582418e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.58050192268934264e+00,-1.00000000000000000e+00,-4.57985711069552970e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.35924314347443814e-01,-2.34100204212758634e+00,6.07883017906343635e-11,6.07882633119061211e-11,1.00000000000000000e+00,-1.59738888783067523e-12
5.74000000000000000e+02,3.63286043662917102e+00,7.68000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57975743321117612e+00,-1.00000000000000000e+00,-4.57972127792367001e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53781862866214791e-01,-4.09457913029767795e+00,7.80556324295661804e-12,7.80556348722871718e-12,0.00000000000000000e+00,-3.25004710985445713e-14
3.95000000000000000e+02,3.01363961082276433e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57766857228381507e+00,-1.00000000000000000e+00,-4.57768552425337649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48272125546066602e-01,-3.29115617229533042e+00,1.56422589029605159e-10,-1.56422430563907255e-10,0.00000000000000000e+00,-3.77919917582403286e-12
5.73000000000000000e+02,3.62969454457978857e+00,7.68000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57618905470492621e+00,-1.00000000000000000e+00,-4.57615286862458603e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53799806484793333e-01,-4.09127955237942142e+00,7.86269630539967499e-12,7.86269660491001332e-12,0.00000000000000000e+00,4.00650838885674727e-15
1.74000000000000000e+02,2.00017222326964506e+00,5.76000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57549913612401937e+00,-1.00000000000000000e+00,-4.57528548604915830e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62823097795175931e-01,-2.66823590987719328e+00,4.22100062449552622e-11,-4.22100132624336766e-11,0.00000000000000000e+00,3.47322171023733972e-12
