y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.30575774117107098e-06,8.57360129861229154e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-2.29771163535794687e-01,-9.84983167868904275e+00,1.57118421041187712e+01,-5.10553646439365210e+01,1.24059039384505105e+01,-9.84983167868904275e+00,-2.83747981735444910e-02,4.75315002671309814e-03,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.33231765670571908e-06,8.23855013326019048e+01,-1.27073226791333826e-08,-7.85772930536777992e-01,9.68412070546606274e-01,-2.20791845090651584e-01,-9.08261292426404587e+00,1.47251886634540874e+01,-4.80011268111417877e+01,1.20880832306199135e+01,-9.08261292426404587e+00,5.86001289064341790e-03,4.80661501661221353e-03,-2.17433487684356904e-04,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.35978286849085982e-06,7.91871844728561456e+01,-2.57776915676672951e-08,-1.50116821203868489e+00,9.39653312989688239e-01,-2.12220406270632406e-01,-8.35727298458488654e+00,1.38078487790604214e+01,-4.51119676080592740e+01,1.17830552027497593e+01,-8.35727298458488654e+00,1.79761873273776018e-03,4.87184007316760620e-03,-4.33444647219531176e-04,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.38819519954458920e-06,7.61339225159685924e+01,-3.92832708005005787e-08,-2.15444448754777396e+00,9.13391731921535999e-01,-2.04037712307638758e-01,-7.67379941786659714e+00,1.29562818095069936e+01,-4.23792985114312799e+01,1.14895421308602046e+01,-7.67379941786659714e+00,-6.95380098058251406e-04,4.94871144486075994e-03,-6.48638052051903036e-04,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.41759298115305149e-06,7.32186223041114488e+01,-5.32949621065146541e-08,-2.75268271857190161e+00,8.89342674039700354e-01,-1.96224753667994106e-01,-7.03135095689071044e+00,1.21665519122706804e+01,-3.97948522368424307e+01,1.12066778999704422e+01,-7.03135095689071044e+00,2.34118498809721132e-06,5.03712677343549214e-03,-8.63579865113188287e-04,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.44801792170931603e-06,7.04346347307751159e+01,-6.78819203206311531e-08,-3.30191925868100622e+00,8.67263478831868606e-01,-1.88763710859644857e-01,-6.42860908854553692e+00,1.14346462360306038e+01,-3.73508827007034867e+01,1.09338735006455909e+01,-6.42860908854553692e+00,-1.41673170809042404e-04,5.13700686555138702e-03,-1.07879983337399272e-03,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.47951341387180213e-06,6.77756307142327756e+01,-8.31121788435516225e-08,-3.80731954731970745e+00,8.46946496192546139e-01,-1.81637622051404102e-01,-5.86394067198831781e+00,1.07565773123774377e+01,-3.50400527132143651e+01,1.06707090040351247e+01,-5.86394067198831781e+00,-7.58813138368452655e-05,5.24829172048989212e-03,-1.29479586030389286e-03,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.51212516944985203e-06,6.52356109727759730e+01,-9.90529232941028018e-08,-4.27330891666941959e+00,8.28213828073728897e-01,-1.74830409261779229e-01,-5.33553691350422366e+00,1.01284784993634922e+01,-3.28554160544887708e+01,1.04168640291867192e+01,-5.33553691350422366e+00,-7.20467441013283860e-05,5.37094073317424727e-03,-1.51203696399249761e-03,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,1.54590121024478833e-06,6.28088815813810655e+01,-1.15770816188413154e-07,-4.70368703793592857e+00,8.10912727837296954e-01,-1.68326812854118851e-01,-4.84150611124487007e+00,9.54665721062324835e+00,-3.07903845144182213e+01,1.01720699037227718e+01,-4.84150611124487007e+00,-5.72275865469151768e-05,5.50493167598748064e-03,-1.73096610978210421e-03,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,1.58089202271497039e-06,6.04900386521501829e+01,-1.33332269131826823e-07,-5.10172358230517631e+00,7.94911754742540499e-01,-1.62112350490461271e-01,-4.37993979039016690e+00,9.00762756915602125e+00,-2.88387057856026487e+01,9.93607893166278444e+00,-4.37993979039016690e+00,-4.91999064102799366e-05,5.65025996923887441e-03,-1.95200255641469838e-03,2.61347497528632469e-08
-2.89999999999999991e+00,2.77508324224075661e-08,1.61715065577651004e-06,5.82739512516652596e+01,-1.51803695341070131e-07,-5.47023934382939103e+00,7.80097512848871077e-01,-1.56173271342241682e-01,-3.94895758293757382e+00,8.50812628161326856e+00,-2.69944435104881606e+01,9.70864519507793133e+00,-3.94895758293757382e+00,-4.23148894377334273e-05,5.80693785178643205e-03,-2.17554391214939795e-03,2.77508324224075628e-08
-2.89000000000000012e+00,2.94668480631682096e-08,1.65473282196489140e-06,5.61557455489516073e+01,-1.71251737649600158e-07,-5.81167477710839897e+00,7.66371895834721872e-01,-1.50496513611688920e-01,-3.54673708855842129e+00,8.04511749578994007e+00,-2.52519603755515618e+01,9.48951352327970987e+00,-3.54673708855842129e+00,-3.73254654473242908e-05,5.97499357743430052e-03,-2.40196791059714811e-03,2.94668480631682063e-08
-2.87999999999999989e+00,3.12889761849713116e-08,1.69369698616704935e-06,5.41307895839865907e+01,-1.91743476757544000e-07,-6.12814799768495000e+00,7.53649755403432708e-01,-1.45069663711856145e-01,-3.17153274491456205e+00,7.61579005240956075e+00,-2.36059030241447907e+01,9.27841401097300533e+00,-3.17153274491456205e+00,-3.35011488381553590e-05,6.15447061661359481e-03,-2.63163395968552373e-03,3.12889761849713050e-08
-2.87000000000000011e+00,3.32237784171900199e-08,1.73410444723520663e-06,5.21946789272462652e+01,-2.13346621380437185e-07,-6.42150386092303904e+00,7.41856928327443543e-01,-1.39880917834746710e-01,-2.82168682431159601e+00,7.21754977999252922e+00,-2.20511884026966207e+01,9.07506026169049207e+00,-2.82168682431159601e+00,-3.06166319141709664e-05,6.34542687912324592e-03,-2.86488449409466085e-03,3.32237784171900133e-08
-2.85999999999999988e+00,3.52782221376972539e-08,1.77601941211471698e-06,5.03432232265728601e+01,-2.36129682376684044e-07,-6.69335550570058224e+00,7.30928566399466795e-01,-1.34919045896383288e-01,-2.49563481824376643e+00,6.84800868145068797e+00,-2.05829911406760537e+01,8.87915004005648889e+00,-2.49563481824376643e+00,-2.84198672311219980e-05,6.54793396069013999e-03,-3.10204616029193143e-03,3.52782221376972473e-08
-2.85000000000000009e+00,3.74597055629524578e-08,1.81950906376219588e-06,4.85724336702124404e+01,-2.60162132465346375e-07,-6.94511952391441145e+00,7.20807722624735137e-01,-1.30173357939812856e-01,-2.19190688445669579e+00,6.50497233868449865e+00,-1.91967317212038076e+01,8.69036740638484773e+00,-2.19190688445669579e+00,-2.67480795770325130e-05,6.76207641736806340e-03,-3.34343085719534692e-03,3.74597055629524512e-08
