iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,8.80612505091291770e-02,7.53829175779055949e-01,5.20929113999672722e+02,5.20929113999672722e+02,3.06000000000000000e+03,5.50270000000000000e+04
1.00000000000000000e+00,5.99958047732858768e-01,5.29576282194635581e-02,7.53975598769202504e-01,5.21110634374116898e+02,5.21110634374116898e+02,3.06000000000000000e+03,8.46460000000000000e+04
2.00000000000000000e+00,6.89989652626185390e-05,2.22550757849600392e-04,7.54198793029752457e-01,5.21389948011303886e+02,5.21389948011303886e+02,3.06100000000000000e+03,1.14440000000000000e+05
3.00000000000000000e+00,2.21981521144204376e-06,3.01220677476427946e-06,7.54202786754695209e-01,5.21396584382989886e+02,5.21396584382989886e+02,3.06100000000000000e+03,1.42685000000000000e+05
4.00000000000000000e+00,5.83480196717819399e-07,6.24282665595997271e-07,7.54202731421692474e-01,5.21396501756946918e+02,5.21396501756946918e+02,3.06100000000000000e+03,1.68104000000000000e+05
5.00000000000000000e+00,1.69619495103492445e-07,2.14224647770438899e-07,7.54202745217629422e-01,5.21396532005582344e+02,5.21396532005582344e+02,3.06100000000000000e+03,1.92844000000000000e+05
6.00000000000000000e+00,2.39822416372595171e-08,3.49912411715582049e-08,7.54202750816023393e-01,5.21396544022396029e+02,5.21396544022396029e+02,3.06100000000000000e+03,2.17488000000000000e+05
7.00000000000000000e+00,2.48244334219994800e-09,4.25482197136782326e-09,7.54202751749941003e-01,5.21396546003747972e+02,5.21396546003747972e+02,3.06100000000000000e+03,2.41849000000000000e+05
8.00000000000000000e+00,6.71674457959573765e-10,3.48519656136393046e-10,7.54202751875187816e-01,5.21396546279358176e+02,5.21396546279358176e+02,3.06100000000000000e+03,2.65898000000000000e+05
9.00000000000000000e+00,8.25130578672882402e-12,3.28621366750024428e-12,7.54202751890984735e-01,5.21396546310056010e+02,5.21396546310056010e+02,3.06100000000000000e+03,2.89425000000000000e+05
