n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
5.87000000000000000e+02,3.02851035989642936e+00,6.72000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.59388685208594616e+00,-1.00000000000000000e+00,-4.59392371312504455e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47564811506267257e-01,-3.30678187273408364e+00,1.59378686339213742e-10,-1.59378732433879122e-10,0.00000000000000000e+00,1.34336985979643941e-13
6.40000000000000000e+01,1.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-4.59363972367391948e+00,-1.00000000000000000e+00,-4.59612002392113261e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.77830793722318053e-01,-1.98632991842964635e+00,2.77961140505910178e-10,2.77964318229351193e-10,1.00000000000000000e+00,-1.71826997075186227e-11
8.50000000000000000e+02,3.64434493427831274e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59270818355954269e+00,-1.00000000000000000e+00,-4.59266397159547868e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53720028407438070e-01,-4.10653833593742856e+00,7.90581600066066371e-12,7.90581662635236881e-12,0.00000000000000000e+00,5.22143982643664896e-14
1.20000000000000000e+02,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59213540615433224e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92240100229184729e-01,-2.22324028839075449e+00,8.25422841897786329e-11,-8.25419732564114383e-11,1.00000000000000000e+00,1.37827527169065434e-11
5.86000000000000000e+02,3.02592960922755116e+00,8.64000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.59106892383467713e+00,-1.00000000000000000e+00,-4.59110587804622217e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47686075604746381e-01,-3.30407658232498180e+00,1.58381857874125470e-10,-1.58381752157765732e-10,0.00000000000000000e+00,-2.60524934958539234e-12
2.59000000000000000e+02,2.01168461742888516e+00,3.84000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59086191058475457e+00,-1.00000000000000000e+00,-4.59063884944518374e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.61957510205457156e-01,-2.68144818599337853e+00,5.85997118432308935e-11,-5.85995696411600875e-11,0.00000000000000000e+00,-4.09583478244712751e-12
3.20000000000000000e+01,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.59073993572028538e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.66738740928947388e-01,-1.71878348853699325e+00,3.29141346842305560e-11,-3.29141158772472409e-11,2.00000000000000000e+00,-5.81934500587522052e-12
8.49000000000000000e+02,3.64220057108336626e+00,1.34400000000000000e+03,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.59029180841890749e+00,-1.00000000000000000e+00,-4.59024757020053986e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53732200661316631e-01,-4.10430365580095291e+00,7.91249294946191541e-12,7.91249357701140354e-12,0.00000000000000000e+00,1.39226341785604891e-13
1.38000000000000000e+02,1.46841751555884126e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.59020862485468406e+00,-1.00000000000000000e+00,-4.58966302496921763e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.35451953915600998e-01,-2.34901053002688043e+00,8.75593284178778216e-11,8.75592931492974458e-11,1.00000000000000000e+00,-4.70690153520081367e-12
2.77000000000000000e+02,2.08041462213665485e+00,2.88000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59001886158793670e+00,-1.00000000000000000e+00,-4.59025296004713645e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.71930829026196441e-01,-2.80734342496511413e+00,2.49545033529892833e-10,-2.49544829244996436e-10,0.00000000000000000e+00,-6.12931927435056423e-12
