y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.24332539919079492e-09,8.16367073385267372e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.56902018655988370e-09,-1.35526042601148003e-07,4.80316875959026395e-08,0.00000000000000000e+00,4.69087671834796864e-12,6.64772322393982760e-12,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.32020835444573537e-09,8.16367077303738198e-02,-4.29422556591684025e-17,-2.65538720666732121e-09,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.92005467415376473e-09,-1.26240636276446648e-07,4.77089508568674609e-08,0.00000000000000000e+00,-3.78831130634293563e-12,7.07699108764716135e-12,-1.64175477343861327e-12,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.40184549928949372e-09,8.16367088650568895e-02,-9.18448268357309707e-17,-5.34859896682647741e-09,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.93660728633292699e-09,-1.17499330535104453e-07,4.78272449073056020e-08,0.00000000000000000e+00,2.54770961257309647e-13,7.98147198878197794e-12,-3.37592070373174094e-12,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.48853081777239988e-09,8.16367107306620043e-02,-1.50975795597589926e-16,-8.28008879989245383e-09,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.16079950988484857e-08,-1.09254921343443815e-07,4.85677276139898950e-08,0.00000000000000000e+00,-1.04045588913384391e-12,9.40725725636190392e-12,-5.31334647828210662e-12,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.58057647410126066e-09,8.16367133716005416e-02,-2.25298164155728092e-16,-1.16366414100825393e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.39740140506206934e-08,-1.01457679861545912e-07,5.01138727141380705e-08,0.00000000000000000e+00,-2.10129164241506273e-12,1.14317729710795205e-11,-7.57230960858259808e-12,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.67831393697506310e-09,8.16367168818357830e-02,-3.20847789619257103e-16,-1.56067107507427470e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.71188585217658703e-08,-9.40552313415875509e-08,5.26647407051938775e-08,0.00000000000000000e+00,-3.03989661705090182e-12,1.41664923800098047e-11,-1.02852639947140158e-11,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.78209517354262438e-09,8.16367214025861682e-02,-4.45167746827711837e-16,-2.03928700693053583e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.11690659798426544e-08,-8.69920820426599892e-08,5.64465860768062440e-08,0.00000000000000000e+00,-3.93559003339068528e-12,1.77614443761621593e-11,-1.36058279328324941e-11,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.89229391729565414e-09,8.16367271234311048e-02,-6.07827745612318242e-16,-2.62227063951663453e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.62945076323335108e-08,-8.02088472245752495e-08,6.17238246808025998e-08,0.00000000000000000e+00,-4.84650353411733821e-12,2.24115855123732011e-11,-1.77163757616746346e-11,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.00930701448433602e-09,8.16367342861457901e-02,-8.21060194051811219e-16,-3.33590996356229299e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.27118291156142703e-08,-7.36412047130088990e-08,6.88101109118306442e-08,0.00000000000000000e+00,-5.81726904392678599e-12,2.83651938617735178e-11,-2.28365819851293863e-11,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.13355585393289572e-09,8.16367431908985169e-02,-1.10054931598007530e-15,-4.21105740972133184e-08,3.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.06900047100812626e-08,-6.72185780107378556e-08,7.80801016708196978e-08,0.00000000000000000e+00,-6.88411337468244036e-12,3.59345286966300331e-11,-2.92332711850736617e-11,2.61347497528632469e-08
