iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,2.40820955703849905e-02,1.54201101649987127e+00,1.27279236474127018e+02,1.27279236474127018e+02,6.87000000000000000e+02,1.65410000000000000e+04
1.00000000000000000e+00,6.03372557212013216e-01,1.35997262340639431e-02,1.57116680986582158e+00,1.30555409227688102e+02,1.30555409227688102e+02,6.88000000000000000e+02,2.61010000000000000e+04
2.00000000000000000e+00,3.37069332414836539e-03,1.41373477815442093e-03,1.61684848735568165e+00,1.35693105678961132e+02,1.35693105678961132e+02,6.86000000000000000e+02,3.57820000000000000e+04
3.00000000000000000e+00,5.29744583576369048e-04,1.53046292770197162e-04,1.61695976070028991e+00,1.35695478829614473e+02,1.35695478829614473e+02,6.86000000000000000e+02,4.45860000000000000e+04
4.00000000000000000e+00,6.56132607798866005e-05,5.99698897226292045e-05,1.61701195318078383e+00,1.35700773629773579e+02,1.35700773629773579e+02,6.86000000000000000e+02,5.27470000000000000e+04
5.00000000000000000e+00,9.78571171088313485e-06,3.14364877359194862e-06,1.61701656006954830e+00,1.35701244578584323e+02,1.35701244578584323e+02,6.86000000000000000e+02,6.08120000000000000e+04
6.00000000000000000e+00,3.60945351266798739e-06,1.19366733102779949e-06,1.61701837023494033e+00,1.35701441007920010e+02,1.35701441007920010e+02,6.86000000000000000e+02,6.86730000000000000e+04
7.00000000000000000e+00,5.31842341586073000e-07,1.77531802567612449e-07,1.61701929159185132e+00,1.35701540821077685e+02,1.35701540821077685e+02,6.86000000000000000e+02,7.65140000000000000e+04
8.00000000000000000e+00,2.00489178466611955e-08,9.26970758658196982e-09,1.61701944993891189e+00,1.35701557901856006e+02,1.35701557901856006e+02,6.86000000000000000e+02,8.38960000000000000e+04
9.00000000000000000e+00,1.08873529925096196e-09,8.78452804201333116e-10,1.61701944944038223e+00,1.35701557734069127e+02,1.35701557734069127e+02,6.86000000000000000e+02,9.11980000000000000e+04
1.00000000000000000e+01,4.59852256129518005e-10,3.44623418801239495e-10,1.61701944968326061e+00,1.35701557765354067e+02,1.35701557765354067e+02,6.86000000000000000e+02,9.78650000000000000e+04
1.10000000000000000e+01,9.25761301785924371e-12,1.13858287089237471e-11,1.61701944985656509e+00,1.35701557788245708e+02,1.35701557788245708e+02,6.86000000000000000e+02,1.04673000000000000e+05
