n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
5.80000000000000000e+01,5.71182982939793149e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.58501188640483370e+00,-1.00000000000000000e+00,-9.64001407235690877e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.45272489876773669e-01,-6.37024586702186646e+00,1.72981719073562772e-10,1.72981629020796390e-10,0.00000000000000000e+00,-8.60644888689421350e-13
1.90000000000000000e+01,3.26917420765550570e+00,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-9.58444097504988690e+00,-1.00000000000000000e+00,-9.58217315538809977e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.90524636173576656e-01,-4.78313322509903482e+00,1.59028920168643453e-10,1.59028346047307423e-10,2.00000000000000000e+00,8.99547103472286835e-12
1.33000000000000000e+02,8.64942194600309833e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.58124040379735931e+00,-1.00000000000000000e+00,-9.67814666171883964e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.53624653692528590e-01,-9.28383729125914314e+00,3.82827567201939224e-12,3.82827623768289271e-12,0.00000000000000000e+00,-1.49546973402990330e-15
4.20000000000000000e+01,4.86055552380589528e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.57310274412630058e+00,-1.00000000000000000e+00,-9.60487601945394687e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62013104130946028e-01,-5.92497957870181224e+00,6.16178327356131713e-11,6.16178219559060381e-11,1.00000000000000000e+00,-5.21538368047913536e-12
1.70000000000000000e+01,3.09232921921324522e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-9.57217226316581460e+00,-1.00000000000000000e+00,-9.57164961290863125e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.66618486922594300e-01,-4.59626528430601233e+00,2.21191614784534801e-10,2.21190177285279788e-10,2.00000000000000000e+00,1.48059342564010876e-11
1.20000000000000000e+01,2.59807621135331601e+00,3.20000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-9.56946212985429412e+00,-1.00000000000000000e+00,-9.56219522894558516e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.46995705925328246e-01,-4.22817381748502008e+00,1.03683074867790529e-09,-1.03682928909165639e-09,2.00000000000000000e+00,2.67554867150465725e-11
3.60000000000000000e+01,4.50000000000000000e+00,1.20000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.56069113407716031e+00,-1.00000000000000000e+00,-9.56786644266835573e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.85954660851506759e-01,-5.52215391695627211e+00,3.02911268246565505e-10,-3.02913250038727710e-10,1.00000000000000000e+00,8.84448070337384706e-12
9.00000000000000000e+00,2.25000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-9.55976443172440149e+00,-1.00000000000000000e+00,-9.54974007602773689e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.99631062905114820e-01,-4.03178035027524384e+00,4.71449356602147188e-10,-4.71445105176826473e-10,3.00000000000000000e+00,2.83577605841855984e-11
8.60000000000000000e+01,6.95521387162177795e+00,4.80000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.55916403573204576e+00,-1.00000000000000000e+00,-9.59909145104059469e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58451273186490926e-01,-7.01199383351872552e+00,2.35645772344197734e-10,-2.35645725155109176e-10,0.00000000000000000e+00,-7.59303731001637061e-12
1.32000000000000000e+02,8.61684396980704292e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.54627013440879857e+00,-1.00000000000000000e+00,-9.64318831617946337e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.53574234953183564e-01,-9.25033802099821223e+00,3.39063931705578708e-12,3.39063846443998784e-12,0.00000000000000000e+00,-2.28063841588650284e-14
1.00000000000000000e+00,7.50000000000000000e-01,2.40000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,6.00000000000000000e+00,-9.53880907850073712e+00,-1.00000000000000000e+00,-9.54170333108079127e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.37500121915610185e-01,-2.67165581540363961e+00,1.93244755291614106e-10,1.93246307844674448e-10,6.00000000000000000e+00,1.35003119794419035e-11
5.90000000000000000e+01,5.76085931090145564e+00,2.88000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.53591849816683457e+00,-1.00000000000000000e+00,-9.55574151866724719e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.03663787700909737e-01,-6.49248322721548821e+00,1.09020058263041420e-09,-1.09020037442064677e-09,0.00000000000000000e+00,-1.65485403158527333e-11
2.50000000000000000e+01,3.75000000000000000e+00,1.20000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-9.53526873046826218e+00,-1.00000000000000000e+00,-9.54457066516524755e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.50970587966791592e-01,-5.01338019585126293e+00,4.95638575186204836e-11,-4.95639085329457885e-11,1.00000000000000000e+00,9.50706180447014049e-12
2.00000000000000000e+00,1.06066017177982141e+00,4.80000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,5.00000000000000000e+00,-9.53434286805609688e+00,-1.00000000000000000e+00,-9.53726729082639579e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.41345400264483956e-01,-2.98837676069803848e+00,1.44419925380892291e-09,1.44419587400079763e-09,5.00000000000000000e+00,-6.19380102762079332e-11
