n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
1.22000000000000000e+02,8.28402076289044587e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.58572276111303800e+00,-1.00000000000000000e+00,-9.28572276112830153e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.55601175437212413e-01,-8.90486907260524596e+00,5.75289402787835875e-12,5.75289468840445295e-12,0.00000000000000000e+00,1.61076467065919199e-12
5.00000000000000000e+00,1.67705098312484235e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-4.00000000000000000e+00,-9.57700841823884907e+00,-1.00000000000000000e+00,-9.27700841825533651e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.40401123855172516e-01,-3.45938160781325843e+00,1.45409842707511728e-09,-1.45409906338045403e-09,3.00000000000000000e+00,1.41861633551343402e-10
5.40000000000000000e+01,5.51135192126215046e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.57165595101953492e+00,-1.00000000000000000e+00,-9.27165595097992323e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.00655629572042837e-01,-6.28054442515991873e+00,1.11879047366185314e-09,-1.11879039366158395e-09,0.00000000000000000e+00,3.91455756698633195e-11
7.80000000000000000e+01,6.62382064974588580e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.56292051033988066e+00,-1.00000000000000000e+00,-9.26292051032212527e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.61207471018908355e-01,-6.71454640500608679e+00,2.50435069496592330e-10,-2.50435006066140886e-10,0.00000000000000000e+00,8.67061977771754755e-12
1.10000000000000000e+01,2.48746859276654986e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,3.00000000000000000e+00,-9.55964670324459398e+00,-1.00000000000000000e+00,-9.25964670311237725e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.04891577972224825e-01,-4.15405497362702913e+00,5.01008702881723969e-10,5.01007235698125442e-10,2.00000000000000000e+00,-1.61241686669200135e-10
1.21000000000000000e+02,8.25000000000000000e+00,3.12000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.54914909024633651e+00,-1.00000000000000000e+00,-9.24914909026084864e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.55550086358544198e-01,-8.86985800328856477e+00,5.71535030575579659e-12,5.71535006821388691e-12,0.00000000000000000e+00,1.61971796012208285e-12
3.20000000000000000e+01,4.24264068711928566e+00,4.80000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.54823800485307217e+00,-1.00000000000000000e+00,-9.24823800491828685e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.81453236916260541e-01,-5.28361142180687793e+00,3.64155282122227583e-10,-3.64154040255471045e-10,1.00000000000000000e+00,3.34656746758810186e-11
5.10000000000000000e+01,5.35607132140713738e+00,1.92000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.53994775781380433e+00,-1.00000000000000000e+00,-9.23994775781339506e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.47024596703919275e-01,-6.02783898058249790e+00,1.70505271139777734e-10,1.70505165542067516e-10,0.00000000000000000e+00,7.22488735505066870e-12
3.70000000000000000e+01,4.56207189772366473e+00,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.53622942895892045e+00,-1.00000000000000000e+00,-9.23622942902571076e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.59384446641868771e-01,-5.64886652424108426e+00,1.23470981610904915e-10,1.23471011193032609e-10,1.00000000000000000e+00,2.86437540353290387e-13
2.20000000000000000e+01,3.51781181986757208e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-9.52913234740082871e+00,-1.00000000000000000e+00,-9.22913234736368793e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.45458080773212384e-01,-4.79994718121666963e+00,2.46134825295908194e-10,-2.46135556380977505e-10,1.00000000000000000e+00,-9.94759830064140260e-13
7.70000000000000000e+01,6.58122329054409150e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.51974386398036998e+00,-1.00000000000000000e+00,-9.21974386398365908e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.62483570158519763e-01,-6.67007477187595210e+00,2.60175807235187032e-10,-2.60175658794992160e-10,0.00000000000000000e+00,2.65609756411322451e-12
5.30000000000000000e+01,5.46008241696038876e+00,2.88000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.51322064066653539e+00,-1.00000000000000000e+00,-9.21322064068271196e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.02598084818544000e-01,-6.22432944270243027e+00,1.16190263350459491e-09,-1.16190257415382803e-09,0.00000000000000000e+00,7.73603403558809077e-13
1.20000000000000000e+02,8.21583836257749134e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.51241748437240098e+00,-1.00000000000000000e+00,-9.21241748438680830e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.55497960096787652e-01,-8.83469808453910943e+00,5.70049297981298894e-12,5.70049216164214556e-12,0.00000000000000000e+00,1.61884854025622747e-12
1.00000000000000000e+01,2.37170824512628453e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-9.48725860684794853e+00,-1.00000000000000000e+00,-9.18725860688657470e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.45228806299738789e-01,-3.96949537459416479e+00,9.23258861633545600e-10,-9.23259690921440779e-10,2.00000000000000000e+00,1.59470658900318085e-10
1.60000000000000000e+01,3.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-9.48094810985055503e+00,-1.00000000000000000e+00,-9.18094810989721033e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.87056165793272089e-01,-4.50655692361538840e+00,1.01754011933785898e-10,1.01753272474525147e-10,2.00000000000000000e+00,-1.99946725842892192e-11
5.00000000000000000e+01,5.30330085889910663e+00,3.36000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.48055194142087210e+00,-1.00000000000000000e+00,-9.18055194144284847e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.49225751467538370e-01,-5.96981397543209535e+00,1.52832805511637072e-10,1.52832635436084274e-10,0.00000000000000000e+00,-3.06088487889155658e-12
7.60000000000000000e+01,6.53834841531101141e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.47629444506585195e+00,-1.00000000000000000e+00,-9.17629444507992886e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.63778680509149777e-01,-6.62530554164532237e+00,2.59874312149473254e-10,-2.59874344266108892e-10,0.00000000000000000e+00,-6.97020219320165779e-12
5.00000000000000000e+00,1.67705098312484235e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-9.46606666911004524e+00,-1.00000000000000000e+00,-9.16606666937985892e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.09773602646221169e-01,-3.48269023772075537e+00,9.30520844222749507e-10,9.30523214037748403e-10,3.00000000000000000e+00,7.38094030339198071e-11
3.60000000000000000e+01,4.50000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.45932867616427764e+00,-1.00000000000000000e+00,-9.15932867626492708e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62181487584760786e-01,-5.57808848732300078e+00,1.16244941546368168e-10,1.16244791570352390e-10,1.00000000000000000e+00,6.95488111546183063e-12
5.20000000000000000e+01,5.40832691319598347e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.45421033155625956e+00,-1.00000000000000000e+00,-9.15421033153135077e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.04585458340294712e-01,-6.16754471977789009e+00,1.12582802098778217e-09,-1.12582787537007789e-09,0.00000000000000000e+00,9.44533340430098178e-12
1.40000000000000000e+01,2.80624304008045611e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-9.44014023600284347e+00,-1.00000000000000000e+00,-9.14014023616261184e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.65119631164895764e-01,-4.27214565571898763e+00,3.62991699115061751e-11,3.62962992994653177e-11,2.00000000000000000e+00,4.95159468982819817e-12
1.18000000000000000e+02,8.14708536840016251e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.43847235848934218e+00,-1.00000000000000000e+00,-9.13847235850304784e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.55390502635577493e-01,-8.76392407065836210e+00,5.64934229409436134e-12,5.64934210522949343e-12,0.00000000000000000e+00,1.47550466208717911e-12
7.50000000000000000e+01,6.49519052838329003e+00,2.24000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.43256701797967878e+00,-1.00000000000000000e+00,-9.13256701800084159e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.65093319908042313e-01,-6.58023278336760331e+00,2.62001343895872721e-10,-2.62001309536685767e-10,0.00000000000000000e+00,-6.27453644597153470e-12
4.90000000000000000e+01,5.25000000000000000e+00,2.16000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.42054539422473702e+00,-1.00000000000000000e+00,-9.12054539421917632e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.51477850248830825e-01,-5.91117118233767425e+00,1.56737214498207446e-10,1.56737067769086025e-10,0.00000000000000000e+00,-7.27395921273910062e-12
2.10000000000000000e+01,3.43693177121688009e+00,1.92000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-9.41860007657100873e+00,-1.00000000000000000e+00,-9.11860007668924943e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.49543315991026615e-01,-4.70445000710720951e+00,1.80929106368165738e-10,-1.80929049520273111e-10,1.00000000000000000e+00,-7.29460936099712853e-12
1.17000000000000000e+02,8.11249036979397609e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-9.40125467522489089e+00,-1.00000000000000000e+00,-9.10125467523847753e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.55335123047414314e-01,-8.72830605923739000e+00,5.62577635913211011e-12,5.62577588680834850e-12,0.00000000000000000e+00,1.46576354635722041e-12
2.20000000000000000e+01,3.51781181986757208e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-9.39620913590758455e+00,-1.00000000000000000e+00,-9.09620913578414125e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.08659995275261445e-01,-4.85297036086748790e+00,2.61915958802364385e-10,2.61914046006950230e-10,1.00000000000000000e+00,7.98650034994352609e-12
5.10000000000000000e+01,5.35607132140713738e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-9.39460830585811735e+00,-1.00000000000000000e+00,-9.09460830586907676e+00,1.00000000000000000e+00,0.00000000000000000e+00,-3.06619611518390178e-01,-6.11017319158526817e+00,1.20610967568158337e-09,-1.20610987863756236e-09,0.00000000000000000e+00,1.14357412428489624e-11
7.40000000000000000e+01,6.45174395028197001e+00,4.80000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-9.38855617681386967e+00,-1.00000000000000000e+00,-9.08855617681071948e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.66428026939931684e-01,-6.53485036814931686e+00,2.53339034144464948e-10,-2.53338905409350446e-10,0.00000000000000000e+00,4.25059987207987433e-12
3.50000000000000000e+01,4.43705983732471232e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-9.38126599751049817e+00,-1.00000000000000000e+00,-9.08126599750017149e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.65072440369907347e-01,-5.50623268598463156e+00,6.81171036947346318e-11,6.81170675420617044e-11,1.00000000000000000e+00,4.64606131345135509e-12
