y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.24332525352344863e-09,8.16366977740132643e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.00000000000000000e+00,-2.99999999994327748e-01,-1.22455046659762160e-02,-1.22455046661794700e-02,-1.22455046663909849e-02,-1.22455046659762160e-02,-1.22455046659762160e-02,-1.10356168647740560e-13,3.02291051564947350e-04,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.32020819343431032e-09,8.16366977740342753e-02,-1.29173969064967191e-22,-7.98763128821157635e-15,2.99999999999982725e+00,-2.99999999994399469e-01,-1.22455046659825182e-02,-1.22455046661794648e-02,-1.22455046663674690e-02,-1.22455046659825182e-02,-1.22455046659825182e-02,6.20337115009306217e-15,3.11497184658716204e-04,-1.52390084742083068e-17,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.40184530883720292e-09,8.16366977740356353e-02,-2.65271574303430640e-22,-1.54481348283819228e-14,2.99999999999966560e+00,-2.99999999994408018e-01,-1.22455046659829276e-02,-1.22455046661794683e-02,-1.22455046663447979e-02,-1.22455046659829276e-02,-1.22455046659829276e-02,4.19664303308309172e-14,3.20983686245333074e-04,-3.03699157243840410e-17,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.48853058152649578e-09,8.16366977740350386e-02,-4.09721723001946877e-22,-2.24707029115017600e-14,2.99999999999951372e+00,-2.99999999994411515e-01,-1.22455046659827489e-02,-1.22455046661794666e-02,-1.22455046663232665e-02,-1.22455046659827489e-02,-1.22455046659827489e-02,4.88359352956990733e-14,3.30759094816615140e-04,-4.55211293300579145e-17,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.58057617211523714e-09,8.16366977740341782e-02,-5.62988402443618667e-22,-2.90783290748135601e-14,2.99999999999937028e+00,-2.99999999994414401e-01,-1.22455046659824904e-02,-1.22455046661794683e-02,-1.22455046663029494e-02,-1.22455046659824904e-02,-1.22455046659824904e-02,5.38319389065122778e-14,3.40832208900140844e-04,-6.07008330807703841e-17,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.67831354415070341e-09,8.16366977740334149e-02,-7.25617351815299036e-22,-3.52955528817569235e-14,2.99999999999923617e+00,-2.99999999994418787e-01,-1.22455046659822615e-02,-1.22455046661794683e-02,-1.22455046662837113e-02,-1.22455046659822615e-02,-1.22455046659822615e-02,6.07430772348038772e-14,3.51212094978539842e-04,-7.59231167418105514e-17,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.78209465774126140e-09,8.16366977740320965e-02,-8.98176124257913936e-22,-4.11449147694715758e-14,2.99999999999910916e+00,-2.99999999994421562e-01,-1.22455046659818659e-02,-1.22455046661794683e-02,-1.22455046662655401e-02,-1.22455046659818659e-02,-1.22455046659818659e-02,6.57390808456170816e-14,3.61908095649947088e-04,-9.12008824212597469e-17,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.89229323699288109e-09,8.16366977740307087e-02,-1.08129394974229381e-21,-4.66488309815439469e-14,2.99999999999898970e+00,-2.99999999994425004e-01,-1.22455046659814496e-02,-1.22455046661794648e-02,-1.22455046662483316e-02,-1.22455046659814496e-02,-1.22455046659814496e-02,7.01938507319255223e-14,3.72929838036967600e-04,-1.06549759219285225e-16,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.00930611581962238e-09,8.16366977740289740e-02,-1.27561275550318932e-21,-5.18272512972625875e-14,2.99999999999887779e+00,-2.99999999994427835e-01,-1.22455046659809292e-02,-1.22455046661794683e-02,-1.22455046662320443e-02,-1.22455046659809292e-02,-1.22455046659809292e-02,9.84629044964435707e-14,3.84287242451740300e-04,-1.21982833872136740e-16,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.13355466697433117e-09,8.16366977740272809e-02,-1.48177135332840842e-21,-5.66973614570795605e-14,2.99999999999877165e+00,-2.99999999994435274e-01,-1.22455046659804209e-02,-1.22455046661794700e-02,-1.22455046662163190e-02,-1.22455046659804209e-02,-1.22455046659804209e-02,8.57924842279089717e-14,3.95990531324885871e-04,-1.37509348738325755e-16,2.61347497528632469e-08
-2.89999999999999991e+00,2.77508324224075661e-08,2.26548631944585966e-09,8.16366977740307503e-02,-1.70005902365926636e-21,-6.12615505647514993e-14,2.99999999999867262e+00,-2.99999999994454980e-01,-1.22455046659814600e-02,-1.22455046661794648e-02,-1.22455046662020561e-02,-1.22455046659814600e-02,-1.22455046659814600e-02,5.80785419757035015e-14,4.08050238406399844e-04,-1.53103879717710468e-16,2.77508324224075628e-08
-2.89000000000000012e+00,2.94668480631682096e-08,2.40557616968622556e-09,8.16366977740334426e-02,-1.93092866637746780e-21,-6.55288499889139088e-14,2.99999999999858025e+00,-2.99999999994473243e-01,-1.22455046659822684e-02,-1.22455046661794648e-02,-1.22455046661885721e-02,-1.22455046659822684e-02,-1.22455046659822684e-02,7.18175519054398137e-14,4.20477218246694906e-04,-1.68756143435088313e-16,2.94668480631682063e-08
-2.87999999999999989e+00,3.12889761849713116e-08,2.55432869247151761e-09,8.16366977740361627e-02,-2.17515785638317644e-21,-6.95183454876975577e-14,2.99999999999849365e+00,-2.99999999994492228e-01,-1.22455046659830855e-02,-1.22455046661794700e-02,-1.22455046661758705e-02,-1.22455046659830855e-02,-1.22455046659830855e-02,7.14706072102444523e-14,4.33282655966476127e-04,-1.84482556206998132e-16,3.12889761849713050e-08
-2.87000000000000011e+00,3.32237784171900199e-08,2.71227955755576129e-09,8.16366977740384248e-02,-2.43354751555862614e-21,-7.32471630709981787e-14,2.99999999999841238e+00,-2.99999999994508992e-01,-1.22455046659837637e-02,-1.22455046661794683e-02,-1.22455046661639946e-02,-1.22455046659837637e-02,-1.22455046659837637e-02,6.94999613415347994e-14,4.46478077324083812e-04,-2.00297497504749488e-16,3.32237784171900133e-08
-2.85999999999999988e+00,3.52782221376972539e-08,2.87999755866067493e-09,8.16366977740410615e-02,-2.70693485400885186e-21,-7.67310451032140556e-14,2.99999999999833689e+00,-2.99999999994527589e-01,-1.22455046659845548e-02,-1.22455046661794683e-02,-1.22455046661528160e-02,-1.22455046659845548e-02,-1.22455046659845548e-02,7.72854003017187097e-14,4.60075359089458203e-04,-2.16214423731847777e-16,3.52782221376972473e-08
-2.85000000000000009e+00,3.74597055629524578e-08,3.05808666174739851e-09,8.16366977740433097e-02,-2.99612110841711131e-21,-7.99825055587267285e-14,2.99999999999826583e+00,-2.99999999994545907e-01,-1.22455046659852296e-02,-1.22455046661794666e-02,-1.22455046661422411e-02,-1.22455046659852296e-02,-1.22455046659852296e-02,8.60006510450261885e-14,4.74086739734030785e-04,-2.32240195463614952e-16,3.74597055629524512e-08
-2.83999999999999986e+00,3.97760843895715342e-08,3.24718817994636849e-09,8.16366977740452249e-02,-3.30205594173564248e-21,-8.30161136374040497e-14,2.99999999999820011e+00,-2.99999999994563726e-01,-1.22455046659858038e-02,-1.22455046661794683e-02,-1.22455046661322595e-02,-1.22455046659858038e-02,-1.22455046659858038e-02,8.79712969137358414e-14,4.88524830446179217e-04,-2.48389718991716478e-16,3.97760843895715210e-08
-2.83000000000000007e+00,4.22357000833193741e-08,3.44798308297724304e-09,8.16366977740472094e-02,-3.62571086685162916e-21,-8.58446967778231164e-14,2.99999999999813838e+00,-2.99999999994581656e-01,-1.22455046659864005e-02,-1.22455046661794614e-02,-1.22455046661229059e-02,-1.22455046659864005e-02,-1.22455046659864005e-02,8.51124726253260633e-14,5.03402626482144281e-04,-2.64675366629402987e-16,4.22357000833193608e-08
-2.81999999999999984e+00,4.48474099173975020e-08,3.66119444937547246e-09,8.16366977740491245e-02,-3.96812707882946301e-21,-8.84806298989882597e-14,2.99999999999808109e+00,-2.99999999994599087e-01,-1.22455046659869730e-02,-1.22455046661794683e-02,-1.22455046661141473e-02,-1.22455046659869730e-02,-1.22455046659869730e-02,8.93313201189016581e-14,5.18733518862640958e-04,-2.81110516165900774e-16,4.48474099173974888e-08
-2.81000000000000005e+00,4.76206188681934159e-08,3.88759007035597254e-09,8.16366977740509425e-02,-4.33037092964780291e-21,-9.09347890172029986e-14,2.99999999999802736e+00,-2.99999999994617295e-01,-1.22455046659875177e-02,-1.22455046661794752e-02,-1.22455046661058432e-02,-1.22455046659875177e-02,-1.22455046659875177e-02,9.48824352420274408e-14,5.34531306425676156e-04,-2.97706135220226511e-16,4.76206188681933960e-08
-2.79999999999999982e+00,5.05653134833554077e-08,4.12798521469091219e-09,8.16366977740526356e-02,-4.71357356863449320e-21,-9.32175288537677836e-14,2.99999999999797762e+00,-2.99999999994635169e-01,-1.22455046659880277e-02,-1.22455046661794683e-02,-1.22455046660980456e-02,-1.22455046659880277e-02,-1.22455046659880277e-02,9.88376047672545610e-14,5.50810208246440918e-04,-3.14473563239117022e-16,5.05653134833553878e-08
-2.79000000000000004e+00,5.36920978441493590e-08,4.38324556455777987e-09,8.16366977740544675e-02,-5.11888587492495464e-21,-9.53377886217709971e-14,2.99999999999793143e+00,-2.99999999994654321e-01,-1.22455046659885759e-02,-1.22455046661794683e-02,-1.22455046660906695e-02,-1.22455046659885759e-02,-1.22455046659885759e-02,9.76302372279747033e-14,5.67584876435430841e-04,-3.31421336543287515e-16,5.36920978441493326e-08
-2.77999999999999980e+00,5.70122317516072399e-08,4.65429033293039742e-09,8.16366977740560218e-02,-5.54761825473707569e-21,-9.73057549984558567e-14,2.99999999999788791e+00,-2.99999999994671529e-01,-1.22455046659890442e-02,-1.22455046661794648e-02,-1.22455046660838295e-02,-1.22455046659890442e-02,-1.22455046659890442e-02,9.65894031423886190e-14,5.84870409326342599e-04,-3.48564177064508573e-16,5.70122317516072068e-08
-2.77000000000000002e+00,6.05376712739702593e-08,4.94209557373835431e-09,8.16366977740575900e-02,-6.00117394166349116e-21,-9.91312320968622318e-14,2.99999999999784794e+00,-2.99999999994689737e-01,-1.22455046659895143e-02,-1.22455046661794666e-02,-1.22455046660773365e-02,-1.22455046659895143e-02,-1.22455046659895143e-02,1.03375641380409888e-13,6.02682365065584425e-04,-3.65917822750223263e-16,6.05376712739702196e-08
-2.75999999999999979e+00,6.42811118014509386e-08,5.24769769671554090e-09,8.16366977740589500e-02,-6.48093415890054430e-21,-1.00821749613146266e-13,2.99999999999781108e+00,-2.99999999994707556e-01,-1.22455046659899220e-02,-1.22455046661794648e-02,-1.22455046660712181e-02,-1.22455046659899220e-02,-1.22455046659899220e-02,1.08399400566838722e-13,6.21036775615665926e-04,-3.83491836385711449e-16,6.42811118014508989e-08
-2.75000000000000000e+00,6.82560337633487521e-08,5.57219719959454769e-09,8.16366977740602129e-02,-6.98841647330793765e-21,-1.02385329003111426e-13,2.99999999999777689e+00,-2.99999999994725763e-01,-1.22455046659903002e-02,-1.22455046661794718e-02,-1.22455046660654189e-02,-1.22455046659903002e-02,-1.22455046659903002e-02,1.09245945623115404e-13,6.39950161185040491e-04,-4.01299351793133052e-16,6.82560337633486991e-08
-2.74000000000000021e+00,7.24767511721576245e-08,5.91676263108728267e-09,8.16366977740614758e-02,-7.52521063799959970e-21,-1.03829304105044665e-13,2.99999999999774491e+00,-2.99999999994743416e-01,-1.22455046659906783e-02,-1.22455046661794683e-02,-1.22455046660600256e-02,-1.22455046659906783e-02,-1.22455046659906783e-02,1.03972386256145910e-13,6.59439545097413550e-04,-4.19352760055946653e-16,7.24767511721575584e-08
-2.72999999999999998e+00,7.69584631694713795e-08,6.28263479892246669e-09,8.16366977740627386e-02,-8.09308403062949173e-21,-1.05161715779167777e-13,2.99999999999771561e+00,-2.99999999994760791e-01,-1.22455046659910582e-02,-1.22455046661794666e-02,-1.22455046660549897e-02,-1.22455046659910582e-02,-1.22455046659910582e-02,1.07316933117829194e-13,6.79522469113880449e-04,-4.37669275650295222e-16,7.69584631694713001e-08
-2.71999999999999975e+00,8.17173087593096446e-08,6.67113123809364445e-09,8.16366977740642236e-02,-8.69369052574577043e-21,-1.06387381788994027e-13,2.99999999999768852e+00,-2.99999999994779887e-01,-1.22455046659915023e-02,-1.22455046661794666e-02,-1.22455046660501967e-02,-1.22455046659915023e-02,-1.22455046659915023e-02,1.12673759211645574e-13,7.00217009221692577e-04,-4.56254701172408342e-16,8.17173087593095519e-08
-2.70999999999999996e+00,8.67704249259664172e-08,7.08365095540832225e-09,8.16366977740651673e-02,-9.32894126603457665e-21,-1.07512914382915084e-13,2.99999999999766365e+00,-2.99999999994797151e-01,-1.22455046659917868e-02,-1.22455046661794631e-02,-1.22455046660456951e-02,-1.22455046659917868e-02,-1.22455046659917868e-02,1.14186438082697350e-13,7.21541791903869650e-04,-4.75123706689789699e-16,8.67704249259663114e-08
-2.70000000000000018e+00,9.21360083456611503e-08,7.52167946742359248e-09,8.16366977740664579e-02,-1.00008445482340510e-20,-1.08544365311708492e-13,2.99999999999764055e+00,-2.99999999994815969e-01,-1.22455046659921737e-02,-1.22455046661794648e-02,-1.22455046660414520e-02,-1.22455046659921737e-02,-1.22455046659921737e-02,1.11133324764978170e-13,7.43516010904291522e-04,-4.94290409235153220e-16,9.21360083456610180e-08
-2.68999999999999995e+00,9.78333809142315140e-08,7.98679414991033731e-09,8.16366977740675959e-02,-1.07114739854719762e-20,-1.09486904013493319e-13,2.99999999999761968e+00,-2.99999999994833400e-01,-1.22455046659925154e-02,-1.22455046661794666e-02,-1.22455046660375436e-02,-1.22455046659925154e-02,-1.22455046659925154e-02,1.11813336367561078e-13,7.66159444503365845e-04,-5.13766650578667809e-16,9.78333809142313552e-08
