N,eps_homo
8.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000000e+01,4.30733678638049289e-01
8.00000000000000000e+01,5.87956852751663539e-01
1.12000000000000000e+02,7.04099564608324013e-01
1.36000000000000000e+02,7.99645766829285121e-01
2.32000000000000000e+02,8.82319540506747213e-01
3.28000000000000000e+02,9.56006929837582953e-01
3.76000000000000000e+02,1.08470485810963546e+00
4.96000000000000000e+02,1.14218214860447387e+00
5.92000000000000000e+02,1.19613738347395437e+00
6.88000000000000000e+02,1.24711254062783472e+00
6.96000000000000000e+02,1.29229282806798085e+00
7.28000000000000000e+02,1.29552536711324939e+00
8.24000000000000000e+02,1.34170568737331397e+00
1.01600000000000000e+03,1.38591915422392709e+00
1.04000000000000000e+03,1.43892681291032343e+00
1.04800000000000000e+03,1.44797193040435346e+00
1.07200000000000000e+03,1.46927913522502429e+00
1.26400000000000000e+03,1.50875860135845197e+00
1.40800000000000000e+03,1.54695116529350063e+00
