n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
2.00000000000000000e+00,1.06066017177982141e+00,4.80000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,8.00000000000000000e+00,-1.19869340565675007e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.38627254319407178e-01,-3.64264923349838021e+00,2.39841047892740261e-09,2.39842279370350298e-09,7.00000000000000000e+00,-2.30475194484824897e-10
1.30000000000000000e+01,2.70416345659799173e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-1.19867296049233758e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.73167681862322209e-01,-5.09403354537249964e+00,8.54300819553568007e-10,8.54303294772762456e-10,4.00000000000000000e+00,-5.82378589797372115e-11
1.00000000000000000e+01,2.37170824512628453e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,5.00000000000000000e+00,-1.19148973437669188e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.37542690747702123e-01,-4.84896609152238511e+00,2.22825750833799003e-09,2.22826201934367418e-09,4.00000000000000000e+00,-1.50347290173158399e-10
1.30000000000000000e+01,2.70416345659799173e+00,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-4.00000000000000000e+00,-1.18402665586869862e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.29820132306648967e-01,-5.09554040501928363e+00,1.00295750408381431e-09,-1.00295771687797242e-09,4.00000000000000000e+00,3.83479914489726070e-11
0.00000000000000000e+00,0.00000000000000000e+00,4.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-1.50000000000000000e+01,-1.18387374536235850e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.73061313322885302e-01,0.00000000000000000e+00,8.35777022460945396e-10,8.35768787510460243e-10,1.40000000000000000e+01,-1.31024080474162474e-11
0.00000000000000000e+00,0.00000000000000000e+00,4.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.40000000000000000e+01,-1.18387374536169236e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.73061313323137433e-01,0.00000000000000000e+00,8.61377678068367401e-10,-8.61383853134611854e-10,1.40000000000000000e+01,5.64668312108551618e-11
4.00000000000000000e+00,1.50000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,6.00000000000000000e+00,-1.18245046440078436e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.70168059788158277e-01,-4.01836902264185092e+00,1.76017460134274156e-09,1.76017067587963538e-09,6.00000000000000000e+00,8.07496292054565856e-11
1.00000000000000000e+00,7.50000000000000000e-01,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-9.00000000000000000e+00,-1.18079687954041397e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.64912248008195628e-01,-3.21673773229414417e+00,3.88206875833839751e-09,-3.88206800039370137e-09,8.00000000000000000e+00,-9.13900066734640859e-11
3.00000000000000000e+00,1.29903810567665801e+00,3.20000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-7.00000000000000000e+00,-1.17947922334405995e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.66696729739480110e-01,-3.81377494051411636e+00,1.86362015910861374e-09,-1.86361859277894837e-09,6.00000000000000000e+00,1.86453519290807890e-10
1.20000000000000000e+01,2.59807621135331601e+00,3.20000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-1.17857472092799380e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.77403802275222044e-01,-4.95052089481117097e+00,8.16569303989981049e-10,8.16569922790222336e-10,4.00000000000000000e+00,5.89999160638399189e-11
1.60000000000000000e+01,3.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-4.00000000000000000e+00,-1.17697727361823095e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.70012445775696774e-01,-5.25759964047139761e+00,1.83425776858276439e-09,-1.83425896693734103e-09,3.00000000000000000e+00,8.78035422147149802e-11
9.00000000000000000e+00,2.25000000000000000e+00,1.20000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-5.00000000000000000e+00,-1.17532897008918429e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.69388845795045739e-01,-4.65483764984437709e+00,1.44940179535632667e-09,-1.44939882318340096e-09,4.00000000000000000e+00,2.27800001084688120e-11
1.00000000000000000e+00,7.50000000000000000e-01,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,9.00000000000000000e+00,-1.17395551254313499e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.44553542506651206e-01,-3.22355933566661035e+00,4.09007703699141554e-09,4.09010070256954350e-09,8.00000000000000000e+00,2.31139551942760590e-10
4.00000000000000000e+00,1.50000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-6.00000000000000000e+00,-1.17199102169882856e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.39198237530805546e-01,-4.01883930384758958e+00,1.77661307064259335e-09,-1.77661263478512410e-09,6.00000000000000000e+00,4.92796914386417484e-11
3.00000000000000000e+00,1.29903810567665801e+00,3.20000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,7.00000000000000000e+00,-1.17168808296146949e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.43497370034350874e-01,-3.82590788303091989e+00,1.26155180562409591e-09,1.26155086377366388e-09,6.00000000000000000e+00,-4.78173944884474622e-10
5.00000000000000000e+00,1.67705098312484235e+00,9.60000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-6.00000000000000000e+00,-1.16999347333994841e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.69655684707960974e-01,-4.14563253867228632e+00,2.25275722230307639e-09,-2.25276863830004004e-09,5.00000000000000000e+00,-9.43281008858321002e-11
1.60000000000000000e+01,3.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-1.16743432050470464e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.41542644557854125e-01,-5.28711504766263030e+00,1.22326849450365407e-09,1.22326859752774908e-09,3.00000000000000000e+00,3.95607102632311580e-10
9.00000000000000000e+00,2.25000000000000000e+00,1.20000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,5.00000000000000000e+00,-1.16640231527836047e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.42793071647473296e-01,-4.67666990386547887e+00,1.14097646147077063e-09,1.14097176151517488e-09,4.00000000000000000e+00,6.14619466432486661e-13
1.20000000000000000e+01,2.59807621135331601e+00,3.20000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-4.00000000000000000e+00,-1.16392300463074818e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.34221394835353147e-01,-4.95171886729608701e+00,7.06793026360319434e-10,-7.06783964687929256e-10,4.00000000000000000e+00,-2.36788366692053387e-12
5.00000000000000000e+00,1.67705098312484235e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,6.00000000000000000e+00,-1.16162889377875267e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.44782576279732766e-01,-4.16174239132594703e+00,1.67577905468099263e-09,1.67578306786708708e-09,5.00000000000000000e+00,5.28928012499818578e-11
1.10000000000000000e+01,2.48746859276654986e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,-1.15736690283765071e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.82030486520581436e-01,-4.79983094184238190e+00,7.33031066268139005e-10,7.33031413346907357e-10,4.00000000000000000e+00,-8.54782911119400524e-12
2.00000000000000000e+00,1.06066017177982141e+00,4.80000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,7.00000000000000000e+00,-1.15719020070486192e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.73705072703046115e-01,-3.51681514327125599e+00,1.93567874260649807e-09,1.93569960060813173e-09,7.00000000000000000e+00,3.16060067007128964e-10
6.00000000000000000e+00,1.83711730708738341e+00,9.60000000000000000e+01,-1.00000000000000000e+00,-1.00000000000000000e+00,5.00000000000000000e+00,-1.15001951632028021e+01,0.00000000000000000e+00,nan,0.00000000000000000e+00,0.00000000000000000e+00,-2.79927638823116498e-01,-4.23672774871206759e+00,9.08306103569037572e-10,9.08315200831566472e-10,5.00000000000000000e+00,9.47508738136093598e-12
