T,n_target,mu,n,S,energy_density,pressure,e_x_over_lambda
0.00000000000000000e+00,1.00000000000000005e-04,1.00384003020301993e+00,6.55398773810577235e-05,6.54212038703473034e-05,6.56588032802552201e-05,7.91998033026431329e-08,-2.67981545092800871e-10
0.00000000000000000e+00,1.00000000000000002e-03,1.01992217817514996e+00,8.81498857976232685e-04,8.72505236250663112e-04,8.90602114157988613e-04,6.03229263577515998e-06,-4.80720507468196236e-08
0.00000000000000000e+00,1.00000000000000002e-02,1.09074974934155211e+00,9.68745510614347355e-03,9.22904283622312874e-03,1.01728726669929187e-02,3.14609943589930078e-04,-5.59443806582458454e-06
0.00000000000000000e+00,1.00000000000000006e-01,1.36264206048848902e+00,9.73315884811443710e-02,8.06128704029741294e-02,1.18157362589627973e-01,1.25148307288846117e-02,-4.99121030964673040e-04
0.00000000000000000e+00,1.00000000000000000e+00,2.15701225163332300e+00,1.00537769468910532e+00,5.79751786129890978e-01,1.79854629993086346e+00,4.06264837933657641e-01,-4.20905138280993352e-02
1.00000000000000006e-01,1.00000000000000005e-04,4.74417462357715647e-01,1.00000000000000113e-04,8.67015071616283900e-05,1.16731371642333516e-04,1.00099548269016896e-05,-5.47410979503060077e-10
1.00000000000000006e-01,1.00000000000000002e-03,7.06183774241585960e-01,1.00000000000000024e-03,8.65939746881412434e-04,1.16846445370776203e-03,1.00841568942116434e-04,-5.46828639134076600e-08
1.00000000000000006e-01,1.00000000000000002e-02,9.51279489297742531e-01,9.99999999999999153e-03,8.56816401458058638e-03,1.18142377664290539e-02,1.08202458394948990e-03,-5.41916983064854832e-06
1.00000000000000006e-01,1.00000000000000006e-01,1.30684495245736043e+00,9.99999999999999639e-02,7.88144962844486291e-02,1.28940134423364133e-01,1.67085460463051901e-02,-5.06616400767854981e-04
1.00000000000000006e-01,1.00000000000000000e+00,2.17344855112821111e+00,1.00000000000000067e+00,5.71364977640575034e-01,1.81531697304985729e+00,4.14650665136427343e-01,-4.14518105523192515e-02
2.99999999999999989e-01,1.00000000000000005e-04,3.15268590416806216e-03,9.99999999999993949e-05,6.49676095480671359e-03,1.51888477392445667e-02,2.89736226147928582e-03,-1.31930946574690766e-06
2.99999999999999989e-01,1.00000000000000002e-03,3.14729611587323266e-02,1.00000000000000089e-03,6.53094907763143717e-03,1.52697316360550037e-02,2.91292751947451901e-03,-1.36416549545671644e-06
2.99999999999999989e-01,1.00000000000000002e-02,2.76959171113766334e-01,9.99999999999999500e-03,9.33473401257667833e-03,2.19255961497583640e-02,4.19695404572723030e-03,-5.84803934642361808e-06
2.99999999999999989e-01,1.00000000000000006e-01,9.67273728143166700e-01,9.99999999999999917e-02,6.54712907561677965e-02,1.64532665424345081e-01,3.30204582227257640e-02,-4.46452809789958140e-04
2.99999999999999989e-01,1.00000000000000000e+00,2.03540405302998284e+00,9.99999999999999667e-01,5.31172494212377111e-01,2.02042006551642706e+00,4.96415857101349944e-01,-4.00670068314936609e-02
1.00000000000000000e+00,1.00000000000000005e-04,8.69279956198232284e-05,9.99999999999889866e-05,4.40036956064874474e-01,4.25130280979896646e+00,1.27042195124469814e+00,-6.05101664696375795e-03
1.00000000000000000e+00,1.00000000000000002e-03,8.69279881683393540e-04,1.00000000000000089e-03,4.40037079510067597e-01,4.25130422412472875e+00,1.27042238153822007e+00,-6.05105097949217366e-03
1.00000000000000000e+00,1.00000000000000002e-02,8.69272430866074863e-03,1.00000000000001199e-02,4.40049423832088005e-01,4.25144565482716175e+00,1.27046541033169058e+00,-6.05448423171726924e-03
1.00000000000000000e+00,1.00000000000000006e-01,8.68529260457111540e-02,1.00000000000000200e-01,4.41281888996753469e-01,4.26557004319381861e+00,1.27476271806568775e+00,-6.39780329864197105e-03
1.00000000000000000e+00,1.00000000000000000e+00,8.08592058635877020e-01,1.00000000000000022e+00,5.49114123480751615e-01,5.53090424904969957e+00,1.66059670852298313e+00,-4.06726975189385803e-02
