n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59317229810746674e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92709433861630230e-01,-2.22101705520131842e+00,1.06427490430751625e-12,-1.06492592522045015e-12,1.00000000000000000e+00,-1.14868115019817196e-11
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58934871016533652e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.69667591443471100e-01,-1.71856259015359769e+00,1.64865084542346010e-11,-1.64872560048934247e-11,2.00000000000000000e+00,-1.39976918944739737e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58782963817436773e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53731229416511384e-01,-4.10211228039717035e+00,7.81793345232820117e-12,7.81793380033590779e-12,0.00000000000000000e+00,-7.38177362904878034e-14
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58546269740832635e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47948427379215364e-01,-3.29854912377275200e+00,1.68500058956986041e-10,-1.68500102759594483e-10,0.00000000000000000e+00,-2.58504329053721449e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58518128352014998e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72220137552560687e-01,-2.80249434821872079e+00,3.28427614607964880e-10,-3.28427507412243358e-10,0.00000000000000000e+00,-2.42907916003787250e-11
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57814254742828286e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53779917748110040e-01,-4.09315463764252119e+00,8.03228034638357442e-12,8.03227970247455403e-12,0.00000000000000000e+00,1.72339366892146553e-13
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57505570767503844e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62929691059184900e-01,-2.66839409556984153e+00,5.72113450480955989e-11,-5.72113467711687917e-11,0.00000000000000000e+00,-2.27573515587664588e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57414611127227833e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48437720142888241e-01,-3.28768413994996900e+00,1.57518254083218405e-10,-1.57518220689212285e-10,0.00000000000000000e+00,-6.56186216474452522e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57255957378921263e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36670825588414896e-01,-2.33651806156303410e+00,5.33343134677281853e-11,5.33342259245728201e-11,1.00000000000000000e+00,-1.89759319368931756e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56843074026862439e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53828678082106296e-01,-4.08417505188698104e+00,7.82331042749109557e-12,7.82330970838795992e-12,0.00000000000000000e+00,-1.45772458684230528e-13
