y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.97221645412309688e-06,1.29495671509857942e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.21280082404239084e-01,-5.54466144711935005e-01,2.25248742372057942e-01,0.00000000000000000e+00,-1.17210997261363303e-05,7.04969737893425402e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,2.01206604115038194e-06,1.24418578917844258e+02,-1.69871244630216447e-10,-1.05041973889749528e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.16782122954324538e-01,-5.15779779650904491e-01,2.14355366664734454e-01,0.00000000000000000e+00,-1.15100335539297660e-05,7.12054801548555882e-02,0.00000000000000000e+00,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,2.05273680099211649e-06,1.19541473496270882e+02,-3.42967954874800884e-10,-1.99727966429602173e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.12924686864679213e-01,-4.79652852417524145e-01,2.04183445308387834e-01,0.00000000000000000e+00,-1.94435742273402212e-06,7.19211071277223862e-02,0.00000000000000000e+00,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,2.09424508403283890e-06,1.14856392681311050e+02,-5.21144717180414837e-10,-2.85815651361108446e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.09620616284314840e-01,-4.45915697328550187e-01,1.94705959582991889e-01,0.00000000000000000e+00,-1.90367093810817067e-06,7.26439262712356565e-02,0.00000000000000000e+00,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,2.13660772478298971e-06,1.10355705828683497e+02,-7.06217592985855540e-10,-3.64761111918678049e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.06796330781737600e-01,-4.14409346861846994e-01,1.85893929611817554e-01,0.00000000000000000e+00,-1.84996306895612861e-06,7.33740098679116076e-02,0.00000000000000000e+00,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,2.17984204044407683e-06,1.06032097799054654e+02,-8.99981614185448146e-10,-4.37769970310427428e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.04389541967599572e-01,-3.84984954291407888e-01,1.77717164430016783e-01,0.00000000000000000e+00,-1.78693068075830297e-06,7.41114309267192212e-02,0.00000000000000000e+00,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,2.22396583134211919e-06,1.01878553781855587e+02,-1.10422658149694181e-09,-5.05839638293817812e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.02347364604060714e-01,-3.57503230525601401e-01,1.70144852986347961e-01,0.00000000000000000e+00,-1.71750669852865911e-06,7.48562631903793574e-02,0.00000000000000000e+00,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,2.26899738301195898e-06,9.78883452024464304e+01,-1.32075142484928837e-09,-5.69794272881224834e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00624753557156638e-01,-3.31833898491523560e-01,1.63146026445600972e-01,0.00000000000000000e+00,-1.64400657620689117e-06,7.56085811427392313e-02,0.00000000000000000e+00,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.31495546974732870e-06,9.40550165831791816e+01,-1.55137734659475225e-09,-6.30313731592703902e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.91832088906428599e-02,-3.07855167415486963e-01,1.56689916488466724e-01,0.00000000000000000e+00,-1.56825630359680446e-06,7.63684600162207322e-02,0.00000000000000000e+00,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.36185935945928017e-06,9.03723732499302628e+01,-1.79795993585591034e-09,-6.87957586300948221e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.79897019070873759e-02,-2.85453228564016448e-01,1.50746229700399526e-01,0.00000000000000000e+00,-1.49167094198876526e-06,7.71359757993444611e-02,0.00000000000000000e+00,2.61347497528632469e-08
