y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.34989968935795000e-06,8.86343719417350400e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.88979016796313663e+04,3.34035960116222195e+04,1.18314352226699539e+04,0.00000000000000000e+00,-1.69191293960466282e+00,7.04969737893425402e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.37727720822808654e-06,8.51656305106672420e+01,1.03253329561323952e-05,6.38479665667972313e+02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.62893037713278318e+04,3.17945833744889242e+04,1.12854135770570665e+04,0.00000000000000000e+00,-1.37771293609694112e+00,7.12054801548555882e-02,0.00000000000000000e+00,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.40541317627437246e-06,8.18444731354324233e+01,2.09303305695398010e-05,1.21888132752214415e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.39435906427044683e+04,3.02645957088304967e+04,1.08200378687839566e+04,0.00000000000000000e+00,-2.62947128074301872e-01,7.19211071277223862e-02,0.00000000000000000e+00,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.43430772005662333e-06,7.86629091201802595e+01,3.17811287401180732e-05,1.74299838651217920e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.18186978099294502e+04,2.88111705129861148e+04,1.04215096368104041e+04,0.00000000000000000e+00,-2.14008189344895072e-01,7.26439262712356565e-02,0.00000000000000000e+00,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.46396220848745412e-06,7.56135910912520188e+01,4.28422520247713940e-05,2.21280064966730970e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.98790636185164985e+04,2.74316199508508289e+04,1.00782143393327806e+04,0.00000000000000000e+00,-1.73777460557175800e-01,7.33740098679116076e-02,0.00000000000000000e+00,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.49437912430755143e-06,7.26897410535141830e+01,5.40771582802352022e-05,2.63042662224128208e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.80946504808680038e+04,2.61231022917325718e+04,9.78037385563137468e+03,0.00000000000000000e+00,-1.40602945895807352e-01,7.41114309267192212e-02,0.00000000000000000e+00,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.52556196848125760e-06,6.98850876497851488e+01,6.54487891034364168e-05,2.99817015471315472e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.64401288427695035e+04,2.48826799945502135e+04,9.51975956450211561e+03,0.00000000000000000e+00,-1.13171336648520082e-01,7.48562631903793574e-02,0.00000000000000000e+00,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.55751519183010104e-06,6.71938125171103025e+01,7.69201147100415843e-05,3.31846250600485700e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.48941917681285704e+04,2.37073667969548442e+04,9.28945415505628262e+03,0.00000000000000000e+00,-9.04344456830585841e-02,7.56085811427392313e-02,0.00000000000000000e+00,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,1.59024414875629697e-06,6.46105040624830735e+01,8.84546619790133710e-05,3.59385085718459868e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.34389750887038681e+04,2.25941657260447901e+04,9.08365283515819647e+03,0.00000000000000000e+00,-7.15525372143019922e-02,7.63684600162207322e-02,0.00000000000000000e+00,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,1.62375506835854553e-06,6.21301173232260027e+01,1.00017014945332923e-04,3.82697427337621002e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.20595635331871308e+04,2.15400995938098822e+04,8.89749655533375335e+03,0.00000000000000000e+00,-5.58501934428932145e-02,7.71359757993444611e-02,0.00000000000000000e+00,2.61347497528632469e-08
-2.89999999999999991e+00,2.77508324224075661e-08,1.65805503859426139e-06,5.97479388494110779e+01,1.11573277998705420e-04,4.02053806172008581e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.07435674915040872e+04,2.05422352577902820e+04,8.72693139066460935e+03,0.00000000000000000e+00,-4.27819245996943209e-02,7.79112052443283187e-02,0.00000000000000000e+00,2.77508324224075628e-08
-2.89000000000000012e+00,2.94668480631682096e-08,1.69315199951985270e-06,5.74595557655245486e+01,1.23091493378525729e-04,4.17728740836664929e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.94807583611987066e+04,1.95977027005649688e+04,8.56858941742238312e+03,0.00000000000000000e+00,-3.19054501705977600e-02,7.86942258747628104e-02,0.00000000000000000e+00,2.94668480631682063e-08
-2.87999999999999989e+00,3.12889761849713116e-08,1.72905474202430035e-06,5.52608283442268231e+01,1.34542006165517668e-04,4.29998109782002939e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.82627529736696597e+04,1.87037097988861788e+04,8.41968735898783962e+03,0.00000000000000000e+00,-2.28604462827206589e-02,7.94851159933635393e-02,0.00000000000000000e+00,3.12889761849713050e-08
-2.87000000000000011e+00,3.32237784171900199e-08,1.76577290892421891e-06,5.31478655663862298e+01,1.45897771769145095e-04,4.39136602517362917e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.70827395712162906e+04,1.78575535053658059e+04,8.27794001355888577e+03,0.00000000000000000e+00,-1.53519109444459900e-02,8.02839546898014150e-02,0.00000000000000000e+00,3.32237784171900133e-08
-2.85999999999999988e+00,3.52782221376972539e-08,1.80331699581242539e-06,5.11170032541253008e+01,1.57134602804125697e-04,4.45415310870261783e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.59352393275461145e+04,1.70566280454129555e+04,8.14148605781014066e+03,0.00000000000000000e+00,-9.13714614580385387e-03,8.10908218486118132e-02,0.00000000000000000e+00,3.52782221376972473e-08
-2.85000000000000009e+00,3.74597055629524578e-08,1.84169834963663899e-06,4.91647844519651969e+01,1.68231354146222299e-04,4.49099510041538178e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.48158985736260438e+04,1.62984306339906780e+04,8.00882427973997255e+03,0.00000000000000000e+00,-4.01528755901381373e-03,8.19057981571829630e-02,0.00000000000000000e+00,3.74597055629524512e-08
-2.83999999999999986e+00,3.97760843895715342e-08,1.88092916362993044e-06,4.72879417995973412e+01,1.79170046771680395e-04,4.50446667944658566e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.37213077857667959e+04,1.55805651362283679e+04,7.87875865669730865e+03,0.00000000000000000e+00,1.80834089405834675e-04,8.27289651138249094e-02,0.00000000000000000e+00,3.97760843895715210e-08
-2.83000000000000007e+00,4.22357000833193741e-08,1.92102246789708982e-06,4.54833816914942446e+01,1.89935932640489296e-04,4.49704710152307689e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.26488440756583514e+04,1.49007440294905082e+04,7.75035098154829302e+03,0.00000000000000000e+00,3.59109965211246163e-03,8.35604050359192441e-02,0.00000000000000000e+00,4.22357000833193608e-08
-2.81999999999999984e+00,4.48474099173975020e-08,1.96199211562338565e-06,4.37481700556864794e+01,2.00517504320818171e-04,4.47110557087115467e+03,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.15965344421609188e+04,1.42567889693848920e+04,7.62287996730166924e+03,0.00000000000000000e+00,6.33346923132194206e-03,8.44002010681511178e-02,0.00000000000000000e+00,4.48474099173974888e-08
