iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.41307318563423144e-06,2.41307318563423144e-06,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,6.00000000009813461e-01,2.17877670040141799e-07,-2.41307476845941106e-07,4.82613360801822157e-07,4.82613360801822157e-07,7.88000000000000000e+02,2.04260000000000000e+04
2.00000000000000000e+00,7.13394123177268644e-11,3.26816498322536818e-07,-6.03268691029119131e-07,-2.41307646304888152e-06,-2.41307646304888152e-06,7.88000000000000000e+02,2.69820000000000000e+04
3.00000000000000000e+00,8.94922809762667126e-11,1.90334811267391989e-07,-6.03268741474460225e-07,-2.41307690190184422e-06,-2.41307690190184422e-06,7.88000000000000000e+02,3.30150000000000000e+04
4.00000000000000000e+00,8.00399430113767336e-11,9.67041049826972219e-08,-6.03268735044015953e-07,-2.41307687481887503e-06,-2.41307687481887503e-06,7.88000000000000000e+02,3.89920000000000000e+04
5.00000000000000000e+00,5.86109688047834000e-11,3.96948226913163047e-08,-6.03268743646738052e-07,-2.41307695843176942e-06,-2.41307695843176942e-06,7.88000000000000000e+02,4.50070000000000000e+04
6.00000000000000000e+00,3.79828558606998914e-11,1.36171694750271459e-08,-6.03268731149029072e-07,-2.41307686522705953e-06,-2.41307686522705953e-06,7.88000000000000000e+02,5.09240000000000000e+04
7.00000000000000000e+00,2.63316616717638415e-11,4.25554997004808021e-09,-6.03268740207821450e-07,-2.41307694028162450e-06,-2.41307694028162450e-06,7.88000000000000000e+02,5.68910000000000000e+04
8.00000000000000000e+00,3.08703600458691749e-11,6.32583440082182381e-10,-6.03268729076148762e-07,-2.41307685200146465e-06,-2.41307685200146465e-06,7.88000000000000000e+02,6.28090000000000000e+04
9.00000000000000000e+00,2.00519986088396476e-11,1.29127718404129922e-14,-6.03268744815720176e-07,-2.41307697825706047e-06,-2.41307697825706047e-06,7.88000000000000000e+02,6.87010000000000000e+04
