n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59317237172994375e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92709441544580451e-01,-2.22101691727131856e+00,7.37877876776115268e-11,-7.37880867518470041e-11,1.00000000000000000e+00,-8.07531819191353861e-12
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58934937629029527e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.69667518066010603e-01,-1.71856111395399624e+00,2.31820533350883235e-11,-2.31823449325929687e-11,2.00000000000000000e+00,-3.60422802714310819e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58782964174213692e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53731229892488752e-01,-4.10211227842818182e+00,8.01404611923790221e-12,8.01404602401856181e-12,0.00000000000000000e+00,1.90820797592340675e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58546270289332814e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47948428130323317e-01,-3.29854911848732080e+00,1.54199912357836287e-10,-1.54199764068607692e-10,0.00000000000000000e+00,-2.09343653523319517e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58518130181401151e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72220138370969861e-01,-2.80249432242684282e+00,2.92400387920584132e-10,-2.92400326173947178e-10,0.00000000000000000e+00,-6.57340848420062684e-12
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57814255100214584e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53779918225713608e-01,-4.09315463566880933e+00,7.89408818792609627e-12,7.89408816093128962e-12,0.00000000000000000e+00,-2.46948007205005294e-14
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57505572497476898e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62929690090529411e-01,-2.66839407296441289e+00,4.88846654669038043e-11,-4.88846740864801177e-11,0.00000000000000000e+00,5.77449199568036420e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57414611672373361e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48437720916186555e-01,-3.28768413459297904e+00,1.67827795639446677e-10,-1.67827751695881489e-10,0.00000000000000000e+00,-4.75952610656804609e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57255962600048793e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36670819125657095e-01,-2.33651797614406131e+00,7.21616636452689100e-11,7.21618320653760748e-11,1.00000000000000000e+00,-4.82014428371257964e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56843074384659431e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53828678561905885e-01,-4.08417504990760349e+00,7.82312593731763625e-12,7.82312582769950637e-12,0.00000000000000000e+00,-9.58434136990625927e-14
6.80000000000000000e+01,2.06155281280883029e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.56478764723151453e+00,-1.00000000000000000e+00,-4.56478762872039567e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.73027149734922864e-01,-2.78528690857954819e+00,2.63057323577781890e-10,-2.63057131633104291e-10,0.00000000000000000e+00,1.99129601696768077e-12
