y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,2.50444400510788952e-06,1.64441716081556450e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-2.43375783472583624e-04,-2.00105657429863713e-02,1.99113631953305066e-02,1.99113631962827171e-02,-2.00105657429863713e-02,-2.00105657429863713e-02,-7.25379524491032157e-06,7.04969712836833046e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,2.55503713046140839e-06,1.57993864193732833e+02,1.20394037492451714e-11,7.44471341826744449e-04,1.00000001652740278e+00,-2.33832882545083597e-04,-1.84720803378369824e-02,1.83767675776962437e-02,1.76322962367483765e-02,-1.84720803378369824e-02,-1.84720803378369824e-02,5.25816574914461654e-06,7.12054776297834646e-02,1.67761063846605228e-07,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,2.60665230555796480e-06,1.51798836240597780e+02,2.38384382251532588e-11,1.38823546686908791e-03,1.00000003081908639e+00,-2.24664164183003228e-04,-1.70518793121755968e-02,1.69603038187722439e-02,1.55720683527142967e-02,-1.70518793121755968e-02,-1.70518793121755968e-02,1.23156233616805721e-06,7.19211045938681764e-02,3.28867568053838974e-07,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,2.65931017708464153e-06,1.45846718843653235e+02,3.54027960992925767e-11,1.94162444586785249e-03,1.00000004310442492e+00,-2.15854956462963325e-04,-1.57408685309107649e-02,1.56528837638984647e-02,1.37112593187792911e-02,-1.57408685309107649e-02,-1.57408685309107649e-02,2.32725727758453793e-07,7.26439237379794961e-02,4.83546079397480881e-07,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,2.71303180883329183e-06,1.40127987335568150e+02,4.67368373696959619e-11,2.41395583115615797e-03,1.00000005359027000e+00,-2.07391162758941138e-04,-1.45306530492690517e-02,1.44461182142355711e-02,1.20321623837704242e-02,-1.45306530492690517e-02,-1.45306530492690517e-02,4.45111410937726326e-07,7.33740073435926593e-02,6.31999418043960323e-07,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,2.76783869011604558e-06,1.34633490517782775e+02,5.78451687564724658e-11,2.81371057030334413e-03,1.00000006246489970e+00,-1.99259239183337847e-04,-1.34134833563873106e-02,1.33322631795524879e-02,1.05185526098869036e-02,-1.34134833563873106e-02,-1.34134833563873106e-02,3.48709668362978675e-07,7.41114284186971395e-02,7.74428816867057521e-07,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,2.82375274436383249e-06,1.29354436016547965e+02,6.87322136813673945e-11,3.14858188439766026e-03,1.00000006989910517e+00,-1.91446172913733499e-04,-1.23822057520554477e-02,1.23041702638033990e-02,9.15558837999430782e-03,-1.23822057520554477e-02,-1.23822057520554477e-02,3.36473009773796683e-07,7.48562607051286438e-02,9.11028155210214099e-07,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,2.88079633789501076e-06,1.24282376213002451e+02,7.94023322790812202e-11,3.42554952694411764e-03,1.00000007604783847e+00,-1.83939461369227235e-04,-1.14302165386292592e-02,1.13552408655285264e-02,7.92969133912758625e-03,-1.14302165386292592e-02,-1.14302165386292592e-02,3.05856559468242750e-07,7.56085786859260339e-02,1.04198575410157612e-06,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.93899228886220344e-06,1.19409194725003317e+02,8.98597915126612655e-11,3.65094028431003350e-03,1.00000008105155547e+00,-1.76727092203377316e-04,-1.05514197348405298e-02,1.04793838998193216e-02,6.82844361601053600e-03,-1.05514197348405298e-02,-1.05514197348405298e-02,2.82023003270182038e-07,7.63684575927768144e-02,1.16748412458254188e-06,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.99836387637955652e-06,1.14727093419024001e+02,1.00108774860508941e-10,3.83048530432327210e-03,1.00000008503748838e+00,-1.69797524081649728e-04,-9.74018804071851221e-03,9.67097677107526220e-03,5.84049146721452375e-03,-9.74018804071851221e-03,-9.74018804071851221e-03,2.58948275641546211e-07,7.71359734135334818e-02,1.28770024530473843e-06,2.61347497528632469e-08
