n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.01000000000000000e+02,4.33733789322436802e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-6.01254105111821957e+00,-1.00000000000000000e+00,-6.01254113077077257e+00,9.99999998108874522e-01,-1.89112547843706125e-09,-3.98229402405448407e-01,-4.67170908150867259e+00,1.54228821502673915e-10,-1.54228851911852871e-10,0.00000000000000000e+00,7.82041098545960267e-12
3.87000000000000000e+02,4.91807889322650027e+00,4.80000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-6.01198271053544886e+00,-1.00000000000000000e+00,-6.01198267029230227e+00,9.99999998105351784e-01,-1.89464821609419687e-09,2.46325170152171480e-01,-5.42773734318878365e+00,7.90616432208077297e-12,7.90616357104756418e-12,0.00000000000000000e+00,7.11039711464473438e-15
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-6.01084147727950757e+00,-1.00000000000000000e+00,-6.01084168438255251e+00,9.99999998098130449e-01,-1.90186955073556874e-09,-1.18570900383267688e-01,-2.66689945858136834e+00,2.45106463200217233e-10,-2.45107933949384460e-10,2.00000000000000000e+00,-8.52136139428694150e-11
3.86000000000000000e+02,4.91172067609712482e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-6.00496530437059217e+00,-1.00000000000000000e+00,-6.00496526406098141e+00,9.99999998060510986e-01,-1.93948901383578232e-09,2.46361791303357502e-01,-5.42116791713494450e+00,7.75293946370308490e-12,7.75293891586148476e-12,0.00000000000000000e+00,-1.23246563667460714e-13
3.00000000000000000e+02,4.33012701892219365e+00,2.24000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-6.00477404886561761e+00,-1.00000000000000000e+00,-6.00477412875669980e+00,9.99999998059273976e-01,-1.94072602432981967e-09,-3.98449291120238358e-01,-4.66422100440971743e+00,1.63776525227018148e-10,-1.63776547879024292e-10,0.00000000000000000e+00,2.24265050974281621e-13
1.60000000000000000e+02,3.16227766016837952e+00,9.60000000000000000e+01,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-6.00262588585035850e+00,-1.00000000000000000e+00,-6.00262611393729273e+00,9.99999998045327576e-01,-1.95467242392055596e-09,-1.30082982885679627e-01,-4.01716170665999073e+00,5.70152972376903114e-10,-5.70152813850199891e-10,0.00000000000000000e+00,6.66844357510854024e-12
1.70000000000000000e+01,1.03077640640441515e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,3.00000000000000000e+00,-6.00080210919695123e+00,-1.00000000000000000e+00,-6.00080120875567324e+00,9.99999998033408444e-01,-1.96659155626832671e-09,-1.38470531546496106e-01,-2.37756570733728312e+00,3.39706088280730908e-10,3.39706929253225098e-10,2.00000000000000000e+00,9.86553061466111103e-11
8.40000000000000000e+01,2.29128784747791991e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-6.00037540511257372e+00,-1.00000000000000000e+00,-6.00037586616709095e+00,9.99999998030609127e-01,-1.96939087260261658e-09,-2.41469041619135738e-01,-3.33006567735319114e+00,1.28732074147606347e-10,-1.28732580151336151e-10,1.00000000000000000e+00,-5.21094278838063474e-12
1.54000000000000000e+02,3.10241841149771425e+00,3.84000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-6.00031899184320849e+00,-1.00000000000000000e+00,-6.00031890105499954e+00,9.99999998030238757e-01,-1.96976124300363153e-09,-2.02433299695380070e-01,-3.90807541928751645e+00,2.13661736213740603e-11,-2.13660200643062126e-11,0.00000000000000000e+00,7.16227077646180987e-12
2.00000000000000000e+00,3.53553390593273786e-01,4.80000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-5.00000000000000000e+00,-5.99816026619175346e+00,-1.00000000000000000e+00,-5.99811830754904118e+00,9.99999998016013913e-01,-1.98398608652894382e-09,-2.08455628004587917e-01,-1.85628167788245890e+00,4.27148981511404290e-11,-4.27142765602184227e-11,4.00000000000000000e+00,-9.14468500923248939e-12
3.85000000000000000e+02,4.90535421758714563e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.99793822112207309e+00,-1.00000000000000000e+00,-5.99793818079782515e+00,9.99999998014544866e-01,-1.98545513363512782e-09,2.46398469006055471e-01,-5.41458976191871155e+00,8.72862676792393343e-12,8.72862719603073600e-12,0.00000000000000000e+00,-5.63222989233463507e-14
2.99000000000000000e+02,4.32290411644764561e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.99699362501861444e+00,-1.00000000000000000e+00,-5.99699370513253616e+00,9.99999998008283431e-01,-1.99171656944940878e-09,-3.98670001038647248e-01,-4.65672013170824428e+00,1.66601676428002749e-10,-1.66601621387485466e-10,0.00000000000000000e+00,-4.24837942603062402e-12
1.00000000000000000e+01,7.90569415042094881e-01,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-5.99390166330031260e+00,-1.00000000000000000e+00,-5.99390417281273447e+00,9.99999997987649714e-01,-2.01235028640667224e-09,-1.32393920734667131e-01,-2.14845531612826290e+00,1.31645545771660721e-11,1.31592514662770554e-11,3.00000000000000000e+00,-9.69535562944656704e-12
4.80000000000000000e+01,1.73205080756887719e+00,3.20000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-5.99265910414975878e+00,-1.00000000000000000e+00,-5.99265908076389753e+00,9.99999997979297506e-01,-2.02070249422092729e-09,-1.98367188207184075e-01,-2.91606456122554647e+00,4.10637404598306371e-10,-4.10638634207316500e-10,1.00000000000000000e+00,-2.91349167014232080e-11
3.84000000000000000e+02,4.89897948556635576e+00,9.60000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.99090142182828966e+00,-1.00000000000000000e+00,-5.99090138144479489e+00,9.99999997967423448e-01,-2.03257655151389827e-09,2.46435203454776347e-01,-5.40800284306111934e+00,8.05772833292607743e-12,8.05772809586713379e-12,0.00000000000000000e+00,-5.16635231257238194e-15
2.98000000000000000e+02,4.31566912540801706e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.98919971114367033e+00,-1.00000000000000000e+00,-5.98919979145008696e+00,9.99999997955861142e-01,-2.04413885818155450e-09,-3.98891537891188530e-01,-4.64920639839118444e+00,1.60381776149520842e-10,-1.60381707914325489e-10,0.00000000000000000e+00,-2.17803552970963210e-12
5.00000000000000000e+01,1.76776695296636888e+00,3.36000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-5.98817806830101240e+00,-1.00000000000000000e+00,-5.98817870828820897e+00,9.99999997948888053e-01,-2.05111194695462018e-09,-1.34859792147876967e-01,-2.98500598494465841e+00,3.09115829180203767e-12,3.09263725739583606e-12,1.00000000000000000e+00,-4.80087081200508692e-11
1.53000000000000000e+02,3.09232921921324522e+00,5.76000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-5.98760728062266434e+00,-1.00000000000000000e+00,-5.98760718957209015e+00,9.99999997944981844e-01,-2.05501815564446133e-09,-2.02850255077421021e-01,-3.89689332746252992e+00,5.05045100099116182e-12,-5.05040453901983710e-12,0.00000000000000000e+00,1.45623513247983283e-11
1.60000000000000000e+01,1.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-3.00000000000000000e+00,-5.98650527023855439e+00,-1.00000000000000000e+00,-5.98650627359394694e+00,9.99999997937419227e-01,-2.06258077284360297e-09,-1.94752845129450458e-01,-2.31799612258529963e+00,4.30430349190239748e-10,-4.30430802111914090e-10,2.00000000000000000e+00,2.15782947066145425e-11
2.97000000000000000e+02,4.30842198490352146e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.98139223817250620e+00,-1.00000000000000000e+00,-5.98139231866651055e+00,9.99999997901964477e-01,-2.09803552309040242e-09,-3.99113907481669694e-01,-4.64167973885313057e+00,1.62592439444496046e-10,-1.62592384000959100e-10,0.00000000000000000e+00,4.04276612187004503e-12
8.30000000000000000e+01,2.27760839478607480e+00,2.88000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.98048274223002085e+00,-1.00000000000000000e+00,-5.98048320702184188e+00,9.99999997895594239e-01,-2.10440576076109664e-09,-2.42035863375185428e-01,-3.31401871899323019e+00,2.44598285169185706e-10,-2.44598119536476588e-10,1.00000000000000000e+00,8.20410406277005677e-12
1.58000000000000000e+02,3.14245127249413381e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.97742924066943626e+00,-1.00000000000000000e+00,-5.97742947100109046e+00,9.99999997874065460e-01,-2.12593453952081290e-09,-1.30650948855517673e-01,-3.99528722750735632e+00,5.45153448570273306e-10,-5.45153255870900466e-10,0.00000000000000000e+00,-1.24069643447910494e-11
9.10000000000000000e+01,2.38484800354236404e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-5.97709935000752957e+00,-1.00000000000000000e+00,-5.97709924242244739e+00,9.99999997871726443e-01,-2.12827355738909318e-09,-8.69447295947860521e-02,-3.45087184976287453e+00,7.24254014902134198e-11,7.24256210560270119e-11,1.00000000000000000e+00,2.31503705094837642e-12
3.82000000000000000e+02,4.88620507142301630e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.97679851795580408e+00,-1.00000000000000000e+00,-5.97679847745279424e+00,9.99999997869591262e-01,-2.13040873831005229e-09,2.46508843107669601e-01,-5.39480257487331372e+00,8.35459551709709684e-12,8.35459479375799674e-12,0.00000000000000000e+00,-8.65574336461232525e-14
1.52000000000000000e+02,3.08220700148448801e+00,2.88000000000000000e+02,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-5.97484894018148260e+00,-1.00000000000000000e+00,-5.97484884884213230e+00,9.99999997855701483e-01,-2.14429851652653269e-09,-2.03270461283504261e-01,-3.88567218500281708e+00,2.65211170617704565e-11,-2.65210076122457394e-11,0.00000000000000000e+00,2.99316127438942203e-13
2.96000000000000000e+02,4.30116263352131334e+00,4.80000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-5.97357113655553729e+00,-1.00000000000000000e+00,-5.97357121724650142e+00,9.99999997846548805e-01,-2.15345119514154248e-09,-3.99337115645729268e-01,-4.63414008701349545e+00,1.52379132010545116e-10,-1.52378998308222435e-10,0.00000000000000000e+00,8.18856094042530458e-12
3.81000000000000000e+02,4.87980532398578415e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-5.96973233414433668e+00,-1.00000000000000000e+00,-5.96973229358168300e+00,9.99999997818816100e-01,-2.18118390016286412e-09,2.46545748633850648e-01,-5.38818915530748832e+00,8.67901637180985300e-12,8.67901583934127530e-12,0.00000000000000000e+00,-1.14715111400497303e-13
2.70000000000000000e+01,1.29903810567665801e+00,1.28000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-5.96886581959115858e+00,-1.00000000000000000e+00,-5.96886623187006471e+00,9.99999997812506924e-01,-2.18749307556720396e-09,-2.13598013035290107e-01,-2.56784948827464987e+00,7.92008121341989509e-11,7.92050869335980678e-11,2.00000000000000000e+00,5.98632254877884407e-13
2.90000000000000000e+01,1.34629120178362593e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-5.96590069543438961e+00,-1.00000000000000000e+00,-5.96590091877195761e+00,9.99999997790778972e-01,-2.20922102833753797e-09,-1.19801958525617369e-01,-2.63567807070643534e+00,1.65598374703768245e-10,-1.65597313639409549e-10,2.00000000000000000e+00,4.87165863205518690e-11
1.57000000000000000e+02,3.13249102153541692e+00,2.88000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.96476320382498759e+00,-1.00000000000000000e+00,-5.96476343529663477e+00,9.99999997782386574e-01,-2.21761342622528446e-09,-1.30938337804990035e-01,-3.98429460958058490e+00,5.30988252484592484e-10,-5.30988142344313019e-10,0.00000000000000000e+00,1.09068309939175379e-12
8.20000000000000000e+01,2.26384628453435433e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-5.96044652963969313e+00,-1.00000000000000000e+00,-5.96044699800068223e+00,9.99999997750246949e-01,-2.24975305052055319e-09,-2.42610328852837787e-01,-3.29786520446359033e+00,1.79251526793270566e-10,-1.79253056842298975e-10,1.00000000000000000e+00,5.48006084954977268e-12
4.90000000000000000e+01,1.75000000000000000e+00,2.16000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,2.00000000000000000e+00,-5.95813847296426058e+00,-1.00000000000000000e+00,-5.95813911808039798e+00,9.99999997732871515e-01,-2.26712848494514674e-09,-1.35582647037640974e-01,-2.96266405113878672e+00,3.87992036735876774e-11,-3.88009624430196709e-11,1.00000000000000000e+00,-1.68833835800796805e-10
