y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.42699186487775502e-06,9.36962418070951060e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-1.38671602297867953e-04,-6.49650399149451652e-03,3.26966820764168972e+02,3.24376908379627366e+02,8.56807624188207106e-01,-6.49650399149451652e-03,3.18324235416710122e-03,7.04641186549823939e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.45583364955134336e-06,9.00232647007927653e+01,9.97912976133433222e-08,6.17071765215079981e+00,1.00013699108221754e+00,-1.33235550534219606e-04,-5.57448297310675876e-03,3.14176692195684836e+02,3.05510928521403912e+02,8.26107524402974414e-01,-5.57448297310675876e-03,3.96032113131912500e-03,7.11723440836930371e-02,-9.55356371263378851e-08,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.48528510741431671e-06,8.64958285039565027e+01,2.01519832852410568e-07,1.17355414226784216e+01,1.00026053120731317e+00,-1.28014901125529825e-04,-4.00764008019421046e-03,3.01939464738285267e+02,2.87743081511201751e+02,8.16272961387497054e-01,-4.00764008019421046e-03,7.01858543821461470e-04,7.18877817813247527e-02,-1.87282952305136613e-07,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.51535514157178381e-06,8.31078590175567626e+01,3.05137707575715203e-07,1.67349163812776780e+01,1.00037151826337412e+00,-1.23000664181697361e-04,-2.00249739405273641e-03,2.90220930029762030e+02,2.71009975962640510e+02,8.23343397886480366e-01,-2.00249739405273641e-03,6.05066025578721890e-04,7.26104961762010503e-02,-2.75372362751065810e-07,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.54605309648050952e-06,7.98535822611319048e+01,4.10595768241522960e-07,2.12072554493670609e+01,1.00047080502441665e+00,-1.18184294139730156e-04,2.73521581864371449e-04,2.78990314251864220e+02,2.55251806858889410e+02,8.44024169450674155e-01,2.73521581864371449e-04,5.96477999930008357e-04,7.33405533722634034e-02,-3.59920244025463076e-07,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.57738871634993352e-06,7.67275020556390928e+01,5.17843736755524044e-07,2.51890076076814182e+01,1.00055920066460780e+00,-1.13557656586525435e-04,2.68635723200671625e-03,2.68219832331228417e+02,2.40412158663905956e+02,8.75575043778430540e-01,2.68635723200671625e-03,5.65245712370276293e-04,7.40780203367283618e-02,-4.41041821406919206e-07,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.60937214822270061e-06,7.37243822036510181e+01,6.26830331670499838e-07,2.87147251802213219e+01,1.00063747225198196e+00,-1.09113001884725988e-04,5.13027593474268354e-03,2.57884312733628747e+02,2.26437825313593919e+02,9.15717689205325591e-01,5.13027593474268354e-03,5.40048342262417630e-04,7.48229651181640809e-02,-5.18847873705325425e-07,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.64201393601807003e-06,7.08392297847429688e+01,7.37503382359851061e-07,3.18171304299086692e+01,1.00070634622687593e+00,-1.04842940449719561e-04,7.52345843871041545e-03,2.47960872186770985e+02,2.13278635904439597e+02,9.62558742578938253e-01,7.52345843871041545e-03,5.13759647611484321e-04,7.55754567851692483e-02,-5.93445814771064858e-07,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,1.67532501964023101e-06,6.80672801544971264e+01,8.49809936462533078e-07,3.45271814992009425e+01,1.00076650986582338e+00,-1.00740420548254872e-04,9.80414941388680142e-03,2.38428635360605682e+02,2.00887288935694698e+02,1.01452579131662701e+00,9.80414941388680142e-03,4.88501349625681397e-04,7.63355654405221962e-02,-6.64939579778220287e-07,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,1.70931673503749934e-06,6.54039832484040318e+01,9.63696361333235270e-07,3.68741377073126699e+01,1.00081861273116535e+00,-9.67987080293404426e-05,1.19273087486356857e-02,2.29268492196728261e+02,1.89219194248384667e+02,1.07031405575822802e+00,1.19273087486356857e-02,4.63866937586134009e-04,7.71033622138715402e-02,-7.33429840783649868e-07,2.61347497528632469e-08
