y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,2.47511182464504474e-06,1.62515766017635428e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-9.88287854702631779e-02,-8.03061806826787539e+00,7.99071066690846799e+00,7.99071030566509855e+00,-8.03061806826787539e+00,-8.03061806826787539e+00,-4.08535392018904986e-03,7.00829232492772985e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,2.52518219282003438e-06,1.56147747396842362e+02,4.83170561119472027e-09,2.98774460479695025e-01,1.00272534928213464e+00,-9.49562778397921581e-02,-7.41319747576105659e+00,7.37485380622405273e+00,7.07607901533310280e+00,-7.41319747576105659e+00,-7.41319747576105659e+00,2.39800233418918651e-03,7.07882141941797299e-02,6.77234549162168811e-05,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,2.57639686162208001e-06,1.50036905364885200e+02,9.56742558516125555e-09,5.57160641083323416e-01,1.00508228638460984e+00,-9.12401639810274806e-02,-6.84328024791700429e+00,6.80643715787200421e+00,6.24927621971248115e+00,-6.84328024791700429e+00,-6.84328024791700429e+00,5.84948378033800509e-04,7.15023685321109215e-02,1.32762145210449351e-04,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,2.62876475078117229e-06,1.44171491094581285e+02,1.42098647585723294e-08,7.79323212503868712e-01,1.00710880048453633e+00,-8.76732992126812855e-02,-6.31722524325614554e+00,6.28182246541690859e+00,5.50249898984373242e+00,-6.31722524325614554e+00,-6.31722524325614554e+00,7.16435962218042732e-05,7.22252528793874693e-02,1.95209284610149204e-04,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,2.68229727432816236e-06,1.38540549824560316e+02,1.87610906255569767e-08,9.69009600632012358e-01,1.00883907472066481e+00,-8.42490217410327424e-02,-5.83167043778247507e+00,5.79765039491597722e+00,4.82864056463799951e+00,-5.83167043778247507e+00,-5.83167043778247507e+00,1.86131362831076785e-04,7.29567693282479057e-02,2.55147950048610097e-04,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,2.73700665147676848e-06,1.33133755364643861e+02,2.32232039576432583e-08,1.12962544420997713e+00,1.01030417451960353e+00,-8.09610520181010540e-02,-5.38350461674992520e+00,5.35081226732429815e+00,4.22118662533761846e+00,-5.38350461674992520e+00,-5.38350461674992520e+00,1.40808194181829549e-04,7.36968311135644538e-02,3.12660428481519666e-04,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,2.79290631111692580e-06,1.27941379231126518e+02,2.75981694789896847e-08,1.26425575155947167e+00,1.01153224057979929e+00,-7.78034739732692132e-02,-4.96985211784111858e+00,4.93843480925274037e+00,3.67417888964277051e+00,-4.96985211784111858e+00,-4.96985211784111858e+00,1.37558622661515528e-04,7.44453675989236729e-02,3.67825805725368379e-04,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,2.85001072845392430e-06,1.22954233489348695e+02,3.18878747690982401e-08,1.37569629499807067e+00,1.01254877525242204e+00,-7.47707002540017318e-02,-4.58805548720758427e+00,4.55786282304375590e+00,3.18216638720162859e+00,-4.58805548720758427e+00,-4.58805548720758427e+00,1.24577582681695276e-04,7.52023214408398533e-02,4.20720743249706867e-04,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,2.90833542276245387e-06,1.18163627763961529e+02,3.60941252358546787e-08,1.46647898500794716e+00,1.01337687399967957e+00,-7.18574460832252793e-02,-4.23565986138802320e+00,4.20664357924621335e+00,2.74016447790376017e+00,-4.23565986138802320e+00,-4.23565986138802320e+00,1.15092336805844297e-04,7.59676480008617955e-02,4.71419384660214536e-04,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,2.96789691587598361e-06,1.13561329032845592e+02,4.02186552973897508e-08,1.53889574905853110e+00,1.01403744321411105e+00,-6.90587048090107736e-02,-3.91039811613970656e+00,3.88251197531980763e+00,2.34361613169024707e+00,-3.91039811613970656e+00,-3.91039811613970656e+00,1.05657731822361711e-04,7.67413142604732729e-02,5.19993493825398928e-04,2.61347497528632469e-08
