n2,k,multiplicity,parity,s,index,eps,branch,eps_free,f,weight,scalar_charge,pressure_charge,matching_residual,winding_residual,sign_changes,theta_residual
3.00000000000000000e+01,1.36930639376291530e+00,1.92000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.59317607574165709e+00,-1.00000000000000000e+00,-4.59317229810639649e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.92703269999272320e-01,-2.22101736997683163e+00,5.56833214893155309e-11,-5.56825696662599512e-11,1.00000000000000000e+00,5.63904478667609510e-12
8.00000000000000000e+00,7.07106781186547573e-01,4.80000000000000000e+01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-4.58958988820386526e+00,-1.00000000000000000e+00,-4.58934871016546975e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.69585824153607012e-01,-1.71811077633072529e+00,2.44109813957670040e-11,-2.44089193301988416e-11,2.00000000000000000e+00,-1.14575016141316155e-12
2.12000000000000000e+02,3.64005494464025903e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.58783149545806168e+00,-1.00000000000000000e+00,-4.58782963817376555e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53731597630800387e-01,-4.10211090996453720e+00,7.90638007702732772e-12,7.90638041148206128e-12,0.00000000000000000e+00,1.28350720807254062e-13
1.46000000000000000e+02,3.02076149339864308e+00,7.68000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.58546380281713972e+00,-1.00000000000000000e+00,-4.58546269741590518e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.47948348648795902e-01,-3.29854930301906357e+00,1.62827462726570160e-10,-1.62827307192969784e-10,0.00000000000000000e+00,-8.43636271952163952e-12
6.90000000000000000e+01,2.07665596572951872e+00,3.84000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.58518296531318903e+00,-1.00000000000000000e+00,-4.58518128352967214e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.72218864932135590e-01,-2.80249641312816777e+00,2.93393342231321095e-10,-2.93393309647171918e-10,0.00000000000000000e+00,7.48543449446970044e-11
2.11000000000000000e+02,3.63145976158348738e+00,2.88000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.57814440795722444e+00,-1.00000000000000000e+00,-4.57814254742848625e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53780287681639793e-01,-4.09315326284631098e+00,8.05203682075264997e-12,8.05203646814245388e-12,0.00000000000000000e+00,1.88757183334507093e-13
6.40000000000000000e+01,2.00000000000000000e+00,2.40000000000000000e+01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57506511369776447e+00,-1.00000000000000000e+00,-4.57505570767744274e+00,1.00000000000000000e+00,0.00000000000000000e+00,-2.62927347685750934e-01,-2.66838092528602688e+00,7.32807695820512627e-11,-7.32807148295933075e-11,0.00000000000000000e+00,8.42970138137388858e-12
1.45000000000000000e+02,3.01039864469807394e+00,3.84000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.57414721602910035e+00,-1.00000000000000000e+00,-4.57414611128337611e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48437640296456719e-01,-3.28768432456378035e+00,1.64576896026553900e-10,-1.64576796635174105e-10,0.00000000000000000e+00,4.16711110062806256e-12
3.40000000000000000e+01,1.45773797371132519e+00,1.92000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-4.57258644210294829e+00,-1.00000000000000000e+00,-4.57255957378142863e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.36661120060061203e-01,-2.33647536318082283e+00,5.76123214418229217e-11,5.76121372830584733e-11,1.00000000000000000e+00,2.69917421746868058e-12
2.10000000000000000e+02,3.62284418654735951e+00,3.84000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.56843260406796059e+00,-1.00000000000000000e+00,-4.56843074026789431e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53829049751832792e-01,-4.08417367269000131e+00,7.93184518190538455e-12,7.93184441738592483e-12,0.00000000000000000e+00,4.40163842083340938e-14
6.80000000000000000e+01,2.06155281280883029e+00,1.92000000000000000e+02,1.00000000000000000e+00,-1.00000000000000000e+00,1.00000000000000000e+00,-4.56478929521795873e+00,-1.00000000000000000e+00,-4.56478762872039567e+00,1.00000000000000000e+00,0.00000000000000000e+00,-1.73025855787651894e-01,-2.78528905885835565e+00,3.46408931618678397e-10,-3.46409123608282243e-10,0.00000000000000000e+00,3.72990527353067591e-12
1.44000000000000000e+02,3.00000000000000000e+00,1.20000000000000000e+02,-1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,-4.56278997525924357e+00,-1.00000000000000000e+00,-4.56278887115851184e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.48930609190749841e-01,-3.27678074639687678e+00,1.77074090411981813e-10,-1.77074133134169642e-10,0.00000000000000000e+00,2.60014232367211662e-12
2.09000000000000000e+02,3.61420807370024022e+00,9.60000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,-4.55869590039257133e+00,-1.00000000000000000e+00,-4.55869403329558320e+00,1.00000000000000000e+00,0.00000000000000000e+00,2.53877883530021053e-01,-4.07517197945904464e+00,7.88385243164883693e-12,7.88385329242302646e-12,0.00000000000000000e+00,-6.54189748144624919e-14
