y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,1.10994860637158518e-06,7.28791912383812956e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-4.43191581384721617e-02,-1.61497224200820888e+00,2.29852662028494990e+02,2.27275019147811179e+02,-7.55757975953091354e-01,-1.61497224200820888e+00,-1.63882698262894699e-01,6.09321715511523393e-02,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,1.13283845665632659e-06,7.00504595962860463e+01,7.04050421792933376e-08,4.35358239612765363e+00,1.03971238608665750e+00,-4.25989551168605984e-02,-1.40559265495269092e+00,2.20808394556515537e+02,2.13974855232913711e+02,-5.78940369335509852e-01,-1.40559265495269092e+00,3.10216490638985931e-02,6.15568944249090325e-02,-2.64020784714313816e-05,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,1.15709861343889357e-06,6.73838327271789836e+01,1.42194609268167317e-07,8.28072703082429840e+00,1.07553490411774000e+00,-4.09773309482964337e-02,-1.06786287100740873e+00,2.12183157843980467e+02,2.01465455592204989e+02,-2.55537814052614110e-01,-1.06786287100740873e+00,9.93083465587707437e-03,6.22115886917663438e-02,-5.17666563145464505e-05,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,1.18269570057414412e-06,6.48635457441580456e+01,2.15387604425980587e-07,1.18126782109946209e+01,1.10775255754000046e+00,-3.94446987194017953e-02,-6.42838377282540674e-01,2.03957838468024164e+02,1.89706587522728114e+02,1.70019193002541313e-01,-6.42838377282540674e-01,-4.25632218387539396e-03,6.28945882440553883e-02,-7.61399005385781128e-05,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,1.20960530063718200e-06,6.24760667003069443e+01,2.89999593172591151e-07,1.49784677006364575e+01,1.13663016748843804e+00,-3.79928294087105156e-02,-1.63565993178205416e-01,1.96114022605717622e+02,1.78659238039176955e+02,6.61872964542318587e-01,-1.63565993178205416e-01,-2.17300229727657168e-04,6.36044987572048082e-02,-9.95611249896640225e-05,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,1.23780409079760227e-06,6.02093922295322344e+01,3.66043344518682288e-07,1.78051175197956724e+01,1.16241422267333960e+00,-3.66144235512574773e-02,3.43636086495713311e-01,1.88632880169018648e+02,1.68284583490056519e+02,1.19136248630528763e+00,3.43636086495713311e-01,-9.36113193844345659e-04,6.43399827969342031e-02,-1.22068540420217255e-04,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,1.26727158849988495e-06,5.80529587575943609e+01,4.43528943388007243e-07,2.03177974571200011e+01,1.18533431617100460e+00,-3.53030572456437750e-02,8.58069122834614673e-01,1.81495818022147233e+02,1.58544710285376141e+02,1.73583924076873686e+00,8.58069122834614673e-01,-4.85917378481914852e-04,6.50998053073411770e-02,-1.43697923350276504e-04,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,1.29798933067730972e-06,5.59974324438271935e+01,5.22463979040294590e-07,2.25399706139152194e+01,1.20560447304503371e+00,-3.40530544146616168e-02,1.36371763713386374e+00,1.74684595614516581e+02,1.49402778452537262e+02,2.27766652243329437e+00,1.36371763713386374e+00,-3.83442288724111791e-04,6.58828102949411271e-02,-1.64483206454393502e-04,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,1.32994080906397775e-06,5.40345619973468274e+01,6.02853677382796184e-07,2.44935219551580659e+01,1.22342432295935089e+00,-3.28593972985387409e-02,1.84845277980116007e+00,1.68181510840190327e+02,1.40823240443681925e+02,2.80336897371950267e+00,1.84845277980116007e+00,-2.30992301618826446e-04,6.66879176239008192e-02,-1.84456507290597059e-04,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,1.36311124352357980e-06,5.21570421149428114e+01,6.84701019291588949e-07,2.61988741337220965e+01,1.23898015669965877e+00,-3.17176434099150154e-02,2.30335637694371176e+00,1.61969511791513355e+02,1.32771972957960088e+02,3.30291133394538505e+00,2.30335637694371176e+00,-1.24651788474317016e-04,6.75141156082400135e-02,-2.03648287847108873e-04,2.61347497528632469e-08
